Ticker,mu_tilde,sigma_tilde_DUK,sigma_tilde_MSFT,sigma_tilde_CVX,sigma_tilde_TSLA
DUK,-9.344529151185041e-05,0.00012969411893955788,6.362432354374788e-06,2.6682080015616264e-05,1.1767295253283142e-06
MSFT,0.0018459274518137841,6.362432354374788e-06,0.00024818935255763733,-8.434151925407612e-06,0.00016632441769793934
CVX,-0.0004636118010416185,2.6682080015616264e-05,-8.434151925407612e-06,0.0002112425010702554,2.5122491630949083e-05
TSLA,0.003342592898298264,1.1767295253283142e-06,0.00016632441769793934,2.5122491630949083e-05,0.001089036922136792
