Date,ASII.JK,BBCA.JK,BMRI.JK,KLBF.JK,SMGR.JK,TLKM.JK
2020-06-02,3038.07275390625,4515.4970703125,1718.7503662109375,1245.1790771484375,8367.8828125,2381.025146484375
2020-06-03,3140.8408203125,4869.3232421875,1808.0360107421875,1272.150390625,8346.3720703125,2410.329833984375
2020-06-04,3057.34228515625,4877.7470703125,1759.6727294921875,1267.6551513671875,8260.3271484375,2417.65625
2020-06-05,3211.49365234375,4822.9892578125,1804.3157958984375,1267.6551513671875,8109.74755859375,2366.372802734375
2020-06-08,3227.55126953125,4970.416015625,1953.125,1281.140869140625,8733.576171875,2366.372802734375
2020-06-09,3211.49365234375,4890.38427734375,1962.42578125,1267.6551513671875,8131.25927734375,2300.4365234375
2020-06-10,3115.1484375,4886.17138671875,1826.6370849609375,1321.59814453125,7937.6572265625,2278.45751953125
2020-06-11,3018.8037109375,4785.07958984375,1744.7918701171875,1276.6456298828125,8131.25927734375,2256.4794921875
2020-06-12,3076.611083984375,4776.6533203125,1819.1966552734375,1240.68359375,8088.236328125,2219.84765625
2020-06-15,3044.49609375,4633.43798828125,1755.95263671875,1263.159912109375,8109.74755859375,2263.805419921875
2020-06-16,3192.224365234375,4852.47412109375,1869.4197998046875,1281.140869140625,8367.8828125,2344.3935546875
2020-06-17,3192.224365234375,4818.7763671875,1822.9171142578125,1285.6361083984375,8281.8369140625,2351.719970703125
2020-06-18,3083.033203125,4705.046875,1793.1551513671875,1267.6551513671875,8023.70263671875,2403.003662109375
2020-06-19,3140.8408203125,4696.62158203125,1815.476318359375,1312.607421875,8174.2822265625,2403.003662109375
2020-06-22,3140.8408203125,4667.13720703125,1789.4346923828125,1321.59814453125,8238.81640625,2344.3935546875
2020-06-23,3147.26416015625,4734.53173828125,1781.994384765625,1290.13134765625,8217.3037109375,2293.1103515625
2020-06-24,3211.49365234375,4806.1396484375,1915.9232177734375,1312.607421875,8152.77099609375,2329.7412109375
2020-06-25,3249.291748046875,4822.9892578125,1869.4197998046875,1308.1123046875,8131.25927734375,2315.0888671875
2020-06-26,3249.291748046875,4755.5927734375,1860.119384765625,1299.121826171875,8174.2822265625,2337.0673828125
2020-06-29,3182.97900390625,4780.8662109375,1837.7978515625,1294.6265869140625,8152.77099609375,2329.7412109375
2020-06-30,3182.97900390625,4797.71533203125,1841.5179443359375,1312.607421875,8317.240234375,2348.27197265625
2020-07-01,3189.6103515625,4886.17138671875,1856.3990478515625,1317.102783203125,8338.8447265625,2340.57275390625
