Date,Ticker,Bias_h_Obj,Bias_h_Pen
2021-01-04,BBCA.JK,0.041364637022986116,-0.0
2021-01-04,TLKM.JK,0.030830239545108433,-0.0
2021-01-04,SMGR.JK,0.038391906226529895,-0.0
2021-01-04,BMRI.JK,0.00521146809755477,-0.0
2021-01-04,KLBF.JK,0.050159689007482716,-0.0
2021-01-04,ASII.JK,0.018567100210459944,-0.0
2021-02-02,BBCA.JK,0.029977697305401885,-0.0
2021-02-02,TLKM.JK,0.017953026947173076,-0.0
2021-02-02,SMGR.JK,0.030924871611286056,-0.0
2021-02-02,BMRI.JK,-0.008218046516032163,-0.0
2021-02-02,KLBF.JK,0.03786770207622985,-0.0
2021-02-02,ASII.JK,0.012369744561831757,-0.0
2021-03-04,BBCA.JK,0.015538981114053673,-0.0
2021-03-04,TLKM.JK,0.011558064327079388,-0.0
2021-03-04,SMGR.JK,0.010954040280658692,-0.0
2021-03-04,BMRI.JK,-0.0015763652187301704,-0.0
2021-03-04,KLBF.JK,0.014927768550342856,-0.0
2021-03-04,ASII.JK,0.027613431780686485,-0.0
2021-04-06,BBCA.JK,0.02020689555911978,-0.0
2021-04-06,TLKM.JK,0.017357794358559074,-0.0
2021-04-06,SMGR.JK,0.03418220199089496,-0.0
2021-04-06,BMRI.JK,0.002198554770058277,-0.0
2021-04-06,KLBF.JK,0.031806527143672214,-0.0
2021-04-06,ASII.JK,0.04276141187489119,-0.0
2021-05-05,BBCA.JK,0.008621517436981505,-0.0
2021-05-05,TLKM.JK,0.020211700480167086,-0.0
2021-05-05,SMGR.JK,0.017340715504324002,-0.0
2021-05-05,BMRI.JK,-0.0032804305744494754,-0.0
2021-05-05,KLBF.JK,0.016237112643922087,-0.0
2021-05-05,ASII.JK,0.03600431891822642,-0.0
2021-06-10,BBCA.JK,-0.0019308050139926404,-0.0
2021-06-10,TLKM.JK,0.00761278399794358,-0.0
2021-06-10,SMGR.JK,-0.00532089409226165,-0.0
2021-06-10,BMRI.JK,0.003596171488043315,-0.0
2021-06-10,KLBF.JK,-0.015356751038245162,-0.0
2021-06-10,ASII.JK,0.007779484752410419,-0.0
2021-07-09,BBCA.JK,-0.035762595585400396,-0.0
2021-07-09,TLKM.JK,-0.017789843264265505,-0.0
2021-07-09,SMGR.JK,-0.008000197110709187,-0.0
2021-07-09,BMRI.JK,-0.009237545891719426,-0.0
2021-07-09,KLBF.JK,-0.05076385168747781,-0.0
2021-07-09,ASII.JK,-0.013863605863208627,-0.0
2021-08-10,BBCA.JK,-0.02977509552915551,-0.0
2021-08-10,TLKM.JK,-0.011858177851944601,-0.0
2021-08-10,SMGR.JK,-0.010590323768627372,-0.0
2021-08-10,BMRI.JK,-0.028193691779183867,-0.0
2021-08-10,KLBF.JK,-0.03794475346652769,-0.0
2021-08-10,ASII.JK,0.009714034922465996,-0.0
2021-09-10,BBCA.JK,0.0006790395706260712,-0.0
2021-09-10,TLKM.JK,-0.0005782753969272885,-0.0
2021-09-10,SMGR.JK,0.0023464538541087426,-0.0
2021-09-10,BMRI.JK,-0.0011243056447272715,-0.0
2021-09-10,KLBF.JK,-0.03457063582734547,-0.0
2021-09-10,ASII.JK,0.011443917480030255,-0.0
2021-10-11,BBCA.JK,0.02322891340900095,-0.0
2021-10-11,TLKM.JK,0.031872819055587163,-0.0
2021-10-11,SMGR.JK,0.018360562103981595,-0.0
2021-10-11,BMRI.JK,-0.013975217801675177,-0.0
2021-10-11,KLBF.JK,-0.034395824052971286,-0.0
2021-10-11,ASII.JK,0.03039742462874294,-0.0
2021-11-10,BBCA.JK,0.013686802557290125,-0.0
2021-11-10,TLKM.JK,0.031071223402147585,-0.0
2021-11-10,SMGR.JK,0.02364817246027301,-0.0
2021-11-10,BMRI.JK,0.02558472939410651,-0.0
2021-11-10,KLBF.JK,-0.0034578062836129633,-0.0
2021-11-10,ASII.JK,0.035073068991049915,-0.0
2021-12-09,BBCA.JK,0.01664374288657355,-0.0
2021-12-09,TLKM.JK,0.02117812509559316,-0.0
2021-12-09,SMGR.JK,0.02609389370153446,-0.0
2021-12-09,BMRI.JK,0.020354113519041418,-0.0
2021-12-09,KLBF.JK,-0.03753374125860659,-0.0
2021-12-09,ASII.JK,0.029542558198207655,-0.0
