Date,Ticker,Bias_h_Obj,Bias_h_Pen
2021-01-04,BBCA.JK,0.08745755730740934,-0.0
2021-01-04,TLKM.JK,0.04654768796580374,-0.0
2021-01-04,SMGR.JK,0.07529736134759364,-0.0
2021-01-04,ADRO.JK,0.027796588516669427,-0.0
2021-02-02,BBCA.JK,0.028409124017100565,-0.0
2021-02-02,TLKM.JK,0.02692386114078664,-0.0
2021-02-02,SMGR.JK,0.05614008795164345,-0.0
2021-02-02,ADRO.JK,0.017755536959067363,-0.0
2021-03-04,BBCA.JK,0.01919546990198605,-0.0
2021-03-04,TLKM.JK,0.017582152592351904,-0.0
2021-03-04,SMGR.JK,0.021832256730136904,-0.0
2021-03-04,ADRO.JK,0.04071503035754285,-0.0
2021-04-06,BBCA.JK,0.015828927474708276,-0.0
2021-04-06,TLKM.JK,0.026089319360808855,-0.0
2021-04-06,SMGR.JK,0.047128321992751375,-0.0
2021-04-06,ADRO.JK,0.06352874090029775,-0.0
2021-05-05,BBCA.JK,0.027416838575464796,-0.0
2021-05-05,TLKM.JK,0.030456274120842917,-0.0
2021-05-05,SMGR.JK,0.02394620933444371,-0.0
2021-05-05,ADRO.JK,0.053645136565732054,-0.0
2021-06-10,BBCA.JK,-0.0157852270709939,-0.0
2021-06-10,TLKM.JK,0.011599003815529203,-0.0
2021-06-10,SMGR.JK,-0.023326406075384866,-0.0
2021-06-10,ADRO.JK,0.011606830169083024,-0.0
2021-07-09,BBCA.JK,-0.024689883562065716,-0.0
2021-07-09,TLKM.JK,-0.026548479654901754,-0.0
2021-07-09,SMGR.JK,-0.07652187701760259,-0.0
2021-07-09,ADRO.JK,-0.020926362983251897,-0.0
2021-08-10,BBCA.JK,0.03957128416087058,-0.0
2021-08-10,TLKM.JK,-0.017797463700533884,-0.0
2021-08-10,SMGR.JK,-0.05731813300071496,-0.0
2021-08-10,ADRO.JK,0.01428169808846467,-0.0
2021-09-10,BBCA.JK,0.04873102725043238,-0.0
2021-09-10,TLKM.JK,-0.000664573566242575,-0.0
2021-09-10,SMGR.JK,-0.051688815676590234,-0.0
2021-09-10,ADRO.JK,0.017120161926393755,-0.0
2021-10-11,BBCA.JK,0.12694612102374458,-0.0
2021-10-11,TLKM.JK,0.04819118366501258,-0.0
2021-10-11,SMGR.JK,-0.05101371490895497,-0.0
2021-10-11,ADRO.JK,0.04572375440999354,-0.0
2021-11-10,BBCA.JK,0.10126098022662398,-0.0
2021-11-10,TLKM.JK,0.0468624411349817,-0.0
2021-11-10,SMGR.JK,-0.004685162005324669,-0.0
