Date,Depth,Energy,Iterations
2021-01-04,1,-0.27171720405859084,570
2021-01-04,2,4.822343103531952,610
2021-01-04,3,4.697974236892878,610
2021-01-04,4,4.673801330661032,610
2021-01-04,5,4.941208269366438,610
2021-01-04,6,-0.23396201879476802,570
2021-01-04,7,4.578202770535431,610
2021-01-04,8,-0.20989459126897644,570
2021-02-02,1,-0.11679469204971984,570
2021-02-02,2,4.938373096467904,610
2021-02-02,3,4.793551531352492,610
2021-02-02,4,4.849483526568637,610
2021-02-02,5,4.959021083858616,610
2021-02-02,6,-0.09811013199336747,570
2021-02-02,7,4.7715921034017335,610
2021-02-02,8,-0.1539198642015487,570
2021-03-04,1,-0.1203805846088025,800
2021-03-04,2,2.569628674241114,800
2021-03-04,3,-0.10260588421586816,800
2021-03-04,4,-0.10918850172881013,800
2021-03-04,5,-0.116682733536402,800
2021-03-04,6,-0.09518154820588745,800
2021-03-04,7,-0.08963446840475572,800
2021-03-04,8,-0.09355635865253706,800
2021-04-06,1,-0.16196171576068322,800
2021-04-06,2,0.8818673625669182,800
2021-04-06,3,-0.1805288913398221,800
2021-04-06,4,-0.1582704249958612,800
2021-04-06,5,-0.1994795348942508,800
2021-04-06,6,-0.12878986818742372,800
2021-04-06,7,-0.14773850347389655,800
2021-04-06,8,-0.14177275554426738,800
2021-05-05,1,-0.11275523578624629,570
2021-05-05,2,4.936367386954457,610
2021-05-05,3,19.729043099947848,610
2021-05-05,4,-0.10712788731631849,570
2021-05-05,5,-0.11996367234553842,570
2021-05-05,6,4.942163789185832,610
2021-05-05,7,4.780899106794179,610
2021-05-05,8,4.773672439594972,610
2021-06-10,1,0.020239132447865425,600
2021-06-10,2,4.974458438504415,610
2021-06-10,3,20.031777826973418,610
2021-06-10,4,0.07475347384286957,570
2021-06-10,5,0.004859629141574121,600
2021-06-10,6,5.029062217410182,610
2021-06-10,7,4.997736191868159,610
2021-06-10,8,4.982325023316337,610
2021-07-09,1,0.0966913594599148,800
2021-07-09,2,0.1716556950312639,800
2021-07-09,3,0.14638952412265588,800
2021-07-09,4,0.12473766112256242,800
2021-07-09,5,0.14816305746749514,800
2021-07-09,6,0.09641495279930186,800
2021-07-09,7,0.13324416768719743,800
2021-07-09,8,0.1495859367850186,800
2021-08-10,1,-0.01997082828245443,800
2021-08-10,2,0.005090674050859868,800
2021-08-10,3,0.006892694169279248,800
2021-08-10,4,-0.02095095105110168,800
2021-08-10,5,-0.055844183095389605,800
2021-08-10,6,-0.02117327525663016,800
2021-08-10,7,-0.044269545504676766,800
2021-08-10,8,-0.06271824944281598,800
2021-09-10,1,-0.06667380565495877,800
2021-09-10,2,-0.00890463947211885,800
2021-09-10,3,-0.031065252274289232,800
2021-09-10,4,-0.1055398256516359,800
2021-09-10,5,-0.07479822064409102,800
2021-09-10,6,-0.055447245285526206,800
2021-09-10,7,-0.06556576171203399,800
2021-09-10,8,-0.08609261576752557,800
2021-10-11,1,-0.35108531029219897,800
2021-10-11,2,-0.029498440227937416,800
2021-10-11,3,-0.34492817307737866,800
2021-10-11,4,-0.1901917115896772,800
2021-10-11,5,-0.3035550952578084,800
2021-10-11,6,-0.19529535506738802,800
2021-10-11,7,-0.3274638480339847,800
2021-10-11,8,-0.22746393725673228,800
2021-11-10,1,-0.24835963028180166,800
2021-11-10,2,-0.14853022295444163,800
2021-11-10,3,-0.20804437997724406,800
2021-11-10,4,-0.23239716375378985,800
2021-11-10,5,-0.22160288191706334,800
2021-11-10,6,-0.20702603855955498,800
2021-11-10,7,-0.2583371438373594,800
2021-11-10,8,-0.291718640639547,800
2021-12-09,1,-0.23754669228519698,800
2021-12-09,2,-0.15483305471853162,800
2021-12-09,3,-0.3286154018376901,800
2021-12-09,4,-0.25177257731683506,800
2021-12-09,5,-0.1964981548734099,800
2021-12-09,6,-0.2059206743067582,800
2021-12-09,7,-0.31265058858817557,800
2021-12-09,8,-0.29543550139753944,800
2022-01-10,1,-0.514051641466563,800
2022-01-10,2,-0.5341333719421149,800
2022-01-10,3,-0.5432963106472969,800
2022-01-10,4,-0.5431613110113387,690
2022-01-10,5,-0.5420041175570824,800
2022-01-10,6,-0.5399395585119647,800
2022-01-10,7,-0.5405204723884088,800
2022-01-10,8,-0.534863104219627,800
2022-02-09,1,-0.33435280860070704,800
2022-02-09,2,-0.23503512342393293,800
2022-02-09,3,-0.298444525565797,800
2022-02-09,4,-0.32635416682157165,800
2022-02-09,5,-0.3019985122383191,800
2022-02-09,6,-0.33885269093928033,800
2022-02-09,7,-0.3991440697239489,800
2022-02-09,8,-0.33650256626120034,800
2022-03-14,1,-0.5776844475336581,800
2022-03-14,2,-0.6102478386118463,800
2022-03-14,3,-0.4649533523973883,800
2022-03-14,4,-0.5749337105476964,800
2022-03-14,5,-0.4059915081103213,800
2022-03-14,6,-0.6366975630173336,800
2022-03-14,7,-0.5505508398823924,800
2022-03-14,8,-0.5655086569438725,800
2022-04-12,1,-0.25109438234090153,800
2022-04-12,2,-0.17175219156002763,800
2022-04-12,3,-0.22803852081528236,800
2022-04-12,4,-0.2332905582564281,800
2022-04-12,5,-0.37185667795841254,800
2022-04-12,6,-0.33836046265947983,800
2022-04-12,7,-0.2656734541575997,800
2022-04-12,8,-0.34630795922983565,800
2022-05-23,1,-0.42348255365904736,800
2022-05-23,2,-0.45928538547108494,760
2022-05-23,3,-0.49362765252552865,800
2022-05-23,4,-0.4907119960834231,800
2022-05-23,5,-0.4767740451002764,800
2022-05-23,6,-0.47598093059537966,800
2022-05-23,7,-0.47130732035036327,800
2022-05-23,8,-0.4744439110001269,800
2022-06-23,1,-0.3265402394687772,800
2022-06-23,2,-0.008205820895796183,800
2022-06-23,3,-0.32620787002389995,730
2022-06-23,4,-0.1559178496203279,800
2022-06-23,5,-0.3199610443593706,800
2022-06-23,6,-0.3181292635861897,800
2022-06-23,7,-0.30017689683863086,800
2022-06-23,8,-0.27532866554493307,800
2022-07-22,1,-0.1047417364222766,800
2022-07-22,2,-0.08785228397833245,800
2022-07-22,3,-0.08716962054531438,800
2022-07-22,4,-0.10561263716016302,800
2022-07-22,5,-0.16958586319712582,800
2022-07-22,6,-0.1521562329287347,800
2022-07-22,7,-0.1670742448287884,800
2022-07-22,8,-0.12931140367194183,800
2022-08-23,1,-0.16466915912861066,800
2022-08-23,2,-0.13923702005024402,800
2022-08-23,3,-0.19002857574260545,800
2022-08-23,4,-0.20306089532965743,800
2022-08-23,5,-0.22648615786425796,800
2022-08-23,6,-0.2122575789987387,800
2022-08-23,7,-0.24224091468694858,800
2022-08-23,8,-0.22720867585443755,800
2022-09-21,1,-0.2544785758174027,570
2022-09-21,2,4.787006754334699,610
2022-09-21,3,4.89139098650986,610
2022-09-21,4,4.73384536203453,610
2022-09-21,5,4.987234427937655,610
2022-09-21,6,-0.22579374869523255,570
2022-09-21,7,4.691428727753801,610
2022-09-21,8,-0.06842975683788444,570
2022-10-20,1,-0.18107491956302943,570
2022-10-20,2,4.8539487179062,610
2022-10-20,3,4.875276828569064,610
2022-10-20,4,4.8450618473728015,610
2022-10-20,5,5.025282867729707,610
2022-10-20,6,-0.12100188423484379,570
2022-10-20,7,4.703855498835466,610
2022-10-20,8,-0.09107211824201897,570
2022-11-18,1,0.025497782557446357,800
2022-11-18,2,-0.1759482739067968,800
2022-11-18,3,-0.09334509267395069,800
2022-11-18,4,-0.1371565088174937,800
2022-11-18,5,-0.14796796994246023,800
2022-11-18,6,-0.1614604078846085,800
2022-11-18,7,-0.14590185268692468,800
2022-11-18,8,-0.14652484925453652,800
2022-12-19,1,-0.14683509626957122,800
2022-12-19,2,0.06327168991692375,800
2022-12-19,3,-0.10052500302773787,570
2022-12-19,4,-0.019484703397883812,800
2022-12-19,5,-0.19138460837486093,800
2022-12-19,6,-0.10068738768266973,800
2022-12-19,7,-0.08527451564422076,800
2022-12-19,8,-0.03488418423982539,800
2023-01-17,1,-0.11968321087633971,570
2023-01-17,2,4.94041632170275,610
2023-01-17,3,4.90856447156889,610
2023-01-17,4,4.922100559822692,610
2023-01-17,5,5.040942801839912,610
2023-01-17,6,-0.01861331347369237,570
2023-01-17,7,4.805983931174224,610
2023-01-17,8,-0.03257701298350358,590
2023-02-16,1,0.21854645785868054,800
2023-02-16,2,-0.09241245806401405,800
2023-02-16,3,0.06262579969449732,800
2023-02-16,4,-0.07298388322897678,800
2023-02-16,5,-0.027232277015416584,800
2023-02-16,6,-0.04146787276337149,800
2023-02-16,7,-0.050602126909887545,800
2023-02-16,8,-0.07120681718829738,800
2023-03-17,1,0.08372560804332325,570
2023-03-17,2,5.003840432540331,610
2023-03-17,3,20.273523824532763,610
2023-03-17,4,0.2293464967644338,570
2023-03-17,5,0.15445221315256796,570
2023-03-17,6,5.150473493824435,610
2023-03-17,7,5.123696332811923,610
2023-03-17,8,5.194032787080353,610
2023-04-27,1,0.06169710342735198,570
2023-04-27,2,4.943358897158634,610
2023-04-27,3,20.131463330032584,610
2023-04-27,4,0.1983745216355971,570
2023-04-27,5,0.02466457049628876,570
2023-04-27,6,5.081073928666665,610
2023-04-27,7,5.050665359564838,610
2023-04-27,8,5.013396537202148,610
2023-05-30,1,0.06751845109052142,570
2023-05-30,2,4.965347967748151,610
2023-05-30,3,20.214052518736697,610
2023-05-30,4,0.27694705382801144,570
2023-05-30,5,0.14084322610216715,570
2023-05-30,6,5.175336792711174,610
2023-05-30,7,5.038740278501738,610
2023-05-30,8,5.111962437423742,610
2023-07-05,1,0.001105058087457873,800
2023-07-05,2,4.963560793154194,610
2023-07-05,3,20.107594945015386,610
2023-07-05,4,0.2009219349376098,570
2023-07-05,5,0.12753815786681372,570
2023-07-05,6,5.163678113282308,610
2023-07-05,7,4.94346871169284,610
2023-07-05,8,5.069928601091639,610
2023-08-04,1,-0.024314412489254915,800
2023-08-04,2,-0.047643662709411595,800
2023-08-04,3,-0.046875618024986895,800
2023-08-04,4,-0.05626257663907028,800
2023-08-04,5,-0.05776664230708149,800
2023-08-04,6,-0.04557230304193073,800
2023-08-04,7,-0.026375467514242495,800
2023-08-04,8,0.006816571703309405,800
2023-09-05,1,-0.07443717021913993,800
2023-09-05,2,0.0025303933679475697,800
2023-09-05,3,-0.05218188923121847,800
2023-09-05,4,-0.06052154111177816,600
2023-09-05,5,-0.05449888118166403,800
2023-09-05,6,-0.05294853318507002,800
2023-09-05,7,-0.04459952360767213,800
2023-09-05,8,-0.03643065359005722,800
2023-10-05,1,0.08828430021058714,800
2023-10-05,2,-0.09674454826066699,800
2023-10-05,3,-0.04165983958983424,800
2023-10-05,4,-0.050746948416272045,800
2023-10-05,5,-0.08193329295952487,800
2023-10-05,6,-0.0879537971683354,800
2023-10-05,7,-0.062063972021633974,800
2023-10-05,8,-0.08664935425113258,800
2023-11-03,1,0.04455755092487311,800
2023-11-03,2,-0.006775388157060949,800
2023-11-03,3,0.03973738327420485,800
2023-11-03,4,0.07099458315848552,800
2023-11-03,5,-0.028005039535932124,800
2023-11-03,6,0.004512190413140212,800
2023-11-03,7,-0.009998261923325421,800
2023-11-03,8,0.02439457346226141,800
2023-12-04,1,-0.09472380815668713,570
2023-12-04,2,4.890968183037486,610
2023-12-04,3,4.967311836050349,610
2023-12-04,4,4.917908016828637,610
2023-12-04,5,5.01218423221367,610
2023-12-04,6,-0.09651095549075225,570
2023-12-04,7,4.8456763604920114,610
2023-12-04,8,-0.04725438922772551,580
