Date,Iteration,Bitstring,Utility,Swap
2021-01-04,0,1100,0.27172530901441505,Initial
2021-01-04,1,1010,0.3293527015014764,1<->2
2021-02-02,0,1100,0.11680273463977438,Initial
2021-02-02,1,1010,0.1756293301066216,1<->2
2021-03-04,0,1100,0.08007603969564546,Initial
2021-03-04,1,1001,0.1258670427804271,1<->3
2021-03-04,2,0011,0.13161536888232908,0<->2
2021-04-06,0,1100,0.08817521920922819,Initial
2021-04-06,1,0101,0.1836087763389476,0<->3
2021-04-06,2,0011,0.2256528513242922,1<->2
2021-05-05,0,1100,0.11996662231671543,Initial
2021-05-05,1,0101,0.17260837615012886,0<->3
2021-06-10,0,1100,-0.00485698480238685,Initial
2021-06-10,1,0101,0.049884984430657635,0<->3
2021-07-09,0,1100,-0.10024373057571077,Initial
2021-07-09,1,1001,-0.08915414880684197,1<->3
2021-08-10,0,1100,0.045547023066359785,Initial
2021-08-10,1,1001,0.10931842373782594,1<->3
2021-09-10,0,1100,0.09844415538857576,Initial
2021-09-10,1,1001,0.13374862193406067,1<->3
2021-10-11,0,1100,0.3515791507947284,Initial
2021-11-10,0,1100,0.2976725528028799,Initial
2021-11-10,1,1001,0.3087793237202667,1<->3
2021-12-09,0,1100,0.325095077050681,Initial
2021-12-09,1,1001,0.34922560495545674,1<->3
2022-01-10,0,1100,0.5259163014941254,Initial
2022-01-10,1,1001,0.5453236521798474,1<->3
2022-02-09,0,1100,0.42007872720310924,Initial
2022-02-09,1,1001,0.45398291713513766,1<->3
2022-03-14,0,1100,0.5778760586299071,Initial
2022-03-14,1,1001,0.6409188897425397,1<->3
2022-04-12,0,1100,0.3559093983999322,Initial
2022-04-12,1,1001,0.4122585942139041,1<->3
2022-05-23,0,1100,0.4239118311189453,Initial
2022-05-23,1,1001,0.494692467931279,1<->3
2022-06-23,0,1100,0.33817320872113144,Initial
2022-07-22,0,1100,0.16635776983355563,Initial
2022-07-22,1,1001,0.2102315887126661,1<->3
2022-08-23,0,1100,0.2477851102443223,Initial
2022-08-23,1,1001,0.2979322535067508,1<->3
2022-09-21,0,1100,0.254486873076482,Initial
2022-09-21,1,1010,0.2683470707061427,1<->2
2022-10-20,0,1100,0.18108311069399802,Initial
2022-10-20,1,1010,0.2623155458380021,1<->2
2022-11-18,0,1100,0.17426854100751119,Initial
2022-11-18,1,0110,0.17964570670347835,0<->2
2022-12-19,0,1100,0.22976920257807526,Initial
2023-01-17,0,1100,0.1196913790165363,Initial
2023-01-17,1,1010,0.13430783816473837,1<->2
2023-02-16,0,1100,0.048832818680229505,Initial
2023-02-16,1,0110,0.14342438075125222,0<->2
2023-03-17,0,1100,-0.15444917006496553,Initial
2023-03-17,1,0101,-0.04352216535281425,0<->3
2023-04-27,0,1100,-0.024661467358864122,Initial
2023-04-27,1,0101,0.06800239720814319,0<->3
2023-05-30,0,1100,-0.14084022310309025,Initial
2023-05-30,1,0101,0.06365194248222136,0<->3
2023-07-05,0,1100,-0.12753338015938728,Initial
2023-07-05,1,0101,0.09419937456936106,0<->3
2023-08-04,0,1100,-0.01150373379768515,Initial
2023-08-04,1,0110,0.0964918464312888,0<->2
2023-09-05,0,1100,0.07501844275071023,Initial
2023-10-05,0,1100,0.10347883230958618,Initial
2023-10-05,1,0110,0.10416682914416013,0<->2
2023-11-03,0,1100,-0.07534402227481413,Initial
2023-11-03,1,0110,0.03273163127554942,0<->2
2023-12-04,0,1100,0.09473200342583753,Initial
2023-12-04,1,1010,0.1688709959415598,1<->2
