Date,ADRO.JK,BBCA.JK,SMGR.JK,TLKM.JK
2020-06-02,328.181640625,4515.49658203125,8238.6943359375,2201.51025390625
2020-06-03,333.9140930175781,4869.32275390625,8217.5146484375,2228.60595703125
2020-06-04,333.6549072265625,4877.74755859375,8132.79833984375,2235.379638671875
2020-06-05,327.69677734375,4822.98876953125,7984.5439453125,2187.962646484375
2020-06-08,345.57110595703125,4970.41552734375,8598.73828125,2187.962646484375
2020-06-09,351.5292663574219,4890.38427734375,8005.72314453125,2126.997802734375
2020-06-10,327.69677734375,4886.17236328125,7815.11181640625,2106.67626953125
2020-06-11,318.75958251953125,4785.078125,8005.72314453125,2086.354248046875
2020-06-12,315.780517578125,4776.65380859375,7963.36474609375,2052.48486328125
2020-06-15,303.8642883300781,4633.43896484375,7984.5439453125,2093.128173828125
2020-06-16,320.24908447265625,4852.47314453125,8238.6943359375,2167.640869140625
2020-06-17,318.75958251953125,4818.7763671875,8153.97802734375,2174.414794921875
2020-06-18,306.8433837890625,4705.04638671875,7899.828125,2221.83203125
2020-06-19,309.8223571777344,4696.62158203125,8048.08203125,2221.83203125
2020-06-22,306.8433837890625,4667.13623046875,8111.619140625,2167.640869140625
2020-06-23,299.39569091796875,4734.53173828125,8090.4404296875,2120.223876953125
2020-06-24,311.3119201660156,4806.14013671875,8026.90283203125,2154.09326171875
2020-06-25,299.39569091796875,4822.98876953125,8005.72314453125,2140.545654296875
2020-06-26,302.37469482421875,4755.59228515625,8048.08203125,2160.867431640625
2020-06-29,299.39569091796875,4780.86669921875,8026.90283203125,2154.09326171875
2020-06-30,296.4166564941406,4797.71484375,8188.833984375,2171.226806640625
2020-07-01,311.3119201660156,4886.17236328125,8210.1025390625,2164.10791015625
2020-07-02,312.80145263671875,4945.142578125,8188.833984375,2235.2958984375
2020-07-03,309.8223571777344,4945.142578125,8316.451171875,2221.05810546875
2020-07-06,317.27008056640625,4999.90185546875,8465.3388671875,2171.226806640625
2020-07-07,312.80145263671875,5046.23583984375,8231.3740234375,2221.05810546875
2020-07-08,317.27008056640625,5223.1494140625,8273.912109375,2242.414306640625
2020-07-09,326.2072448730469,5138.90478515625,8082.484375,2213.939697265625
2020-07-10,323.2281494140625,5223.1494140625,8018.67529296875,2213.939697265625
2020-07-13,344.08160400390625,5202.0888671875,7954.8662109375,2199.701904296875
2020-07-14,344.08160400390625,5223.1494140625,8210.1025390625,2192.583251953125
2020-07-15,336.63397216796875,5181.0263671875,8039.9453125,2199.701904296875
2020-07-16,330.6758117675781,5206.30029296875,7997.40576171875,2206.820556640625
2020-07-17,344.08160400390625,5155.75390625,7954.8662109375,2178.345703125
2020-07-20,336.63397216796875,5172.60205078125,8039.9453125,2178.345703125
2020-07-21,338.1235046386719,5223.1494140625,8061.21533203125,2178.345703125
2020-07-22,335.1443786621094,5206.30029296875,8167.56298828125,2185.464111328125
2020-07-23,336.63397216796875,5223.1494140625,8039.9453125,2185.464111328125
2020-07-24,324.71771240234375,5138.90478515625,7891.05810546875,2149.870361328125
2020-07-27,330.6758117675781,5138.90478515625,7976.13671875,2164.10791015625
2020-07-28,324.71771240234375,5210.51220703125,7997.40576171875,2149.870361328125
2020-07-29,323.2281494140625,5168.3896484375,8061.21533203125,2135.633056640625
2020-07-30,323.2281494140625,5256.8466796875,7848.51904296875,2171.226806640625
2020-08-03,306.8433837890625,5164.17822265625,7763.439453125,2078.6826171875
2020-08-04,308.3328552246094,5231.57373046875,7827.24853515625,2100.039306640625
2020-08-05,312.80145263671875,5227.36181640625,8039.9453125,2149.870361328125
2020-08-06,332.1653747558594,5273.69580078125,8167.56298828125,2149.870361328125
2020-08-07,326.2072448730469,5206.30029296875,8231.3740234375,2121.395263671875
2020-08-10,339.613037109375,5155.75390625,8167.56298828125,2114.276123046875
2020-08-11,342.592041015625,5202.0888671875,8167.56298828125,2085.801513671875
2020-08-12,333.6549072265625,5273.69580078125,8380.259765625,2100.039306640625
2020-08-13,332.1653747558594,5307.39306640625,8273.912109375,2142.751708984375
2020-08-14,332.1653747558594,5395.849609375,8082.484375,2156.9892578125
2020-08-18,332.1653747558594,5357.939453125,8295.1796875,2171.226806640625
2020-08-19,332.1653747558594,5332.6669921875,8125.0244140625,2135.633056640625
2020-08-24,326.2072448730469,5320.0302734375,8252.6416015625,2135.633056640625
2020-08-25,327.69677734375,5362.15234375,8763.1142578125,2121.395263671875
2020-08-26,330.6758117675781,5341.091796875,8890.732421875,2149.870361328125
2020-08-27,335.1443786621094,5560.126953125,9082.1591796875,2128.51416015625
2020-08-28,341.1025085449219,5471.669921875,9060.890625,2107.157958984375
2020-08-31,323.2281494140625,5286.33251953125,8975.8125,2035.969970703125
2020-09-01,339.613037109375,5492.73046875,9358.6650390625,2064.4453125
2020-09-02,361.95599365234375,5421.123046875,9103.4296875,2100.039306640625
2020-09-03,358.9768981933594,5475.8818359375,8954.54296875,2064.4453125
2020-09-04,358.9768981933594,5374.7880859375,8805.6533203125,2035.969970703125
2020-09-07,372.3826904296875,5294.7568359375,8997.0810546875,2064.4453125
2020-09-08,369.4036560058594,5336.87939453125,8678.0361328125,2035.969970703125
2020-09-09,357.4874267578125,5261.05859375,8592.95703125,1993.25732421875
2020-09-10,333.6549072265625,4894.595703125,7997.40576171875,1922.0693359375
2020-09-11,351.5292663574219,4974.6279296875,7997.40576171875,2000.376220703125
2020-09-14,357.4874267578125,5096.78271484375,8380.259765625,2057.326171875
