Date,ASII.JK,BBCA.JK,BMRI.JK,ICBP.JK,KLBF.JK,SMGR.JK,TLKM.JK,UNTR.JK
2020-06-02,3038.072998046875,4515.4970703125,1718.7503662109375,7419.6201171875,1245.178955078125,8367.8828125,2381.025146484375,8905.50390625
2020-06-03,3140.8408203125,4869.32275390625,1808.0360107421875,7441.50732421875,1272.150390625,8346.3720703125,2410.329833984375,9286.1982421875
2020-06-04,3057.341552734375,4877.74755859375,1759.6729736328125,7441.50732421875,1267.6551513671875,8260.3271484375,2417.65625,9245.408203125
2020-06-05,3211.493408203125,4822.98779296875,1804.3155517578125,7550.94287109375,1267.6551513671875,8109.7470703125,2366.372802734375,9299.79296875
2020-06-08,3227.55078125,4970.416015625,1953.1253662109375,7682.26171875,1281.1407470703125,8733.57421875,2366.372802734375,9544.5244140625
2020-06-09,3211.493408203125,4890.38427734375,1962.426025390625,7791.69580078125,1267.6551513671875,8131.25927734375,2300.4365234375,9666.892578125
2020-06-10,3115.148681640625,4886.171875,1826.636962890625,7572.82861328125,1321.597900390625,7937.65771484375,2278.45751953125,9367.775390625
2020-06-11,3018.803955078125,4785.0791015625,1744.7919921875,7529.05419921875,1276.6456298828125,8131.25927734375,2256.4794921875,8946.2919921875
2020-06-12,3076.610595703125,4776.6533203125,1819.196533203125,7529.05419921875,1240.68359375,8088.2353515625,2219.84765625,8946.2919921875
2020-06-15,3044.49560546875,4633.4384765625,1755.95263671875,7616.60205078125,1263.16015625,8109.7470703125,2263.805419921875,8769.5419921875
2020-06-16,3192.224365234375,4852.47412109375,1869.419677734375,7769.81005859375,1281.1407470703125,8367.8828125,2344.3935546875,9218.2158203125
2020-06-17,3192.224365234375,4818.77587890625,1822.916748046875,7835.4697265625,1285.6361083984375,8281.8369140625,2351.719970703125,9626.1025390625
2020-06-18,3083.03369140625,4705.04638671875,1793.1551513671875,7660.37548828125,1267.6551513671875,8023.70263671875,2403.003662109375,9598.9091796875
2020-06-19,3140.8408203125,4696.6220703125,1815.4765625,7813.5830078125,1312.6075439453125,8174.2822265625,2403.003662109375,9707.6806640625
2020-06-22,3140.8408203125,4667.13720703125,1789.434814453125,7966.79052734375,1321.597900390625,8238.81640625,2344.3935546875,9625.0966796875
2020-06-23,3147.26318359375,4734.53173828125,1781.994384765625,7813.5830078125,1290.131103515625,8217.3046875,2293.1103515625,9440.0
2020-06-24,3211.493408203125,4806.13916015625,1915.923095703125,7944.9033203125,1312.6075439453125,8152.77001953125,2329.7412109375,9525.4287109375
2020-06-25,3249.291015625,4822.98779296875,1869.419677734375,7857.357421875,1308.1121826171875,8131.25927734375,2315.0888671875,9383.0458984375
2020-06-26,3249.291015625,4755.59326171875,1860.119384765625,8076.22509765625,1299.121826171875,8174.2822265625,2337.0673828125,9383.0458984375
2020-06-29,3182.9794921875,4780.86669921875,1837.7978515625,8229.431640625,1294.6265869140625,8152.77001953125,2329.7412109375,9511.1904296875
2020-06-30,3182.9794921875,4797.71484375,1841.51806640625,8185.65869140625,1312.6075439453125,8317.240234375,2348.27197265625,9425.759765625
2020-07-01,3189.610595703125,4886.171875,1856.399169921875,8054.33837890625,1317.1025390625,8338.84375,2340.57275390625,9682.0498046875
2020-07-02,3229.39794921875,4945.14306640625,1860.119384765625,8360.7529296875,1344.073974609375,8317.240234375,2417.5654296875,9767.4794921875
2020-07-03,3216.135498046875,4945.14306640625,1860.119384765625,8251.3173828125,1344.073974609375,8446.8583984375,2402.166748046875,9767.4794921875
2020-07-06,3209.504150390625,4999.90087890625,1888.0211181640625,8251.3173828125,1375.5406494140625,8598.08203125,2348.27197265625,9810.1962890625
2020-07-07,3202.873046875,5046.23681640625,1878.7205810546875,8316.978515625,1362.0550537109375,8360.4462890625,2402.166748046875,9867.1484375
2020-07-08,3255.9228515625,5223.14892578125,1962.426025390625,8273.205078125,1366.5501708984375,8403.65234375,2425.2646484375,10507.8740234375
2020-07-09,3249.291015625,5138.9052734375,1953.1253662109375,8185.65869140625,1375.5406494140625,8209.2236328125,2394.46728515625,10507.8740234375
2020-07-10,3202.873046875,5223.14892578125,1925.2237548828125,8076.22509765625,1321.597900390625,8144.41455078125,2394.46728515625,10208.869140625
2020-07-13,3249.291015625,5202.087890625,1953.1253662109375,8098.11083984375,1312.6075439453125,8079.60498046875,2379.069091796875,10536.34765625
2020-07-14,3282.447265625,5223.14892578125,1971.7264404296875,8273.205078125,1353.0645751953125,8338.84375,2371.3701171875,10436.6806640625
2020-07-15,3415.071533203125,5181.0263671875,1962.426025390625,8273.205078125,1357.559814453125,8166.017578125,2379.069091796875,10393.96484375
2020-07-16,3481.3837890625,5206.30029296875,1962.426025390625,8382.6396484375,1335.08349609375,8122.81201171875,2386.768310546875,10436.6806640625
2020-07-17,3448.2275390625,5155.7529296875,1925.2237548828125,8119.99853515625,1317.1025390625,8079.60498046875,2355.971435546875,10507.8740234375
2020-07-20,3381.91552734375,5172.6025390625,1897.32177734375,8163.77197265625,1335.08349609375,8166.017578125,2355.971435546875,10479.39453125
2020-07-21,3564.273681640625,5223.14892578125,1971.7264404296875,8163.77197265625,1366.5501708984375,8187.62109375,2355.971435546875,11006.212890625
