Date,Selected,Equity
2021-01-04,"['TLKM.JK', 'SMGR.JK', 'ASII.JK', 'ICBP.JK']",96000244.91836932
2021-02-02,"['BBCA.JK', 'KLBF.JK', 'ASII.JK', 'ICBP.JK']",93015361.07501745
2021-03-04,"['BBCA.JK', 'TLKM.JK', 'SMGR.JK', 'UNTR.JK']",88882141.22398856
2021-04-06,"['BMRI.JK', 'ASII.JK', 'UNTR.JK', 'ICBP.JK']",86638964.88676172
2021-05-05,"['TLKM.JK', 'BMRI.JK', 'UNTR.JK', 'ICBP.JK']",90445577.9817502
2021-06-10,"['TLKM.JK', 'KLBF.JK', 'ASII.JK', 'UNTR.JK']",80456166.87881626
2021-07-09,"['SMGR.JK', 'KLBF.JK', 'UNTR.JK', 'ICBP.JK']",80079069.88918695
2021-08-10,"['BBCA.JK', 'BMRI.JK', 'KLBF.JK', 'UNTR.JK']",89143042.94125877
2021-09-10,"['TLKM.JK', 'BMRI.JK', 'ASII.JK', 'UNTR.JK']",93000610.97713202
2021-10-11,"['KLBF.JK', 'ASII.JK', 'UNTR.JK', 'ICBP.JK']",98441025.33222787
2021-11-10,"['SMGR.JK', 'KLBF.JK', 'UNTR.JK', 'ICBP.JK']",99716590.25232033
2021-12-09,"['TLKM.JK', 'SMGR.JK', 'UNTR.JK', 'ICBP.JK']",100947708.88791078
2022-01-10,"['BBCA.JK', 'KLBF.JK', 'UNTR.JK', 'ICBP.JK']",99895015.65389892
2022-02-09,"['BBCA.JK', 'SMGR.JK', 'KLBF.JK', 'UNTR.JK']",105425869.39539467
2022-03-14,"['BMRI.JK', 'KLBF.JK', 'UNTR.JK', 'ICBP.JK']",109556243.98319368
2022-04-12,"['SMGR.JK', 'ASII.JK', 'UNTR.JK', 'ICBP.JK']",110200383.4161667
2022-05-23,"['BBCA.JK', 'KLBF.JK', 'ASII.JK', 'ICBP.JK']",112055260.26872696
2022-06-23,"['KLBF.JK', 'ASII.JK', 'UNTR.JK', 'ICBP.JK']",112369151.20014754
2022-07-22,"['BBCA.JK', 'KLBF.JK', 'ASII.JK', 'ICBP.JK']",116986434.83305402
2022-08-23,"['BBCA.JK', 'TLKM.JK', 'SMGR.JK', 'ICBP.JK']",125199270.87414137
2022-09-21,"['SMGR.JK', 'BMRI.JK', 'KLBF.JK', 'ICBP.JK']",128233635.87849867
2022-10-20,"['BBCA.JK', 'BMRI.JK', 'KLBF.JK', 'UNTR.JK']",129507906.66486908
2022-11-18,"['TLKM.JK', 'KLBF.JK', 'ASII.JK', 'UNTR.JK']",124029125.84879084
2022-12-19,"['TLKM.JK', 'SMGR.JK', 'KLBF.JK', 'UNTR.JK']",120519196.68950221
2023-01-17,"['TLKM.JK', 'SMGR.JK', 'KLBF.JK', 'ASII.JK']",132377870.11862421
2023-02-16,"['SMGR.JK', 'KLBF.JK', 'ASII.JK', 'ICBP.JK']",123903852.06413479
2023-03-17,"['SMGR.JK', 'BMRI.JK', 'KLBF.JK', 'UNTR.JK']",134028936.75148487
2023-04-27,"['BBCA.JK', 'TLKM.JK', 'SMGR.JK', 'ASII.JK']",137074316.8391332
2023-05-30,"['BBCA.JK', 'BMRI.JK', 'ASII.JK', 'ICBP.JK']",141110585.18459517
2023-07-05,"['BBCA.JK', 'BMRI.JK', 'KLBF.JK', 'ICBP.JK']",145567277.78805497
2023-08-04,"['BBCA.JK', 'TLKM.JK', 'BMRI.JK', 'ICBP.JK']",144078899.71862632
2023-09-05,"['TLKM.JK', 'SMGR.JK', 'BMRI.JK', 'ICBP.JK']",143798677.78319007
2023-10-05,"['TLKM.JK', 'SMGR.JK', 'BMRI.JK', 'ICBP.JK']",135484417.86088523
2023-11-03,"['SMGR.JK', 'ASII.JK', 'UNTR.JK', 'ICBP.JK']",138124892.05467042
2023-12-04,"['BBCA.JK', 'SMGR.JK', 'KLBF.JK', 'UNTR.JK']",138687296.46262985
