Date,Selected,Equity
2021-01-04,['BBCA.JK'],84536076.95790607
2021-02-02,['BBCA.JK'],81443310.65496215
2021-03-04,['BBCA.JK'],81443310.65496215
2021-04-06,['ADRO.JK'],87541681.91792881
2021-05-05,['ADRO.JK'],89319847.55903415
2021-06-10,['ADRO.JK'],82275483.04279475
2021-07-09,['BBCA.JK'],85637644.11077024
2021-08-10,['BBCA.JK'],89919508.74259287
2021-09-10,['BBCA.JK'],119563319.19589841
2021-10-11,['BBCA.JK'],112317069.04543573
2021-11-10,['BBCA.JK'],126809569.34636109
2021-12-09,['BBCA.JK'],172001970.95895556
2022-01-10,['BBCA.JK'],155721961.7446264
2022-02-09,['BBCA.JK'],212348129.6517633
2022-03-14,['BBCA.JK'],222257711.5916891
2022-04-12,['BBCA.JK'],245086032.4278079
2022-05-23,['BBCA.JK'],224353674.366267
2022-06-23,['BBCA.JK'],223613226.6164841
2022-07-22,['BBCA.JK'],233238945.1165874
2022-08-23,['BBCA.JK'],288031592.9269184
2022-09-21,['BBCA.JK'],284329405.30154103
2022-10-20,['BBCA.JK'],265818364.92758024
2022-11-18,['ADRO.JK'],260052455.6620853
2022-12-19,['BBCA.JK'],218505573.26428768
2023-01-17,['ADRO.JK'],235947098.14260885
2023-02-16,['ADRO.JK'],220660397.42736644
2023-03-17,['ADRO.JK'],249476240.61531788
2023-04-27,['ADRO.JK'],248120415.47331434
2023-05-30,['ADRO.JK'],245408750.37559363
2023-07-05,['ADRO.JK'],250832139.82588968
2023-08-04,['ADRO.JK'],250154205.03431743
2023-09-05,['ADRO.JK'],249476240.61531788
2023-10-05,['ADRO.JK'],239985316.48415664
2023-11-03,['ADRO.JK'],242697040.83673197
2023-12-04,['BBCA.JK'],245071591.23695624
