Date,Selected,Equity
2022-04-11,"['GOTO.JK', 'ADRO.JK', 'PGAS.JK', 'ITMG.JK', 'PTBA.JK', 'ANTM.JK']",107759251.45570391
2022-05-20,"['ASII.JK', 'BBNI.JK', 'ADRO.JK', 'PGAS.JK', 'ITMG.JK', 'ANTM.JK']",117980355.90700257
2022-06-22,"['BBNI.JK', 'ADRO.JK', 'PGAS.JK', 'ITMG.JK', 'PTBA.JK', 'ANTM.JK']",116725410.7355274
2022-07-21,"['BMRI.JK', 'BBNI.JK', 'GOTO.JK', 'PGAS.JK', 'PTBA.JK', 'ANTM.JK']",124444051.66847304
2022-08-22,"['TLKM.JK', 'ASII.JK', 'BBNI.JK', 'ITMG.JK', 'PTBA.JK', 'ANTM.JK']",125393638.68630418
2022-09-20,"['BBCA.JK', 'TLKM.JK', 'ASII.JK', 'GOTO.JK', 'ADRO.JK', 'PTBA.JK']",115018044.47270831
2022-10-19,"['BBCA.JK', 'TLKM.JK', 'UNVR.JK', 'BMRI.JK', 'GOTO.JK', 'ADRO.JK']",119134183.51510768
2022-11-17,"['BBCA.JK', 'BBNI.JK', 'GOTO.JK', 'ADRO.JK', 'PGAS.JK', 'ANTM.JK']",111897493.77041218
2022-12-16,"['ASII.JK', 'UNVR.JK', 'GOTO.JK', 'ADRO.JK', 'PGAS.JK', 'ITMG.JK']",104993193.9178343
2023-01-16,"['BBCA.JK', 'TLKM.JK', 'GOTO.JK', 'PGAS.JK', 'ITMG.JK', 'PTBA.JK']",107683605.11299284
2023-02-15,"['TLKM.JK', 'UNVR.JK', 'BMRI.JK', 'BBNI.JK', 'ADRO.JK', 'ANTM.JK']",102309496.12719369
2023-03-16,"['ASII.JK', 'UNVR.JK', 'BMRI.JK', 'BBNI.JK', 'GOTO.JK', 'ANTM.JK']",105362690.58202441
2023-04-26,"['BBCA.JK', 'TLKM.JK', 'ASII.JK', 'BMRI.JK', 'BBNI.JK', 'GOTO.JK']",102148342.47643399
2023-05-29,"['BBCA.JK', 'ASII.JK', 'BMRI.JK', 'GOTO.JK', 'ADRO.JK', 'PGAS.JK']",108683203.69655958
2023-07-04,"['TLKM.JK', 'ASII.JK', 'BMRI.JK', 'BBNI.JK', 'GOTO.JK', 'ITMG.JK']",110174537.21505243
2023-08-03,"['BBCA.JK', 'ASII.JK', 'BMRI.JK', 'GOTO.JK', 'ADRO.JK', 'ANTM.JK']",111289339.4307244
2023-09-04,"['ASII.JK', 'ADRO.JK', 'PGAS.JK', 'ITMG.JK', 'PTBA.JK', 'ANTM.JK']",110855454.16199824
2023-10-04,"['TLKM.JK', 'ASII.JK', 'BMRI.JK', 'BBNI.JK', 'PGAS.JK', 'ITMG.JK']",101288380.83700031
2023-11-02,"['TLKM.JK', 'BMRI.JK', 'BBNI.JK', 'GOTO.JK', 'ITMG.JK', 'PTBA.JK']",111889785.86429168
2023-12-01,"['BBCA.JK', 'BMRI.JK', 'BBNI.JK', 'ADRO.JK', 'PGAS.JK', 'PTBA.JK']",117594022.22619662
