Date,Selected,Equity
2021-01-04,"['SMGR.JK', 'KLBF.JK', 'UNTR.JK', 'AMRT.JK', 'ADRO.JK']",96584909.83005884
2021-02-02,"['SMGR.JK', 'BMRI.JK', 'KLBF.JK', 'ICBP.JK', 'ADRO.JK']",96205199.58283225
2021-03-04,"['TLKM.JK', 'SMGR.JK', 'UNTR.JK', 'AMRT.JK', 'ADRO.JK']",92808889.92958428
2021-04-06,"['TLKM.JK', 'KLBF.JK', 'ASII.JK', 'UNTR.JK', 'ADRO.JK']",91862956.3137703
2021-05-05,"['TLKM.JK', 'KLBF.JK', 'ASII.JK', 'UNTR.JK', 'AMRT.JK']",97551381.28778103
2021-06-10,"['TLKM.JK', 'SMGR.JK', 'BMRI.JK', 'UNTR.JK', 'AMRT.JK']",94153033.8780992
2021-07-09,"['BBCA.JK', 'TLKM.JK', 'SMGR.JK', 'ICBP.JK', 'AMRT.JK']",96533862.09470445
2021-08-10,"['TLKM.JK', 'KLBF.JK', 'ASII.JK', 'AMRT.JK', 'ADRO.JK']",103775398.57338157
2021-09-10,"['BBCA.JK', 'TLKM.JK', 'ICBP.JK', 'AMRT.JK', 'ADRO.JK']",114287233.65152115
2021-10-11,"['BBCA.JK', 'TLKM.JK', 'BMRI.JK', 'AMRT.JK', 'ADRO.JK']",109169828.81769487
2021-11-10,"['BBCA.JK', 'SMGR.JK', 'BMRI.JK', 'ASII.JK', 'ADRO.JK']",109136361.61151715
2021-12-09,"['BBCA.JK', 'ASII.JK', 'ICBP.JK', 'AMRT.JK', 'ADRO.JK']",115225234.30432573
2022-01-10,"['BBCA.JK', 'BMRI.JK', 'ICBP.JK', 'AMRT.JK', 'ADRO.JK']",113668602.91351594
2022-02-09,"['BBCA.JK', 'BMRI.JK', 'ASII.JK', 'UNTR.JK', 'AMRT.JK']",122261678.60759024
2022-03-14,"['BBCA.JK', 'TLKM.JK', 'BMRI.JK', 'UNTR.JK', 'AMRT.JK']",129672369.4300796
2022-04-12,"['BBCA.JK', 'SMGR.JK', 'KLBF.JK', 'UNTR.JK', 'AMRT.JK']",134767030.43145823
2022-05-23,"['BBCA.JK', 'TLKM.JK', 'ICBP.JK', 'AMRT.JK', 'ADRO.JK']",137445915.94807616
2022-06-23,"['BBCA.JK', 'SMGR.JK', 'ASII.JK', 'UNTR.JK', 'AMRT.JK']",137352626.63137972
2022-07-22,"['BBCA.JK', 'TLKM.JK', 'SMGR.JK', 'KLBF.JK', 'ADRO.JK']",149115964.2004677
2022-08-23,"['TLKM.JK', 'SMGR.JK', 'BMRI.JK', 'ASII.JK', 'ADRO.JK']",159515917.29997164
2022-09-21,"['BBCA.JK', 'TLKM.JK', 'SMGR.JK', 'ICBP.JK', 'AMRT.JK']",161389719.55764922
2022-10-20,"['TLKM.JK', 'SMGR.JK', 'BMRI.JK', 'KLBF.JK', 'AMRT.JK']",164362466.8099338
2022-11-18,"['TLKM.JK', 'BMRI.JK', 'KLBF.JK', 'ASII.JK', 'UNTR.JK']",164679012.15176514
2022-12-19,"['BBCA.JK', 'BMRI.JK', 'KLBF.JK', 'UNTR.JK', 'ADRO.JK']",149799828.51606753
2023-01-17,"['TLKM.JK', 'KLBF.JK', 'ASII.JK', 'UNTR.JK', 'ICBP.JK']",163064000.35282812
2023-02-16,"['TLKM.JK', 'SMGR.JK', 'BMRI.JK', 'KLBF.JK', 'ICBP.JK']",150760905.01224414
2023-03-17,"['TLKM.JK', 'BMRI.JK', 'KLBF.JK', 'ASII.JK', 'UNTR.JK']",159791397.4750135
2023-04-27,"['BBCA.JK', 'TLKM.JK', 'SMGR.JK', 'KLBF.JK', 'UNTR.JK']",153091307.33285245
2023-05-30,"['BBCA.JK', 'SMGR.JK', 'ASII.JK', 'ICBP.JK', 'AMRT.JK']",157982557.0277944
2023-07-05,"['TLKM.JK', 'SMGR.JK', 'ASII.JK', 'UNTR.JK', 'AMRT.JK']",158814517.89821756
2023-08-04,"['BBCA.JK', 'KLBF.JK', 'ASII.JK', 'UNTR.JK', 'ADRO.JK']",161719784.62804583
2023-09-05,"['TLKM.JK', 'KLBF.JK', 'UNTR.JK', 'AMRT.JK', 'ADRO.JK']",161815789.21310127
2023-10-05,"['TLKM.JK', 'SMGR.JK', 'KLBF.JK', 'ICBP.JK', 'ADRO.JK']",157738300.55375108
2023-11-03,"['BBCA.JK', 'SMGR.JK', 'BMRI.JK', 'KLBF.JK', 'ICBP.JK']",160709674.97615787
2023-12-04,"['BBCA.JK', 'TLKM.JK', 'ICBP.JK', 'AMRT.JK', 'ADRO.JK']",162947702.24485663
