Date,Equity
2022-04-11,100000000.0
2022-04-12,98838287.09362957
2022-04-13,101389774.33957219
2022-04-14,101309319.8808778
2022-04-18,100923426.8853865
2022-04-19,100029972.62984155
2022-04-20,99211275.29571737
2022-04-21,99279262.63438766
2022-04-22,99036925.25411832
2022-04-25,99420873.47543791
2022-04-26,99195479.11008786
2022-04-27,98986816.85780624
2022-04-28,100378156.97460432
2022-05-09,98901468.9689718
2022-05-10,100453498.12460831
2022-05-11,102560314.14780799
2022-05-12,100392606.47255218
2022-05-13,102527849.01972125
2022-05-17,105662516.5563559
2022-05-18,108324479.16436626
2022-05-19,107759251.45570391
2022-05-20,111166072.83822823
2022-05-23,109707189.84387457
2022-05-24,113189646.91379163
2022-05-25,113718613.72480789
2022-05-27,114585815.3997089
2022-05-30,114468533.44335978
2022-05-31,117670955.3280643
2022-06-02,116864133.56854174
2022-06-03,117121263.66780129
2022-06-06,119027532.59118444
2022-06-07,118484572.52759755
2022-06-08,118900598.9837322
2022-06-09,118663575.57714586
2022-06-10,115563789.54914826
2022-06-13,114164772.39797625
2022-06-14,115684106.14558318
2022-06-15,113357351.31240699
2022-06-16,116646415.55700737
2022-06-17,114476211.61227891
2022-06-20,115595756.82023601
2022-06-21,117980355.90700257
2022-06-22,117438105.46066518
2022-06-23,117218278.34381995
2022-06-24,117717121.21684802
2022-06-27,115813829.51704544
2022-06-28,116361301.79168224
2022-06-29,114932642.84896694
2022-06-30,111787411.1351031
2022-07-01,110597554.8158616
2022-07-04,108713281.05444402
2022-07-05,113258413.60112078
2022-07-06,111275882.85957342
2022-07-07,111946970.4187472
2022-07-08,112398790.91254339
2022-07-11,111620055.23859914
2022-07-12,113457698.13631542
2022-07-13,112765206.37354076
2022-07-14,113760699.94948411
2022-07-15,112241254.38604695
2022-07-18,113631035.4820298
2022-07-19,114705478.15932648
2022-07-20,116725410.7355274
2022-07-21,116823858.06065089
2022-07-22,117327799.08158886
2022-07-25,116083187.77912918
2022-07-26,116230022.69285938
2022-07-27,116638793.76476869
2022-07-28,117129417.24211738
2022-07-29,116990632.42114553
2022-08-01,116391587.91085067
2022-08-02,117956632.89400813
2022-08-03,119352579.92389742
2022-08-04,118503979.91246828
2022-08-05,119688755.23585278
2022-08-08,120020635.54744706
2022-08-09,119848098.41792434
2022-08-10,119902349.17306378
2022-08-11,120995688.35609066
2022-08-12,120784164.43894172
2022-08-15,120480985.33324787
2022-08-16,122347177.997179
2022-08-18,124334306.9715693
2022-08-19,124444051.66847304
2022-08-22,123152886.67583913
2022-08-23,125061508.01621109
2022-08-24,126047609.93091112
2022-08-25,124862264.42401284
2022-08-26,122624693.71877044
2022-08-29,122030946.137048
2022-08-30,123096252.5835253
2022-08-31,123797560.94253683
2022-09-01,123083380.16734418
2022-09-02,122772517.85670197
2022-09-05,124541947.63323382
2022-09-06,124050042.68331462
2022-09-07,123072983.95022246
2022-09-08,122449232.98969254
2022-09-09,123679426.32214633
2022-09-12,124666088.68279177
2022-09-13,127506161.95379657
