Date,Selected,Equity
2021-01-04,"['BBCA.JK', 'SMGR.JK']",88093097.37215516
2021-02-02,"['TLKM.JK', 'SMGR.JK']",87474238.35288161
2021-03-04,"['SMGR.JK', 'ADRO.JK']",82073658.8367034
2021-04-06,"['SMGR.JK', 'ADRO.JK']",79730174.93951847
2021-05-05,"['SMGR.JK', 'ADRO.JK']",85509537.7919127
2021-06-10,"['TLKM.JK', 'ADRO.JK']",76613784.65637478
2021-07-09,"['BBCA.JK', 'ADRO.JK']",81196567.75605364
2021-08-10,"['BBCA.JK', 'TLKM.JK']",84732596.95683679
2021-09-10,"['BBCA.JK', 'ADRO.JK']",104327845.97864358
2021-10-11,"['BBCA.JK', 'ADRO.JK']",100253716.5317752
2021-11-10,"['BBCA.JK', 'ADRO.JK']",111876490.11666313
2021-12-09,"['BBCA.JK', 'ADRO.JK']",132987857.14351818
2022-01-10,"['BBCA.JK', 'SMGR.JK']",126093312.12329535
2022-02-09,"['BBCA.JK', 'ADRO.JK']",155491489.4771812
2022-03-14,"['BBCA.JK', 'ADRO.JK']",158786608.2262467
2022-04-12,"['BBCA.JK', 'ADRO.JK']",159706172.24795288
2022-05-23,"['BBCA.JK', 'TLKM.JK']",152791066.40472177
2022-06-23,"['BBCA.JK', 'ADRO.JK']",154712147.48876363
2022-07-22,"['BBCA.JK', 'ADRO.JK']",165149160.8454231
2022-08-23,"['BBCA.JK', 'SMGR.JK']",190866460.9565251
2022-09-21,"['BBCA.JK', 'ADRO.JK']",184694155.64928892
2022-10-20,"['BBCA.JK', 'SMGR.JK']",179865292.30956227
2022-11-18,"['TLKM.JK', 'SMGR.JK']",171155157.671974
2022-12-19,"['BBCA.JK', 'SMGR.JK']",162260109.19704044
2023-01-17,"['BBCA.JK', 'SMGR.JK']",160616016.82038143
2023-02-16,"['BBCA.JK', 'SMGR.JK']",135037725.45735484
2023-03-17,"['TLKM.JK', 'ADRO.JK']",154368975.3329689
2023-04-27,"['TLKM.JK', 'ADRO.JK']",150442427.54397783
2023-05-30,"['BBCA.JK', 'TLKM.JK']",156411269.4661844
2023-07-05,"['BBCA.JK', 'ADRO.JK']",152076373.49767548
2023-08-04,"['TLKM.JK', 'SMGR.JK']",150179099.61855614
2023-09-05,"['TLKM.JK', 'SMGR.JK']",144761052.6392991
2023-10-05,"['TLKM.JK', 'ADRO.JK']",139483434.62008232
2023-11-03,"['SMGR.JK', 'ADRO.JK']",147895187.5279797
2023-12-04,"['BBCA.JK', 'TLKM.JK']",150852416.8897829
