Date,ADRO.JK,AMRT.JK,ASII.JK,BBCA.JK,BMRI.JK,ICBP.JK,KLBF.JK,SMGR.JK,TLKM.JK,UNTR.JK
2020-06-02,328.1816101074219,846.702880859375,3038.072509765625,4515.4970703125,1718.7503662109375,7419.62158203125,1245.178955078125,8367.8828125,2381.025146484375,8905.501953125
2020-06-03,333.9140319824219,837.295166015625,3140.8408203125,4869.3232421875,1808.0360107421875,7441.5068359375,1272.1505126953125,8346.373046875,2410.330078125,9286.197265625
2020-06-04,333.6549072265625,837.295166015625,3057.34130859375,4877.7470703125,1759.6727294921875,7441.5068359375,1267.655029296875,8260.3271484375,2417.65625,9245.4091796875
2020-06-05,327.6967468261719,827.8872680664062,3211.493408203125,4822.9892578125,1804.3157958984375,7550.94189453125,1267.655029296875,8109.7470703125,2366.37255859375,9299.7939453125
2020-06-08,345.5711669921875,813.7755737304688,3227.551025390625,4970.416015625,1953.1253662109375,7682.2626953125,1281.140869140625,8733.57421875,2366.37255859375,9544.5234375
2020-06-09,351.52923583984375,785.5521240234375,3211.493408203125,4890.38427734375,1962.426025390625,7791.69580078125,1267.655029296875,8131.2587890625,2300.4365234375,9666.890625
2020-06-10,327.6967468261719,790.2560424804688,3115.148681640625,4886.17138671875,1826.636962890625,7572.828125,1321.597900390625,7937.65673828125,2278.4580078125,9367.7734375
2020-06-11,318.7595520019531,780.8482055664062,3018.803955078125,4785.07958984375,1744.7918701171875,7529.05517578125,1276.6456298828125,8131.2587890625,2256.479248046875,8946.29296875
2020-06-12,315.780517578125,785.5521240234375,3076.611083984375,4776.6533203125,1819.196533203125,7529.05517578125,1240.6837158203125,8088.23681640625,2219.84814453125,8946.29296875
2020-06-15,303.8642883300781,752.6246948242188,3044.49609375,4633.43798828125,1755.95263671875,7616.6025390625,1263.159912109375,8109.7470703125,2263.805419921875,8769.541015625
2020-06-16,320.2491149902344,738.5131225585938,3192.224609375,4852.47412109375,1869.419921875,7769.810546875,1281.140869140625,8367.8828125,2344.393798828125,9218.2158203125
