Date,VQE,Nash,Benchmark
2022-02-07,155721938.00003433,155721938.00003433,143835329.91089004
2022-02-08,155721938.00003433,155721938.00003433,143277131.02687356
2022-02-09,156429768.88330352,156429768.88330352,145341669.48295593
2022-02-10,152890652.80960774,152890652.80960774,141903535.77003855
2022-02-11,153598458.13111016,153598458.13111016,142851649.6955158
2022-02-14,157845430.6498419,157845430.6498419,144260822.50996077
2022-02-15,162092377.60680687,162092377.60680687,147902810.59650785
2022-02-16,158553274.31399447,158553274.31399447,146697504.82310045
2022-02-17,157137612.5474561,157137612.5474561,145359456.14818782
2022-02-18,158553274.31399447,158553274.31399447,146325372.23375612
2022-02-21,157137612.5474561,157137612.5474561,145731597.19182456
2022-02-22,157845430.6498419,157845430.6498419,145749369.77592292
2022-02-23,164215870.25661442,164215870.25661442,150375040.8912648
2022-02-24,175541100.4845045,175541100.4845045,156241603.79191646
2022-02-25,173417607.83469695,173417607.83469695,155443974.3763552
2022-03-01,182619383.7554296,182619383.7554296,160512928.9831459
2022-03-02,184742850.8434704,184742850.8434704,161124478.02290148
2022-03-04,215179412.67256144,215179412.67256144,177332767.89420474
2022-03-07,229335953.65264484,229335953.65264484,183642591.75087926
2022-03-08,220842059.7387149,220842059.7387149,178591444.93102074
2022-03-09,218010710.6438714,218010710.6438714,178520299.66978812
2022-03-10,210932452.93471307,210932452.93471307,175179332.71449167
2022-03-11,212348140.2630182,212348140.2630182,176145254.42690107
2022-03-14,197483755.6187822,197483755.6187822,168887295.523049
2022-03-15,191821108.55262873,191821108.55262873,166326129.06065062
2022-03-16,199607222.706823,199607222.706823,170987383.37447432
2022-03-17,193944588.4215529,193944588.4215529,166379477.80266404
2022-03-18,192528926.65501454,192528926.65501454,164855362.83307922
2022-03-21,192528926.65501454,192528926.65501454,164855362.83307922
2022-03-22,198191560.94028464,198191560.94028464,168160795.88789195
2022-03-23,198191560.94028464,198191560.94028464,167974721.13892737
2022-03-24,203854195.22555473,203854195.22555473,171280154.19374007
2022-03-25,199607222.706823,199607222.706823,169126703.51916784
2022-03-28,202438520.67813298,202438520.67813298,171215340.2792245
