Depth,Iteration,Energy,Entropy,Grad_Var,Penalty_Scale
1,10,0.029350896603666778,1.7063377134276698e-05,3.484835545727108e-06,0.5
1,20,0.029350648822866098,2.62750558356532e-05,3.3000380951381887e-06,0.6071428571428572
1,30,0.029350366759530136,5.7931056640456524e-05,2.7131196482957848e-06,0.7142857142857142
1,40,0.029350555735988992,5.037096405694365e-05,4.411432600605997e-06,0.8214285714285714
1,50,0.029350711967987685,4.3460397616467706e-05,4.6463414254457965e-06,0.9285714285714286
1,60,0.0293505407346888,4.7800442861466e-05,5.115476347500256e-06,1.0357142857142856
1,70,0.029349975187201657,7.991159311269615e-05,5.9732529718584575e-06,1.1428571428571428
1,80,0.029350363421068216,6.99787224573353e-05,4.369598092047491e-06,1.25
1,90,0.029350970700868468,7.032230110466473e-05,4.419968365804263e-06,1.3571428571428572
1,100,0.0293494365178821,0.0001251528097095492,1.2868167253371813e-05,1.464285714285714
1,110,0.029349054278159672,0.0001479927013181788,1.1109940883928364e-05,1.5714285714285714
1,120,0.029348812552626207,0.0001703776040063132,1.1023338202071974e-05,1.6785714285714288
1,130,0.02934776169239368,0.00023503069575093435,1.1677739601702173e-05,1.7857142857142856
1,140,0.029347035935751515,0.0002993981733029899,1.4170205344039561e-05,1.8928571428571428
1,150,0.02934697316273525,0.00028581606255042793,1.2475943419789428e-05,2.0
1,160,0.029346684222824906,0.00033025457106657823,1.3025449733069241e-05,2.1071428571428577
1,170,0.029345233600592265,0.0004067379279164486,1.7310271592283557e-05,2.2142857142857144
1,180,0.029344250530165615,0.00047139866877693324,2.1301205535373496e-05,2.3214285714285716
1,190,0.02934412685366052,0.00048172512763740603,1.4395616195246619e-05,2.4285714285714284
1,200,0.029344708282934326,0.0004557832404834899,1.90212492292668e-05,2.5357142857142856
1,210,0.029343787304861927,0.0005014434121457119,2.0218683943563377e-05,2.642857142857143
1,220,0.029343278744802696,0.0005170648671802584,1.6641604336987553e-05,2.75
1,230,0.02934328809357117,0.0005664653000894784,2.0412127751504698e-05,2.8571428571428577
1,240,0.029342763597081864,0.0005778044517936266,2.2384493337835625e-05,2.964285714285715
1,250,0.02934111908059461,0.0007229828570842319,3.3795535843574215e-05,3.071428571428571
1,260,0.02934049692211881,0.0007453512256769108,2.9177247212276422e-05,3.1785714285714284
1,270,0.029337025702423452,0.0009059699717763627,3.904012016112898e-05,3.2857142857142856
1,280,0.02933678556184082,0.0009281437372840929,2.9105405200428488e-05,3.3928571428571432
1,290,0.02933488839057047,0.0010126986974646095,4.2700075203685043e-05,3.5
1,300,0.029331658055469712,0.0012519863072569903,5.526907505491039e-05,3.607142857142857
1,310,0.02933004897514734,0.0013492814535047964,3.904344578502841e-05,3.7142857142857144
1,320,0.02932835523387976,0.0014440538681678283,4.08626618120397e-05,3.8214285714285716
1,330,0.029328192795195628,0.0014211186823471578,2.945322974987236e-05,3.9285714285714284
1,340,0.029324955258953823,0.0016059085751914635,6.149551541794493e-05,4.035714285714286
1,350,0.0293231206443832,0.0017065766041871404,4.5755893978737003e-05,4.142857142857143
1,360,0.02931993408957242,0.0019011146431214306,5.1922073526611776e-05,4.25
1,370,0.029316734747471214,0.0020439414875339863,5.961368488193409e-05,4.357142857142857
1,380,0.029316196215502036,0.0020830766747705156,3.819723352425382e-05,4.4642857142857135
1,390,0.02931620632950846,0.0020567779075736227,3.9832074319463426e-05,4.571428571428571
1,400,0.029312671822877064,0.00226693680405808,6.633231484850035e-05,4.678571428571429
1,410,0.029312547669010747,0.00223764384783956,4.949299155429132e-05,4.785714285714286
1,420,0.029309482867139365,0.0023866901781733527,6.234014217443793e-05,4.892857142857142
1,430,0.02930845050730426,0.002489933826578285,5.940781763049235e-05,5.0
1,440,0.02930324804234351,0.0027418966377498427,8.127254195797458e-05,5.0
1,450,0.02929775301437945,0.003010136821027363,7.685050544181188e-05,5.0
1,460,0.029292175024747565,0.0032695649359507843,8.805852516669551e-05,5.0
1,470,0.0292920670749679,0.0033848702216843665,4.332951584412255e-05,5.0
1,480,0.02928686830079118,0.0035461736856536056,7.973322111707728e-05,5.0
1,490,0.029284237305603183,0.0036600820425185805,5.625367558205489e-05,5.0
1,500,0.029278994364516312,0.004002166957180656,9.04260939302584e-05,5.0
1,510,0.029269418615821087,0.004414971674791555,9.875200297694636e-05,5.0
1,520,0.029261084838563885,0.004759133425619249,9.609524478154167e-05,5.0
1,530,0.0292566324607403,0.004965320523785193,7.365731980531301e-05,5.0
1,540,0.02925438795891451,0.005130825509347127,4.534908847154808e-05,5.0
1,550,0.02925174136758697,0.0051872251721712375,5.30867561047659e-05,5.0
1,560,0.029243703106282187,0.005592808230267694,0.00010205024980279352,5.0
1,570,0.029235293504004358,0.0059692484515657925,9.683239867863322e-05,5.0
1,580,0.02923517168254913,0.0060008390742144055,2.1667707802302813e-05,5.0
1,590,0.029234542335605528,0.006124839206248056,3.2473600986672556e-05,5.0
1,600,0.02922613235380335,0.006440985222162401,9.913727297499461e-05,5.0
2,10,0.3157968312256778,0.00034630022736017866,0.00012463870515694566,0.5
2,20,0.4221967871200569,0.0005549332233589439,0.000539634919885652,0.6071428571428572
2,30,0.5264753369311406,0.0007740406726840406,0.0030851309324873787,0.7142857142857142
2,40,0.6279041526684038,0.004043062963255625,0.006273867413203943,0.8214285714285714
2,50,0.7279979198041643,0.012571633915792638,0.008365720032409844,0.9285714285714286
2,60,0.8050142322016717,0.015961762933900607,0.04147187713904724,1.0357142857142856
2,70,0.8532705522308109,5.9771867894221043e-05,0.0899615422930026,1.1428571428571428
2,80,0.8232130115503272,0.07453699851576359,0.21608013932994902,1.25
2,90,0.6540547230726856,0.15066334800900077,0.49614549100767996,1.3571428571428572
2,100,0.3362966987043983,0.260900842993357,0.7263468121538303,1.464285714285714
2,110,0.2964144804770886,0.21946040567836192,0.16654272653160987,1.5714285714285714
2,120,0.15634319009421646,0.4232054559554562,0.3587712567049639,1.6785714285714288
2,130,0.10032659052582488,0.4749500151114462,0.16704911266606406,1.7857142857142856
2,140,0.048800976457080494,0.5232698079328648,0.15495877302364577,1.8928571428571428
2,150,0.0184888164842827,0.5172907318716838,0.0936535098679233,2.0
2,160,0.005214244759477689,0.5478824663405799,0.04718270091203133,2.1071428571428577
