Date,LearningRate,Energy
2021-01-04,0.001,-0.18894507440414596
2021-01-04,0.0026826957952797246,-0.18894554849401393
2021-01-04,0.0071968567300115215,-0.18894660639629354
2021-01-04,0.019306977288832496,-0.18894828014425447
2021-01-04,0.0517947467923121,-0.18894861978949215
2021-01-04,0.13894954943731375,-0.18894535143552585
2021-01-04,0.3727593720314938,-0.18894782895420004
2021-01-04,1.0,-0.1890272241257898
2021-02-02,0.001,-0.11106005661573082
2021-02-02,0.0026826957952797246,-0.11106056201649482
2021-02-02,0.0071968567300115215,-0.11106168675303918
2021-02-02,0.019306977288832496,-0.11106345275084753
2021-02-02,0.0517947467923121,-0.11106381520345508
2021-02-02,0.13894954943731375,-0.1110605023796187
2021-02-02,0.3727593720314938,-0.11105783532897572
2021-02-02,1.0,-0.11104510311976865
2021-03-04,0.001,-0.0737271263583434
2021-03-04,0.0026826957952797246,-0.07372763651951862
2021-03-04,0.0071968567300115215,-0.07372877131016194
2021-03-04,0.019306977288832496,-0.07373055074066519
2021-03-04,0.0517947467923121,-0.07373091926286603
2021-03-04,0.13894954943731375,-0.07372764607489651
2021-03-04,0.3727593720314938,-0.07372503560470617
2021-03-04,1.0,-0.07371226480205624
2021-04-06,0.001,4.84011870730037
2021-04-06,0.0026826957952797246,4.8401180344462125
2021-04-06,0.0071968567300115215,4.840115878816283
2021-04-06,0.019306977288832496,4.840106736543734
2021-04-06,0.0517947467923121,4.840012976101252
2021-04-06,0.13894954943731375,4.5516705817361185
2021-04-06,0.3727593720314938,-0.0538836949611999
2021-04-06,1.0,-0.09088814804004641
2021-05-05,0.001,4.772929864357095
2021-05-05,0.0026826957952797246,4.772929205363692
2021-05-05,0.0071968567300115215,4.772927097588423
2021-05-05,0.019306977288832496,4.772918196243266
2021-05-05,0.0517947467923121,4.772827577461997
2021-05-05,0.13894954943731375,4.492517474095107
2021-05-05,0.3727593720314938,-0.1025664162686542
2021-05-05,1.0,-0.10686217708561621
2021-06-10,0.001,5.021645947659751
2021-06-10,0.0026826957952797246,5.021645238787991
2021-06-10,0.0071968567300115215,5.021642958365681
2021-06-10,0.019306977288832496,5.021633182717536
2021-06-10,0.0517947467923121,5.021530865663995
2021-06-10,0.13894954943731375,4.705881109864544
2021-06-10,0.3727593720314938,0.07127560200955545
2021-06-10,1.0,0.04533070537776414
2021-07-09,0.001,0.10625085164730806
2021-07-09,0.0026826957952797246,0.10625031953418267
2021-07-09,0.0071968567300115215,0.10624913832336554
2021-07-09,0.019306977288832496,0.10624729633294702
2021-07-09,0.0517947467923121,0.10624689686640171
2021-07-09,0.13894954943731375,0.10624998915494697
2021-07-09,0.3727593720314938,0.10625239529955616
2021-07-09,1.0,0.10626480780113329
2021-08-10,0.001,0.07115453927075477
2021-08-10,0.0026826957952797246,0.07115404062319738
2021-08-10,0.0071968567300115215,0.0711529308410073
2021-08-10,0.019306977288832496,0.0711511879060379
2021-08-10,0.0517947467923121,0.0711508076570211
2021-08-10,0.13894954943731375,0.07115372664000805
2021-08-10,0.3727593720314938,0.07114848309227799
2021-08-10,1.0,0.0710343963054681
2021-09-10,0.001,0.002204136131048593
2021-09-10,0.0026826957952797246,0.002203641930934044
2021-09-10,0.0071968567300115215,0.0022025414723882693
2021-09-10,0.019306977288832496,0.0022008106700743676
2021-09-10,0.0517947467923121,0.0022004401373842287
2021-09-10,0.13894954943731375,0.0022034672970251625
2021-09-10,0.3727593720314938,0.002199713381141773
2021-09-10,1.0,0.0021985136978872515
2021-10-11,0.001,-0.19348033351662627
2021-10-11,0.0026826957952797246,-0.1934807870627839
2021-10-11,0.0071968567300115215,-0.1934818007957141
2021-10-11,0.019306977288832496,-0.19348341234277314
2021-10-11,0.0517947467923121,-0.1934837422095692
2021-10-11,0.13894954943731375,-0.1934806230077342
2021-10-11,0.3727593720314938,-0.19349105988893486
2021-10-11,1.0,-0.19359038089949618
2021-11-10,0.001,-0.18852107320657552
2021-11-10,0.0026826957952797246,-0.1885215400839324
2021-11-10,0.0071968567300115215,-0.1885225825242806
2021-11-10,0.019306977288832496,-0.18852423471368895
2021-11-10,0.0517947467923121,-0.18852457184039872
2021-11-10,0.13894954943731375,-0.18852135294817443
2021-11-10,0.3727593720314938,-0.1885261735043719
2021-11-10,1.0,-0.18861807779617681
2021-12-09,0.001,-0.12898884597990543
2021-12-09,0.0026826957952797246,-0.12898929842184742
2021-12-09,0.0071968567300115215,-0.12899030953749233
2021-12-09,0.019306977288832496,-0.12899191625301884
2021-12-09,0.0517947467923121,-0.12899225272012144
2021-12-09,0.13894954943731375,-0.12898929950736335
2021-12-09,0.3727593720314938,-0.12900476275382042
2021-12-09,1.0,-0.12897570616441603
2022-01-10,0.001,-0.25638578382319976
2022-01-10,0.0026826957952797246,-0.25638620057701245
2022-01-10,0.0071968567300115215,-0.25638713498122695
2022-01-10,0.019306977288832496,-0.2563886341980272
2022-01-10,0.0517947467923121,-0.25638893899098825
2022-01-10,0.13894954943731375,-0.25638603006315314
2022-01-10,0.3727593720314938,-0.2564164202269374
2022-01-10,1.0,-0.2570956378522794
2022-02-09,0.001,-0.21881352702067586
2022-02-09,0.0026826957952797246,-0.21881396611750759
2022-02-09,0.0071968567300115215,-0.21881494874693008
2022-02-09,0.019306977288832496,-0.2188165164095913
2022-02-09,0.0517947467923121,-0.21881683630448664
2022-02-09,0.13894954943731375,-0.21881379106181326
2022-02-09,0.3727593720314938,-0.21883069442892192
2022-02-09,1.0,-0.21902756177094407
2022-03-14,0.001,-0.2148896692858964
2022-03-14,0.0026826957952797246,-0.2148900678376621
2022-03-14,0.0071968567300115215,-0.21489096256562717
2022-03-14,0.019306977288832496,-0.214892403771273
2022-03-14,0.0517947467923121,-0.21489270509634759
2022-03-14,0.13894954943731375,-0.21489014380358118
2022-03-14,0.3727593720314938,-0.21494562716439725
2022-03-14,1.0,-0.21507413119509067
2022-04-12,0.001,-0.09004277279043181
2022-04-12,0.0026826957952797246,-0.09004321207258317
2022-04-12,0.0071968567300115215,-0.09004419465683398
2022-04-12,0.019306977288832496,-0.09004576014611297
2022-04-12,0.0517947467923121,-0.09004609531472649
2022-04-12,0.13894954943731375,-0.09004338436824134
2022-04-12,0.3727593720314938,-0.09007152345423944
2022-04-12,1.0,-0.09057506366466486
2022-05-23,0.001,0.0036070774162760997
2022-05-23,0.0026826957952797246,0.0036066669072930247
2022-05-23,0.0071968567300115215,0.0036057469454907174
2022-05-23,0.019306977288832496,0.003604272887734412
2022-05-23,0.0517947467923121,0.0036039386343284375
2022-05-23,0.13894954943731375,0.0036059649155941527
2022-05-23,0.3727593720314938,0.003530671292216233
2022-05-23,1.0,-0.010376830271542192
2022-06-23,0.001,-0.0466513172933013
2022-06-23,0.0026826957952797246,-0.046651755945001545
2022-06-23,0.0071968567300115215,-0.04665273700372515
2022-06-23,0.019306977288832496,-0.04665429952710926
2022-06-23,0.0517947467923121,-0.04665463930095825
2022-06-23,0.13894954943731375,-0.04665205995724699
2022-06-23,0.3727593720314938,-0.04668554922096015
2022-06-23,1.0,-0.04844789521783052
2022-07-22,0.001,0.0015911658572417267
2022-07-22,0.0026826957952797246,0.0015906883740391018
2022-07-22,0.0071968567300115215,0.0015896238101569082
2022-07-22,0.019306977288832496,0.001587943571366674
2022-07-22,0.0517947467923121,0.001587581129395627
2022-07-22,0.13894954943731375,0.001590461906571402
2022-07-22,0.3727593720314938,0.0015797405019446578
2022-07-22,1.0,0.001381128437141146
2022-08-23,0.001,-0.03169243894463117
2022-08-23,0.0026826957952797246,-0.03169289937911611
2022-08-23,0.0071968567300115215,-0.031693927388951305
2022-08-23,0.019306977288832496,-0.031695556528249014
2022-08-23,0.0517947467923121,-0.031695907793443896
2022-08-23,0.13894954943731375,-0.03169311597514391
2022-08-23,0.3727593720314938,-0.0317110456166361
2022-08-23,1.0,-0.032158438981364834
2022-09-21,0.001,-0.08345493680752283
2022-09-21,0.0026826957952797246,-0.08345540163175783
2022-09-21,0.0071968567300115215,-0.08345643924946006
2022-09-21,0.019306977288832496,-0.08345808271401209
2022-09-21,0.0517947467923121,-0.08345842973575106
2022-09-21,0.13894954943731375,-0.0834554692845841
2022-09-21,0.3727593720314938,-0.08346727085079783
2022-09-21,1.0,-0.08347116987048957
2022-10-20,0.001,-0.06920729973325793
2022-10-20,0.0026826957952797246,-0.06920778216834796
2022-10-20,0.0071968567300115215,-0.06920885760656474
2022-10-20,0.019306977288832496,-0.06921055426204907
2022-10-20,0.0517947467923121,-0.06921091126537136
2022-10-20,0.13894954943731375,-0.06920782851201958
2022-10-20,0.3727593720314938,-0.06921259425934902
2022-10-20,1.0,-0.06919160672619049
2022-11-18,0.001,4.662145513217273
2022-11-18,0.0026826957952797246,4.662144870630895
2022-11-18,0.0071968567300115215,4.662142819332856
2022-11-18,0.019306977288832496,4.662134198954648
2022-11-18,0.0517947467923121,4.662047802540496
2022-11-18,0.13894954943731375,4.410857483489757
2022-11-18,0.3727593720314938,-0.156688462126454
2022-11-18,1.0,-0.16272188498777562
2022-12-19,0.001,-0.1469552846004944
2022-12-19,0.0026826957952797246,-0.14695576325231652
2022-12-19,0.0071968567300115215,-0.1469568308846857
2022-12-19,0.019306977288832496,-0.14695851806196025
2022-12-19,0.0517947467923121,-0.14695886591497007
2022-12-19,0.13894954943731375,-0.1469556447440356
2022-12-19,0.3727593720314938,-0.14695810874411008
2022-12-19,1.0,-0.14698497027993418
2023-01-17,0.001,4.769367527906327
2023-01-17,0.0026826957952797246,4.769366871522371
2023-01-17,0.0071968567300115215,4.769364772760557
2023-01-17,0.019306977288832496,4.769355916952631
2023-01-17,0.0517947467923121,4.7692658717202665
2023-01-17,0.13894954943731375,4.489052019525088
2023-01-17,0.3727593720314938,-0.10589783436771162
2023-01-17,1.0,-0.11369076538551458
2023-02-16,0.001,4.912501373137031
2023-02-16,0.0026826957952797246,4.912500673608198
2023-02-16,0.0071968567300115215,4.9124984254720685
2023-02-16,0.019306977288832496,4.912488810163707
2023-02-16,0.0517947467923121,4.912389926533579
2023-02-16,0.13894954943731375,4.647340068549879
2023-02-16,0.3727593720314938,0.046834256501907916
2023-02-16,1.0,0.007433378870958747
2023-03-17,0.001,5.315178702539567
2023-03-17,0.0026826957952797246,5.315177922172728
2023-03-17,0.0071968567300115215,5.315175391901102
2023-03-17,0.019306977288832496,5.315164319693332
2023-03-17,0.0517947467923121,5.315044906522336
2023-03-17,0.13894954943731375,4.981898684301018
2023-03-17,0.3727593720314938,0.31272588748995434
2023-03-17,1.0,0.15465283135640262
2023-04-27,0.001,5.056834557192272
2023-04-27,0.0026826957952797246,5.056833820244585
2023-04-27,0.0071968567300115215,5.056831441778399
2023-04-27,0.019306977288832496,5.056821155280879
2023-04-27,0.0517947467923121,5.056713737844954
2023-04-27,0.13894954943731375,4.789342968605189
2023-04-27,0.3727593720314938,0.17374989568126245
2023-04-27,1.0,0.07272045359278756
2023-05-30,0.001,5.287321374315592
2023-05-30,0.0026826957952797246,5.287320579763891
2023-05-30,0.0071968567300115215,5.287317999269575
2023-05-30,0.019306977288832496,5.287306655652572
2023-05-30,0.0517947467923121,5.287185032021687
2023-05-30,0.13894954943731375,5.006332673687032
2023-05-30,0.3727593720314938,0.36152760131126044
2023-05-30,1.0,0.13666139563784405
2023-07-05,0.001,5.2608008513609406
2023-07-05,0.0026826957952797246,5.260800063923019
2023-07-05,0.0071968567300115215,5.260797508476582
2023-07-05,0.019306977288832496,5.260786297209631
2023-07-05,0.0517947467923121,5.260666450492283
2023-07-05,0.13894954943731375,4.9803501847682465
2023-07-05,0.3727593720314938,0.33832404866497706
2023-07-05,1.0,0.12414059260338033
2023-08-04,0.001,5.028985847445011
2023-08-04,0.0026826957952797246,5.028985113110214
2023-08-04,0.0071968567300115215,5.028982743716772
2023-08-04,0.019306977288832496,5.028972503013631
2023-08-04,0.0517947467923121,5.0288659637377
2023-08-04,0.13894954943731375,4.771769836558872
2023-08-04,0.3727593720314938,0.1652260361454679
2023-08-04,1.0,0.060719992245314075
2023-09-05,0.001,4.85938490934723
2023-09-05,0.0026826957952797246,4.859384237378426
2023-09-05,0.0071968567300115215,4.859382084853121
2023-09-05,0.019306977288832496,4.859372959507083
2023-09-05,0.0517947467923121,4.859279106691879
2023-09-05,0.13894954943731375,4.559639947876747
2023-09-05,0.3727593720314938,-0.0529975210500048
2023-09-05,1.0,-0.07452788865841105
2023-10-05,0.001,4.800759750404762
2023-10-05,0.0026826957952797246,4.8007590852988224
2023-10-05,0.0071968567300115215,4.800756956429664
2023-10-05,0.019306977288832496,4.800747948679822
2023-10-05,0.0517947467923121,4.800656130825126
2023-10-05,0.13894954943731375,4.522404217668346
2023-10-05,0.3727593720314938,-0.07462122327784078
2023-10-05,1.0,-0.10438329502371627
2023-11-03,0.001,5.159227551388579
2023-11-03,0.0026826957952797246,5.159226824049636
2023-11-03,0.0071968567300115215,5.159224479523395
2023-11-03,0.019306977288832496,5.159214378570797
2023-11-03,0.0517947467923121,5.159106786428972
2023-11-03,0.13894954943731375,4.797663161762819
2023-11-03,0.3727593720314938,0.13666804041128916
2023-11-03,1.0,0.10980060776998281
2023-12-04,0.001,0.02935537398575508
2023-12-04,0.0026826957952797246,0.029354883183115778
2023-12-04,0.0071968567300115215,0.029353790061250336
2023-12-04,0.019306977288832496,0.029352069761663723
2023-12-04,0.0517947467923121,0.029351697187360998
2023-12-04,0.13894954943731375,0.029354641792964372
2023-12-04,0.3727593720314938,0.02934852958675372
2023-12-04,1.0,0.029270132395773963
