Date,ADRO.JK,BBCA.JK
2020-06-02,328.181640625,4515.49658203125
2020-06-03,333.9140930175781,4869.3232421875
2020-06-04,333.6549377441406,4877.74755859375
2020-06-05,327.69677734375,4822.98876953125
2020-06-08,345.5711364746094,4970.41650390625
2020-06-09,351.529296875,4890.3837890625
2020-06-10,327.69677734375,4886.17138671875
2020-06-11,318.75958251953125,4785.07958984375
2020-06-12,315.780517578125,4776.654296875
2020-06-15,303.8642272949219,4633.4384765625
2020-06-16,320.2491455078125,4852.47412109375
2020-06-17,318.75958251953125,4818.7763671875
2020-06-18,306.8433532714844,4705.0458984375
2020-06-19,309.8224182128906,4696.62255859375
2020-06-22,306.8433532714844,4667.1357421875
2020-06-23,299.3956604003906,4734.53271484375
2020-06-24,311.31195068359375,4806.13916015625
2020-06-25,299.3956604003906,4822.98876953125
2020-06-26,302.3747253417969,4755.5927734375
2020-06-29,299.3956604003906,4780.8662109375
2020-06-30,296.4166259765625,4797.71533203125
2020-07-01,311.31195068359375,4886.17138671875
2020-07-02,312.80145263671875,4945.142578125
2020-07-03,309.8224182128906,4945.142578125
2020-07-06,317.2700500488281,4999.9013671875
2020-07-07,312.80145263671875,5046.236328125
2020-07-08,317.2700500488281,5223.1484375
2020-07-09,326.2072448730469,5138.9052734375
2020-07-10,323.2281188964844,5223.1484375
2020-07-13,344.08160400390625,5202.087890625
2020-07-14,344.08160400390625,5223.1484375
2020-07-15,336.6339416503906,5181.02734375
2020-07-16,330.6758117675781,5206.30029296875
2020-07-17,344.08160400390625,5155.75341796875
2020-07-20,336.6339416503906,5172.6025390625
2020-07-21,338.1234436035156,5223.1484375
2020-07-22,335.1444091796875,5206.30029296875
2020-07-23,336.6339416503906,5223.1484375
2020-07-24,324.7176513671875,5138.9052734375
2020-07-27,330.6758117675781,5138.9052734375
2020-07-28,324.7176513671875,5210.51220703125
2020-07-29,323.2281188964844,5168.390625
2020-07-30,323.2281188964844,5256.84619140625
2020-08-03,306.8433532714844,5164.1787109375
2020-08-04,308.3328857421875,5231.5732421875
2020-08-05,312.80145263671875,5227.36181640625
2020-08-06,332.1653747558594,5273.69482421875
2020-08-07,326.2072448730469,5206.30029296875
2020-08-10,339.6129455566406,5155.75341796875
2020-08-11,342.592041015625,5202.087890625
2020-08-12,333.6549377441406,5273.69482421875
2020-08-13,332.1653747558594,5307.3935546875
2020-08-14,332.1653747558594,5395.8505859375
2020-08-18,332.1653747558594,5357.9404296875
2020-08-19,332.1653747558594,5332.66650390625
2020-08-24,326.2072448730469,5320.0302734375
2020-08-25,327.69677734375,5362.15185546875
2020-08-26,330.6758117675781,5341.09130859375
2020-08-27,335.1444091796875,5560.1259765625
2020-08-28,341.1025695800781,5471.669921875
2020-08-31,323.2281188964844,5286.33203125
2020-09-01,339.6129455566406,5492.73095703125
2020-09-02,361.95599365234375,5421.123046875
2020-09-03,358.9768371582031,5475.8818359375
2020-09-04,358.9768371582031,5374.78857421875
2020-09-07,372.3826904296875,5294.75634765625
