Date,Asset_A,Asset_B,pA_00,pA_01,pA_10,pA_11,pB_00,pB_01,pB_10,pB_11
2021-01-04,BBCA.JK,ASII.JK,4.293722612881823,1.5593737383093933,-1.3063259676419803,-2.952336400152735,5.402852513269359,-2.2024723237510115,4.779609644646709,-4.4300033367564104
2021-01-04,BBCA.JK,TLKM.JK,3.4643172783366314,2.555108261334744,-0.7041908772943092,-2.919468869920982,6.272205373145728,-2.8897840275947573,3.997611903182963,-4.280783088310456
2021-01-04,BBCA.JK,TPIA.JK,3.687468368578011,2.164593853412327,-2.850304634230602,-2.056117392267914,2.824550049619568,-1.533214615666599,2.6154823056090897,-1.5379804511860975
2021-01-04,ASII.JK,TLKM.JK,5.695943352196747,4.356664896276677,-2.4446079754813392,-3.9373302685248937,7.180974533203441,-3.024869387196772,3.0442054560679077,-4.15569882673055
2021-01-04,ASII.JK,TPIA.JK,5.677536493106546,4.585362331452322,-3.8025533364175668,-3.147579325736706,2.616367622450466,-1.7121985732854565,2.872909220594855,-1.392853850340744
2021-01-04,TLKM.JK,TPIA.JK,6.05727140078913,5.06687109441367,-4.660966692511039,-3.1021124150685018,2.8453893518981896,-1.7664864310234267,2.6322886916768384,-1.41470414462782
2021-02-02,BBCA.JK,ASII.JK,4.215575736510541,1.861052381693788,-1.087135872641638,-3.191778593858201,5.696178483502159,-2.6014582970477003,4.3070261973971995,-3.865098409594348
2021-02-02,BBCA.JK,TLKM.JK,3.515396954092897,2.4393861803523396,-1.0011548252545597,-3.4290697780923356,6.331878562952367,-4.0867999452000605,3.9632722832012877,-4.7552210472480585
2021-02-02,BBCA.JK,TPIA.JK,3.8365187685525024,1.7285162824075875,-2.9709679263018223,-2.4304226581801838,3.2240479650849405,-1.7096606198589583,2.1012295540658505,-2.0802207951020377
2021-02-02,ASII.JK,TLKM.JK,5.885827668866916,3.8464496043685052,-2.7599022669079623,-3.6461657951342294,6.956742779534667,-2.9750223085480627,3.670199546314129,-4.9260032759528265
2021-02-02,ASII.JK,TPIA.JK,5.445280694981304,4.916349398090705,-3.891386671089655,-2.8411995329306334,2.7841517329025347,-2.4837501596051053,2.7312037430751803,-1.7170172435654403
2021-02-02,TLKM.JK,TPIA.JK,5.350366067527422,6.3712811888936605,-5.124156735559637,-4.061213001935527,3.0548848572192426,-1.946423338925327,2.2868559799248693,-1.9149797564474638
2021-03-04,BBCA.JK,ASII.JK,1.2043774821432123,0.6288854929229933,-1.5233192809005336,-2.9953686210876653,1.6731424744322263,-3.3765839472980383,1.4883831897916893,-3.4138221121866414
2021-03-04,BBCA.JK,TLKM.JK,0.9638515035169458,0.8470804041763298,-2.0754748011407766,-2.872632596229182,1.7961699363064372,-3.173320818475115,0.9280980346469155,-4.562305177310447
2021-03-04,BBCA.JK,TPIA.JK,0.9773863649506129,0.7800093472639837,-2.8921686780529594,-2.4156577620851163,1.0109029168668444,-2.650799150812447,0.8081943760712563,-3.9800317134395677
2021-03-04,ASII.JK,TLKM.JK,1.7000902053029328,1.4669933067306506,-2.490749037637277,-3.8020097513116307,1.9842516808386266,-2.3080277456095573,0.8533479829692814,-4.5420730107466705
2021-03-04,ASII.JK,TPIA.JK,1.7669783798884178,1.3629450351532293,-3.618423075407801,-3.1896606652156576,1.0171286711629544,-4.175211677223708,0.8676202015779925,-3.161122820291788
2021-03-04,TLKM.JK,TPIA.JK,1.282217440000754,1.7504220287360082,-4.146361022537583,-3.8378991377635363,1.0696110440368767,-4.145321818207778,0.8006357953925407,-3.123481227303756
2021-04-06,BBCA.JK,ASII.JK,2.3564842998368833,1.679449918965954,-1.8454237504898516,-3.4281468821244054,3.1785270012593654,-3.8906912547435613,2.3222177763248615,-3.1755482152573813
2021-04-06,BBCA.JK,TLKM.JK,1.9298877360966677,2.082558649824903,-2.713618422646016,-3.2353691661237907,4.461990612426129,-2.6124132415436203,1.6035555428561357,-3.714449524165787
2021-04-06,BBCA.JK,TPIA.JK,2.0441684626381806,1.959014064618703,-2.3296754617643396,-3.5344594116810732,3.101179507956557,-2.720668420039392,2.115487742424035,-3.557689268458665
2021-04-06,ASII.JK,TLKM.JK,2.7232112664403334,2.954227580601151,-2.88412661137184,-3.660190450954877,3.43074475893361,-1.8530200786680262,2.3355951714976917,-3.7916254580785695
2021-04-06,ASII.JK,TPIA.JK,3.048707503546812,2.355742635727618,-2.791652238781499,-3.9122294466158465,2.6551545194258925,-3.054990051187978,2.6514571937883424,-3.4132678018014206
2021-04-06,TLKM.JK,TPIA.JK,2.5597817672081655,3.5019230367668124,-2.7558867467151695,-3.65761429558852,3.1550409825435715,-5.003200496215758,2.1198656610211146,-2.6881532394390963
2021-05-05,BBCA.JK,ASII.JK,1.3387761660653363,0.8998103067603695,-1.6683799639069403,-3.1563644188718087,1.9025414668408076,-3.7913157989589106,1.0180481332285558,-3.058572903149297
2021-05-05,BBCA.JK,TLKM.JK,1.1999113291200614,1.0986953481775832,-3.2345771735648587,-2.500523383402133,2.025348328325586,-1.9916272387929426,0.6583712865776484,-2.5177586289956198
2021-05-05,BBCA.JK,TPIA.JK,1.0192624889319928,1.2992024031770495,-1.7470060878861158,-3.244732045923096,1.5240387841214869,-3.002872165843654,1.3318757855025598,-3.93022274424735
2021-05-05,ASII.JK,TLKM.JK,1.5585427010016901,1.5381290184896415,-2.7370159665509073,-3.5033315741011215,1.744619152197817,-1.6325458340877461,0.8866215113689535,-2.618891321064299
2021-05-05,ASII.JK,TPIA.JK,1.6662661353112962,1.4214286313209012,-3.2407180610418758,-3.330002578767526,1.546553374878358,-3.0444765115311587,1.338421236745312,-3.9085161291060437
2021-05-05,TLKM.JK,TPIA.JK,1.2423110272040254,1.512593796892078,-1.7105513015655662,-2.6934310897627296,1.8271526897897294,-5.128973716134583,1.1278172606917514,-2.917119926263853
2021-06-10,BBCA.JK,ASII.JK,1.4802177574754984,1.1514539897856133,-1.9651380374012157,-2.6688901123610687,2.1705752961943032,-2.8608298752364876,1.0514714971402084,-3.3759402596903936
2021-06-10,BBCA.JK,TLKM.JK,1.4892116679135874,1.1375543100176575,-2.8143733805839277,-2.285719049578278,2.07887769586408,-2.7715460867495456,1.135397367246653,-2.1973631139598058
2021-06-10,BBCA.JK,TPIA.JK,1.4491985189025638,1.2774570961184035,-1.789017003482776,-2.753121911191627,2.9647065474728382,-4.32857332635138,1.8940570226982905,-4.132317987986679
2021-06-10,ASII.JK,TLKM.JK,2.0408556098796997,1.3176897288141876,-3.1046738993210683,-3.25931920469342,2.154681362220489,-1.811318395333265,1.110908427875279,-2.6733869976209204
2021-06-10,ASII.JK,TPIA.JK,2.123246071430096,1.3386086788445788,-3.909326818604427,-2.9572725293216227,2.56393932211035,-3.072224639583659,2.279550589978929,-4.851573679645778
