Iteration,Theta_0,Theta_1,Theta_2,Theta_3,Theta_4,Theta_5,Theta_6,Theta_7,Theta_8,Theta_9,Theta_10,Theta_11,Theta_12,Theta_13,Theta_14,Theta_15
26,5.112604676108308,2.4674967212763654,4.5083037606999365,5.936397885743498,1.3961694381031537,6.859676563252515,4.887298611874962,3.345636774518817,0.9717451530046026,2.8427632751192036,1.7590925581910593,5.218510641704108,5.081000166907892,6.6408680884090545,2.8460832504251563,1.8364634514652016
27,5.179261662559571,2.400839734825103,4.5749607471511995,6.0030548721947605,1.329512451651891,6.793019576801252,4.953955598326225,3.4122937609700794,0.9050881665533399,2.909420261570466,1.825749544642322,5.151853655252845,5.147657153359155,6.574211101957792,2.912740236876419,1.769806465013939
28,5.456973291932294,2.1231281054523796,4.852672376523922,5.725343242822038,1.6072240810246141,6.515307947428529,4.676243968953502,3.134582131597356,1.182799795926063,3.1871318909431894,1.5480379152695987,4.874142025880122,4.869945523986432,6.851922731330514,2.6350286075036955,2.047518094386662
29,5.286300174904617,2.2938012224800572,4.681999259496245,5.896016359849715,1.4365509639969367,6.344634830400852,4.505570851925825,3.3052552486250337,1.3534729129537404,3.357805007970867,1.718711032297276,5.044815142907799,5.04061864101411,7.022595848358192,2.464355490476018,1.8768449773589848
30,5.402783176462637,2.4102842240380773,4.565516257938225,6.012499361407735,1.5530339655549565,6.228151828842832,4.389087850367805,3.1887722470670137,1.4699559145117602,3.474288009528887,1.6022280307392562,5.161298144465819,5.15710164257213,7.139078849916212,2.347872488917998,1.760361975800965
31,5.390415967036247,2.397917014611687,4.553149048511835,6.024866570834125,1.540666756128566,6.240519038269222,4.401455059794195,3.1764050376406234,1.4823231239381507,3.4866552189552773,1.6145952401656467,5.148930935039429,5.16946885199852,7.151446059342602,2.3355052794916076,1.7727291852273555
32,5.355968199189451,2.3634692467648915,4.51870128066504,6.05931433868092,1.5751145239753614,6.2749668061160175,4.3670072919474,3.210852805487419,1.516770891784946,3.521102986802073,1.5801474723188513,5.183378702886224,5.135021084151725,7.185893827189397,2.369953047338403,1.8071769530741508
33,5.305037141843023,2.41440030411132,4.569632338011468,6.008383281334492,1.5241834666289331,6.224035748769589,4.316076234600971,3.2617838628338474,1.4658398344385177,3.5720340441485012,1.529216414972423,5.132447645539796,5.084090026805296,7.134962769842969,2.319021989991975,1.7562458957277225
34,5.148863049135449,2.570574396818894,4.725806430719042,6.164557374042066,1.368009373921359,6.380209841477163,4.472250327308545,3.4179579555414215,1.3096657417309436,3.415859951440927,1.373042322264849,5.28862173824737,5.2402641195128705,7.291136862550543,2.475196082699549,1.9124199884352966
35,5.038354301272312,2.4600656489557573,4.615297682855905,6.275066121905203,1.4785181217844956,6.269701093614026,4.5827590751716825,3.528466703404558,1.4201744895940802,3.3053512035777906,1.2625335744017123,5.399130486110507,5.1297553716497335,7.180628114687406,2.3646873348364124,1.80191124057216
36,5.019909641513678,2.478510308714391,4.596853023097271,6.293510781663837,1.4969627815431295,6.28814575337266,4.6012037349303165,3.5469113631631917,1.438619149352714,3.323795863336424,1.2809782341603462,5.380685826351873,5.148200031408368,7.19907277444604,2.3462426750777787,1.8203559003307939
37,5.102027022473965,2.5606276896746776,4.678970404057558,6.2113934007035505,1.579080162503416,6.206028372412374,4.683321115890603,3.6290287441234783,1.3565017683924274,3.2416784823761375,1.1988608532000595,5.298568445391586,5.066082650448081,7.116955393485753,2.264125294117492,1.7382385193705072
38,5.057479189791484,2.605175522357159,4.723518236740039,6.255941233386031,1.534532329820935,6.250576205094855,4.638773283208122,3.6735765768059596,1.4010496010749085,3.286226315058619,1.2434086858825406,5.254020612709105,5.110630483130562,7.161503226168234,2.219577461435011,1.6936906866880261
39,5.011952187682581,2.559648520248257,4.677991234631136,6.301468235494934,1.489005327712033,6.296103207203757,4.684300285317025,3.628049574697058,1.3555225989660065,3.240699312949717,1.2889356879914426,5.208493610600203,5.156157485239464,7.115976224059332,2.174050459326109,1.648163684579124
40,5.043445332640034,2.5911416652057095,4.646498089673684,6.269975090537481,1.4575121827545805,6.327596352161209,4.652807140359572,3.5965564297396053,1.387015743923459,3.2721924579071695,1.3204288329488951,5.239986755557656,5.1876506301969165,7.084483079101879,2.2055436042835614,1.6796568295365766
