Date,Asset,Mu_Annual,Sigma_Annual
2021-01-04,BBCA.JK,0.7762205546530975,0.24825867808544522
2021-01-04,ASII.JK,0.8972025757228681,0.36609514807846416
2021-01-04,TLKM.JK,0.8430092634356519,0.429689546755376
2021-01-04,TPIA.JK,0.9407015368124759,0.2053922578528648
2021-02-02,BBCA.JK,0.6602528535220639,0.27205086654414967
2021-02-02,ASII.JK,0.4451402933743461,0.3759856942417383
2021-02-02,TLKM.JK,0.8044597853673793,0.4589357377544568
2021-02-02,TPIA.JK,1.1533804526469875,0.22916553616475605
2021-03-04,BBCA.JK,0.38606102421721833,0.25605055644942804
2021-03-04,ASII.JK,0.09052707300633223,0.3535315659278952
2021-03-04,TLKM.JK,-0.023563121539019648,0.4128100734092412
2021-03-04,TPIA.JK,0.22437889735679195,0.29714501549707173
2021-04-06,BBCA.JK,-0.4259272232656295,0.25909950835637585
2021-04-06,ASII.JK,-0.6156795888909654,0.3063002732609908
2021-04-06,TLKM.JK,-0.1301701065757961,0.3410338055580191
2021-04-06,TPIA.JK,0.6714436308169959,0.32565669280372567
2021-05-05,BBCA.JK,-0.18982981237587696,0.24787937833750825
2021-05-05,ASII.JK,-0.2718819367371196,0.2991579620698475
2021-05-05,TLKM.JK,-0.07527143247394143,0.27072976768786305
2021-05-05,TPIA.JK,-0.33851982272024406,0.3146786377725652
2021-06-10,BBCA.JK,-0.05999570609544068,0.21312792375572823
2021-06-10,ASII.JK,-0.12167137278434462,0.2766369335261505
2021-06-10,TLKM.JK,0.23607579019466804,0.24704668525901352
2021-06-10,TPIA.JK,-0.743183879965229,0.38097291813524203
2021-07-09,BBCA.JK,-0.04353616003457182,0.204273580771267
2021-07-09,ASII.JK,-0.3089307488348036,0.27573818773140624
2021-07-09,TLKM.JK,-0.25923253737967467,0.24921117430030823
2021-07-09,TPIA.JK,-0.4538305236903826,0.42932832431973456
2021-08-10,BBCA.JK,-0.14488909966619343,0.20394369390688288
2021-08-10,ASII.JK,-0.5212532744234027,0.26188827734571546
2021-08-10,TLKM.JK,0.26296311186404137,0.28547443494412444
