Bitstring,Probability
0000,0.9062594136033586
0001,0.09263148889277244
0010,2.32723487709479e-06
0011,0.0002151582460503887
0100,0.00011946802496727871
0101,1.3766438875352243e-05
0110,0.00013648431614490298
0111,1.5263117446235875e-05
1000,0.00014367572097149194
1001,0.0004404957757760675
1010,5.6631254278667435e-08
1011,6.172932275786674e-08
1100,2.4727247236830445e-06
1101,1.979588050743865e-05
1110,1.3803259605146478e-08
1111,5.785969214844874e-08
