Date,ASII.JK,BBCA.JK,TLKM.JK,TPIA.JK
2020-09-01,3657.168212890625,5733.181640625,2232.783203125,1770.053955078125
2020-09-02,3691.998779296875,5658.439453125,2271.279541015625,1720.71435546875
2020-09-03,3604.92333984375,5715.595703125,2232.783203125,1714.5469970703125
2020-09-04,3517.847412109375,5610.0771484375,2201.986328125,1683.709716796875
2020-09-07,3500.433349609375,5526.541015625,2232.783203125,1702.212158203125
2020-09-08,3570.09326171875,5570.50830078125,2201.986328125,1708.379638671875
2020-09-09,3413.357177734375,5491.36865234375,2155.79052734375,1683.709716796875
2020-09-10,3176.51220703125,5108.86328125,2078.798095703125,1622.0355224609375
2020-09-11,3225.274169921875,5192.39892578125,2163.48974609375,1677.54248046875
2020-09-14,3336.7314453125,5319.9013671875,2225.083984375,1696.044677734375
2020-09-15,3357.62890625,5152.8291015625,2178.888427734375,1708.379638671875
2020-09-16,3329.764892578125,5056.103515625,2148.091552734375,1726.8818359375
2020-09-17,3385.4931640625,5060.50048828125,2171.189453125,1726.8818359375
2020-09-18,3329.764892578125,4950.58544921875,2225.083984375,1726.8818359375
2020-09-21,3253.138916015625,4928.60205078125,2163.48974609375,1714.5469970703125
2020-09-22,3253.138916015625,4792.306640625,2140.392333984375,1708.379638671875
2020-09-23,3225.274169921875,4840.66943359375,2155.79052734375,1726.8818359375
2020-09-24,3204.376220703125,4787.91064453125,2101.89599609375,1757.7191162109375
2020-09-25,3385.4931640625,4932.9990234375,2071.098876953125,1776.221435546875
2020-09-28,3301.900634765625,4849.46337890625,2048.001220703125,1776.221435546875
2020-09-29,3183.478271484375,4840.66943359375,2024.9034423828125,1776.221435546875
2020-09-30,3106.851806640625,4765.92724609375,1971.0086669921875,1776.221435546875
2020-10-01,3211.341796875,4897.82568359375,2117.294677734375,1794.7236328125
2020-10-02,3197.410400390625,4840.66943359375,2063.399658203125,1862.5654296875
2020-10-05,3176.51220703125,4853.859375,2040.3018798828125,1905.7374267578125
2020-10-06,3218.308349609375,5012.1376953125,2040.3018798828125,1924.23974609375
2020-10-07,3244.234130859375,5060.50048828125,2048.001220703125,1924.23974609375
2020-10-08,3328.318115234375,5082.4833984375,2078.798095703125,1936.57470703125
2020-10-09,3321.31103515625,5078.0869140625,2101.89599609375,1918.0723876953125
2020-10-12,3293.282958984375,5148.43359375,2101.89599609375,1936.57470703125
2020-10-13,3321.31103515625,5148.43359375,2101.89599609375,1936.57470703125
2020-10-14,3377.366943359375,5188.00244140625,2163.48974609375,1930.4072265625
2020-10-15,3321.31103515625,5086.88037109375,2140.392333984375,1924.23974609375
2020-10-16,3454.4443359375,5064.89697265625,2117.294677734375,1899.570068359375
2020-10-19,3503.492919921875,5188.00244140625,2086.49755859375,1899.570068359375
2020-10-20,3626.115234375,5104.46630859375,2055.70068359375,1905.7374267578125
2020-10-21,3678.6669921875,5082.4833984375,2063.399658203125,1899.570068359375
2020-10-22,3678.6669921875,5100.06982421875,2078.798095703125,1924.23974609375
2020-10-23,3783.771484375,5073.69140625,2024.9034423828125,1948.9095458984375
2020-10-26,3783.771484375,5113.26025390625,2040.3018798828125,1973.579345703125
2020-10-27,3801.289306640625,5091.2763671875,2017.2042236328125,1973.579345703125
2020-11-02,3783.771484375,5117.6572265625,1971.0086669921875,1961.244384765625
2020-11-03,3853.841796875,5179.20947265625,1986.4072265625,1961.244384765625
2020-11-04,3783.771484375,5117.6572265625,1986.4072265625,1961.244384765625
2020-11-05,3853.841796875,5407.83203125,2132.69287109375,1985.9141845703125
2020-11-06,4081.56884765625,5539.73046875,2178.888427734375,2010.583740234375
2020-11-09,3923.911376953125,5526.541015625,2217.384765625,2047.588623046875
2020-11-10,4029.016845703125,5698.0087890625,2201.986328125,2053.755859375
2020-11-11,4204.19091796875,5750.76904296875,2371.369873046875,2053.755859375
2020-11-12,4204.19091796875,5645.25048828125,2340.57275390625,2078.42578125
2020-11-13,4134.12109375,5618.86962890625,2302.076416015625,2072.258056640625
2020-11-16,4151.638671875,5698.0087890625,2363.670654296875,2084.59326171875
2020-11-17,4064.051025390625,5759.56201171875,2479.159423828125,2115.430419921875
2020-11-18,4046.5341796875,5777.1484375,2448.362548828125,2146.267333984375
2020-11-19,4011.49951171875,5816.71826171875,2440.6630859375,2140.10009765625
