Date,Asset_A,Asset_B,svn_rho_L,svn_rho_F,svn_rho_LF
2021-01-04,BBCA.JK,ASII.JK,0.6913095073117435,0.6913095073117435,1.358944257791958
2021-01-04,BBCA.JK,TLKM.JK,0.6913095073117435,0.6890092384766586,1.3093642129250307
2021-01-04,BBCA.JK,TPIA.JK,0.6913095073117435,0.6913095073117435,1.3605894555110638
2021-01-04,ASII.JK,TLKM.JK,0.6913095073117435,0.6890092384766586,1.3349068582271657
2021-01-04,ASII.JK,TPIA.JK,0.6913095073117435,0.6913095073117435,1.382037348774063
2021-01-04,TLKM.JK,TPIA.JK,0.6890092384766586,0.6913095073117435,1.3624236263921716
2021-02-02,BBCA.JK,ASII.JK,0.6926879734424749,0.6704776487973955,1.321519356272534
2021-02-02,BBCA.JK,TLKM.JK,0.6926879734424749,0.6913095073117435,1.3365017459201338
2021-02-02,BBCA.JK,TPIA.JK,0.6926879734424749,0.6816244336247836,1.3632206074353355
2021-02-02,ASII.JK,TLKM.JK,0.6704776487973955,0.6913095073117435,1.2958038177129934
2021-02-02,ASII.JK,TPIA.JK,0.6704776487973955,0.6816244336247836,1.333722697818406
2021-02-02,TLKM.JK,TPIA.JK,0.6913095073117435,0.6816244336247836,1.3216653816109392
2021-03-04,BBCA.JK,ASII.JK,0.6931471805599453,0.6634676154115522,1.3324674764329583
2021-03-04,BBCA.JK,TLKM.JK,0.6931471805599453,0.6816244336247836,1.3577482514285892
2021-03-04,BBCA.JK,TPIA.JK,0.6931471805599453,0.6913095073117435,1.3617002843230337
2021-03-04,ASII.JK,TLKM.JK,0.6634676154115522,0.6816244336247836,1.3064324408388606
2021-03-04,ASII.JK,TPIA.JK,0.6634676154115522,0.6913095073117435,1.348802914606042
2021-03-04,TLKM.JK,TPIA.JK,0.6816244336247836,0.6913095073117435,1.3641575910726598
2021-04-06,BBCA.JK,ASII.JK,0.6816244336247836,0.6554817739013927,1.3075156140859194
2021-04-06,BBCA.JK,TLKM.JK,0.6816244336247836,0.6765259604934999,1.3575726308719394
2021-04-06,BBCA.JK,TPIA.JK,0.6816244336247836,0.6913095073117435,1.339901479452065
2021-04-06,ASII.JK,TLKM.JK,0.6554817739013927,0.6765259604934999,1.3113256731279197
2021-04-06,ASII.JK,TPIA.JK,0.6554817739013927,0.6913095073117435,1.3251447502111529
2021-04-06,TLKM.JK,TPIA.JK,0.6765259604934999,0.6913095073117435,1.3416354441325533
2021-05-05,BBCA.JK,ASII.JK,0.685782896004546,0.6765259604934999,1.3291529360843484
2021-05-05,BBCA.JK,TLKM.JK,0.685782896004546,0.6634676154115522,1.3412223689658573
2021-05-05,BBCA.JK,TPIA.JK,0.685782896004546,0.685782896004546,1.3514214878114688
2021-05-05,ASII.JK,TLKM.JK,0.6765259604934999,0.6634676154115522,1.3113256731279197
2021-05-05,ASII.JK,TPIA.JK,0.6765259604934999,0.685782896004546,1.353515511624949
2021-05-05,TLKM.JK,TPIA.JK,0.6634676154115522,0.685782896004546,1.3412223689658573
2021-06-10,BBCA.JK,ASII.JK,0.6890092384766586,0.6890092384766586,1.3421131789144003
2021-06-10,BBCA.JK,TLKM.JK,0.6890092384766586,0.685782896004546,1.3306499683586366
2021-06-10,BBCA.JK,TPIA.JK,0.6890092384766586,0.6634676154115522,1.3472132235148748
2021-06-10,ASII.JK,TLKM.JK,0.6890092384766586,0.685782896004546,1.3472132235148748
2021-06-10,ASII.JK,TPIA.JK,0.6890092384766586,0.6634676154115522,1.3263537276087696
2021-06-10,TLKM.JK,TPIA.JK,0.6857828960045459,0.6634676154115522,1.317215318644545
2021-07-09,BBCA.JK,ASII.JK,0.6765259604934999,0.6765259604934999,1.3359275314632117
2021-07-09,BBCA.JK,TLKM.JK,0.6765259604934999,0.6554817739013927,1.2242699282101441
2021-07-09,BBCA.JK,TPIA.JK,0.6765259604934999,0.6465036520083403,1.3226788166555834
2021-07-09,ASII.JK,TLKM.JK,0.6765259604934999,0.6554817739013927,1.296191495645186
2021-07-09,ASII.JK,TPIA.JK,0.6765259604934999,0.6465036520083403,1.3177647005689792
2021-07-09,TLKM.JK,TPIA.JK,0.6554817739013927,0.6465036520083403,1.286988213312748
2021-08-10,BBCA.JK,ASII.JK,0.6765259604934999,0.6816244336247836,1.3455662193304825
2021-08-10,BBCA.JK,TLKM.JK,0.6765259604934999,0.6857828960045459,1.3109130305344707
2021-08-10,BBCA.JK,TPIA.JK,0.6765259604934999,0.6765259604934999,1.3530478620442208
2021-08-10,ASII.JK,TLKM.JK,0.6816244336247836,0.685782896004546,1.3249446717877547
2021-08-10,ASII.JK,TPIA.JK,0.6816244336247836,0.6765259604934999,1.353515511624949
2021-08-10,TLKM.JK,TPIA.JK,0.685782896004546,0.6765259604934999,1.343316392779338
2021-09-10,BBCA.JK,ASII.JK,0.6634676154115522,0.6816244336247836,1.3221085509336044
2021-09-10,BBCA.JK,TLKM.JK,0.6634676154115522,0.6704776487973955,1.3137564181421577
2021-09-10,BBCA.JK,TPIA.JK,0.6634676154115522,0.6634676154115522,1.3221085509336044
2021-09-10,ASII.JK,TLKM.JK,0.6816244336247836,0.6704776487973955,1.3031717637212943
2021-09-10,ASII.JK,TPIA.JK,0.6816244336247836,0.6634676154115522,1.3412223689658573
2021-09-10,TLKM.JK,TPIA.JK,0.6704776487973955,0.6634676154115522,1.3137564181421577
2021-10-11,BBCA.JK,ASII.JK,0.6913095073117435,0.6926879734424749,1.3167613776133178
2021-10-11,BBCA.JK,TLKM.JK,0.6913095073117435,0.6931471805599453,1.3803033840935746
2021-10-11,BBCA.JK,TPIA.JK,0.6913095073117435,0.6365141682948128,1.32206433364364
2021-10-11,ASII.JK,TLKM.JK,0.6926879734424749,0.6931471805599453,1.3181092894358812
2021-10-11,ASII.JK,TPIA.JK,0.6926879734424749,0.6365141682948128,1.317903240982587
2021-10-11,TLKM.JK,TPIA.JK,0.6931471805599453,0.6365141682948128,1.2960285951990036
2021-11-10,BBCA.JK,ASII.JK,0.6926879734424749,0.6890092384766586,1.3255234067714714
2021-11-10,BBCA.JK,TLKM.JK,0.6926879734424749,0.6890092384766586,1.359422802206978
2021-11-10,BBCA.JK,TPIA.JK,0.6926879734424749,0.6465036520083403,1.3226788166555834
2021-11-10,ASII.JK,TLKM.JK,0.6890092384766586,0.6890092384766586,1.3006114493064367
2021-11-10,ASII.JK,TPIA.JK,0.6890092384766586,0.6465036520083403,1.3306499683586366
2021-11-10,TLKM.JK,TPIA.JK,0.6890092384766586,0.6465036520083403,1.32230126604984
2021-12-09,BBCA.JK,ASII.JK,0.6926879734424749,0.6816244336247836,1.3370390281622477
2021-12-09,BBCA.JK,TLKM.JK,0.6926879734424749,0.685782896004546,1.3622730202563078
2021-12-09,BBCA.JK,TPIA.JK,0.6926879734424749,0.6634676154115522,1.3398892462115775
2021-12-09,ASII.JK,TLKM.JK,0.6816244336247836,0.685782896004546,1.3249446717877547
2021-12-09,ASII.JK,TPIA.JK,0.6816244336247836,0.6634676154115522,1.3412223689658573
2021-12-09,TLKM.JK,TPIA.JK,0.685782896004546,0.6634676154115522,1.3472132235148748
2022-01-10,BBCA.JK,ASII.JK,0.6816244336247836,0.6765259604934999,1.3455662193304825
2022-01-10,BBCA.JK,TLKM.JK,0.6816244336247836,0.6704776487973955,1.3444830460834236
2022-01-10,BBCA.JK,TPIA.JK,0.6816244336247836,0.685782896004546,1.353515511624949
2022-01-10,ASII.JK,TLKM.JK,0.6765259604934999,0.6704776487973955,1.309075846576775
2022-01-10,ASII.JK,TPIA.JK,0.6765259604934999,0.685782896004546,1.3555719563576631
2022-01-10,TLKM.JK,TPIA.JK,0.6704776487973955,0.685782896004546,1.3522822832062558
2022-02-09,BBCA.JK,ASII.JK,0.6634676154115522,0.6634676154115522,1.3012656463973387
2022-02-09,BBCA.JK,TLKM.JK,0.6634676154115522,0.6816244336247836,1.3447824785006368
2022-02-09,BBCA.JK,TPIA.JK,0.6634676154115522,0.6816244336247836,1.344356824526804
2022-02-09,ASII.JK,TLKM.JK,0.6634676154115522,0.6816244336247836,1.3221085509336044
2022-02-09,ASII.JK,TPIA.JK,0.6634676154115522,0.6816244336247836,1.3412223689658573
2022-02-09,TLKM.JK,TPIA.JK,0.6816244336247836,0.6816244336247836,1.3608333079895054
