Step_Order,Step_Name,Basis_State,Real,Imaginary,Probability
0,Init,0000,1.0,0.0,1.0
0,Init,0001,0.0,0.0,0.0
0,Init,0010,0.0,0.0,0.0
0,Init,0011,0.0,0.0,0.0
0,Init,0100,0.0,0.0,0.0
0,Init,0101,0.0,0.0,0.0
0,Init,0110,0.0,0.0,0.0
0,Init,0111,0.0,0.0,0.0
0,Init,1000,0.0,0.0,0.0
0,Init,1001,0.0,0.0,0.0
0,Init,1010,0.0,0.0,0.0
0,Init,1011,0.0,0.0,0.0
0,Init,1100,0.0,0.0,0.0
0,Init,1101,0.0,0.0,0.0
0,Init,1110,0.0,0.0,0.0
0,Init,1111,0.0,0.0,0.0
1,Layer_0_Rotations,0000,0.2520254633949853,0.0046715729568811305,0.06353865779334854
1,Layer_0_Rotations,0001,0.2587169524263543,0.007321850206379708,0.06698807096322514
1,Layer_0_Rotations,0010,0.24606478149442632,0.0033133331237093925,0.06055885486828846
1,Layer_0_Rotations,0011,0.2526105122557925,0.005867567751721489,0.06384649925345495
1,Layer_0_Rotations,0100,-0.2496527595896503,-0.004220236262342348,0.0623443107648377
1,Layer_0_Rotations,0101,-0.2562853331665001,-0.006834671063660175,0.06572888472481239
1,Layer_0_Rotations,0110,-0.24374617868269646,-0.0028844554238769606,0.059420519705509316
1,Layer_0_Rotations,0111,-0.2502342154189659,-0.005403990189654671,0.0626463656763153
1,Layer_0_Rotations,1000,0.2494663616396266,-0.005387407827871366,0.06226248975281677
1,Layer_0_Rotations,1001,0.25619022322373153,-0.0030317163654242,0.06564262177954576
1,Layer_0_Rotations,1010,0.24351665623849716,-0.0064941533069754745,0.059342535892752915
1,Layer_0_Rotations,1011,0.25009253297321793,-0.004227670378366522,0.06256414824578821
1,Layer_0_Rotations,1100,-0.24710157421086565,0.005739607648517575,0.06109213107344688
1,Layer_0_Rotations,1101,-0.253765738614282,0.0034170287283973857,0.06440872617978279
1,Layer_0_Rotations,1110,-0.24120627249381774,0.006826287104404827,0.05822706408599363
1,Layer_0_Rotations,1111,-0.24772370554851725,0.0045918350790020365,0.061388119240081224
2,Layer_0_Entanglement,0000,0.2520254633949853,0.0046715729568811305,0.06353865779334854
2,Layer_0_Entanglement,0001,-0.253765738614282,0.0034170287283973857,0.06440872617978279
2,Layer_0_Entanglement,0010,0.2526105122557925,0.005867567751721489,0.06384649925345495
2,Layer_0_Entanglement,0011,-0.24120627249381774,0.006826287104404827,0.05822706408599363
2,Layer_0_Entanglement,0100,-0.24374617868269646,-0.0028844554238769606,0.059420519705509316
2,Layer_0_Entanglement,0101,0.25009253297321793,-0.004227670378366522,0.06256414824578821
2,Layer_0_Entanglement,0110,-0.2562853331665001,-0.006834671063660175,0.06572888472481239
2,Layer_0_Entanglement,0111,0.2494663616396266,-0.005387407827871366,0.06226248975281677
2,Layer_0_Entanglement,1000,-0.24710157421086565,0.005739607648517575,0.06109213107344688
2,Layer_0_Entanglement,1001,0.2587169524263543,0.007321850206379708,0.06698807096322514
2,Layer_0_Entanglement,1010,-0.24772370554851725,0.0045918350790020365,0.061388119240081224
2,Layer_0_Entanglement,1011,0.24606478149442632,0.0033133331237093925,0.06055885486828846
2,Layer_0_Entanglement,1100,0.24351665623849716,-0.0064941533069754745,0.059342535892752915
2,Layer_0_Entanglement,1101,-0.2502342154189659,-0.005403990189654671,0.0626463656763153
2,Layer_0_Entanglement,1110,0.25619022322373153,-0.0030317163654242,0.06564262177954576
2,Layer_0_Entanglement,1111,-0.2496527595896503,-0.004220236262342348,0.0623443107648377
3,Layer_1_Rotations,0000,0.7736598951705451,0.5547159455145126,0.9062594136033584
3,Layer_1_Rotations,0001,-0.25322434602594185,0.1688458452924042,0.09263148889277242
3,Layer_1_Rotations,0010,0.001520299469550587,0.00012619191724906262,2.3272348770947903e-06
3,Layer_1_Rotations,0011,-0.011542177999141827,-0.009051871247787117,0.0002151582460503888
3,Layer_1_Rotations,0100,-0.004055894762349306,0.010149765644783438,0.00011946802496727868
3,Layer_1_Rotations,0101,-0.002662325225762304,-0.002584272289760106,1.3766438875352243e-05
3,Layer_1_Rotations,0110,-0.011672982895357776,0.0004751699375883968,0.00013648431614490298
3,Layer_1_Rotations,0111,0.0012520180777593154,-0.0037007523801518716,1.526311744623587e-05
3,Layer_1_Rotations,1000,-0.0072463758772301715,-0.009548076121260692,0.00014367572097149194
3,Layer_1_Rotations,1001,0.0037297312832883815,0.020653931352905372,0.0004404957757760676
3,Layer_1_Rotations,1010,0.00014997198950468296,0.0001847691983060886,5.663125427866742e-08
3,Layer_1_Rotations,1011,-0.00014200618062438705,0.00020387144827645852,6.172932275786673e-08
3,Layer_1_Rotations,1100,0.0015314622598822298,-0.0003568586137946767,2.4727247236830453e-06
3,Layer_1_Rotations,1101,0.0006347176049824712,-0.004403750000779332,1.9795880507438648e-05
3,Layer_1_Rotations,1110,0.00011675938684746522,-1.3057763520237439e-05,1.3803259605146474e-08
3,Layer_1_Rotations,1111,-0.0001546427954857849,-0.0001842424976838689,5.785969214844873e-08
