Date,Asset_A,Asset_B,QMI,J_value
2021-01-04,BBCA.JK,ASII.JK,0.023674756831528976,0.023674756831528976
2021-01-04,BBCA.JK,TLKM.JK,0.07095453286337139,0.07095453286337139
2021-01-04,BBCA.JK,TPIA.JK,0.022029559112423103,0.022029559112423103
2021-01-04,ASII.JK,TLKM.JK,0.045411887561236375,0.045411887561236375
2021-01-04,ASII.JK,TPIA.JK,0.0005816658494239846,0.0005816658494239846
2021-01-04,TLKM.JK,TPIA.JK,0.017895119396230452,0.017895119396230452
2021-02-02,BBCA.JK,ASII.JK,0.04164626596733623,0.04164626596733623
2021-02-02,BBCA.JK,TLKM.JK,0.047495734834084535,0.047495734834084535
2021-02-02,BBCA.JK,TPIA.JK,0.011091799631923083,0.011091799631923083
2021-02-02,ASII.JK,TLKM.JK,0.06598333839614567,0.06598333839614567
2021-02-02,ASII.JK,TPIA.JK,0.018379384603773197,0.018379384603773197
2021-02-02,TLKM.JK,TPIA.JK,0.05126855932558794,0.05126855932558794
2021-03-04,BBCA.JK,ASII.JK,0.024147319538539325,0.024147319538539325
2021-03-04,BBCA.JK,TLKM.JK,0.01702336275613958,0.01702336275613958
2021-03-04,BBCA.JK,TPIA.JK,0.022756403548654935,0.022756403548654935
2021-03-04,ASII.JK,TLKM.JK,0.03865960819747527,0.03865960819747527
2021-03-04,ASII.JK,TPIA.JK,0.005974208117253577,0.005974208117253577
2021-03-04,TLKM.JK,TPIA.JK,0.008776349863867328,0.008776349863867328
2021-04-06,BBCA.JK,ASII.JK,0.02959059344025694,0.02959059344025694
2021-04-06,BBCA.JK,TLKM.JK,0.0005777632463441762,0.0005777632463441762
2021-04-06,BBCA.JK,TPIA.JK,0.03303246148446215,0.03303246148446215
2021-04-06,ASII.JK,TLKM.JK,0.020682061266972918,0.020682061266972918
2021-04-06,ASII.JK,TPIA.JK,0.021646531001983327,0.021646531001983327
2021-04-06,TLKM.JK,TPIA.JK,0.02620002367269003,0.02620002367269003
2021-05-05,BBCA.JK,ASII.JK,0.033155920413697526,0.033155920413697526
2021-05-05,BBCA.JK,TLKM.JK,0.00802814245024086,0.00802814245024086
2021-05-05,BBCA.JK,TPIA.JK,0.020144304197623253,0.020144304197623253
2021-05-05,ASII.JK,TLKM.JK,0.02866790277713238,0.02866790277713238
2021-05-05,ASII.JK,TPIA.JK,0.008793344873096798,0.008793344873096798
2021-05-05,TLKM.JK,TPIA.JK,0.00802814245024086,0.00802814245024086
2021-06-10,BBCA.JK,ASII.JK,0.035905298038916955,0.035905298038916955
2021-06-10,BBCA.JK,TLKM.JK,0.04414216612256805,0.04414216612256805
2021-06-10,BBCA.JK,TPIA.JK,0.005263630373335992,0.005263630373335992
2021-06-10,ASII.JK,TLKM.JK,0.027578910966329806,0.027578910966329806
2021-06-10,ASII.JK,TPIA.JK,0.026123126279441244,0.026123126279441244
2021-06-10,TLKM.JK,TPIA.JK,0.03203519277155298,0.03203519277155298
2021-07-09,BBCA.JK,ASII.JK,0.01712438952378803,0.01712438952378803
2021-07-09,BBCA.JK,TLKM.JK,0.10773780618474849,0.10773780618474849
2021-07-09,BBCA.JK,TPIA.JK,0.0003507958462567462,0.0003507958462567462
2021-07-09,ASII.JK,TLKM.JK,0.03581623874970652,0.03581623874970652
2021-07-09,ASII.JK,TPIA.JK,0.005264911932860938,0.005264911932860938
2021-07-09,TLKM.JK,TPIA.JK,0.014997212596985054,0.014997212596985054
2021-08-10,BBCA.JK,ASII.JK,0.01258417478780105,0.01258417478780105
2021-08-10,BBCA.JK,TLKM.JK,0.05139582596357517,0.05139582596357517
2021-08-10,BBCA.JK,TPIA.JK,4.0589427789949895e-06,4.0589427789949895e-06
2021-08-10,ASII.JK,TLKM.JK,0.04246265784157499,0.04246265784157499
2021-08-10,ASII.JK,TPIA.JK,0.004634882493334436,0.004634882493334436
2021-08-10,TLKM.JK,TPIA.JK,0.018992463718707997,0.018992463718707997
2021-09-10,BBCA.JK,ASII.JK,0.02298349810273148,0.02298349810273148
2021-09-10,BBCA.JK,TLKM.JK,0.020188846066789834,0.020188846066789834
2021-09-10,BBCA.JK,TPIA.JK,0.00482667988950003,0.00482667988950003
2021-09-10,ASII.JK,TLKM.JK,0.048930318700884934,0.048930318700884934
2021-09-10,ASII.JK,TPIA.JK,0.0038696800704784984,0.0038696800704784984
2021-09-10,TLKM.JK,TPIA.JK,0.020188846066789834,0.020188846066789834
2021-10-11,BBCA.JK,ASII.JK,0.06723610314090056,0.06723610314090056
2021-10-11,BBCA.JK,TLKM.JK,0.00415330377811407,0.00415330377811407
2021-10-11,BBCA.JK,TPIA.JK,0.005759341962916276,0.005759341962916276
2021-10-11,ASII.JK,TLKM.JK,0.06772586456653906,0.06772586456653906
2021-10-11,ASII.JK,TPIA.JK,0.011298900754700636,0.011298900754700636
2021-10-11,TLKM.JK,TPIA.JK,0.03363275365575458,0.03363275365575458
2021-11-10,BBCA.JK,ASII.JK,0.056173805147662126,0.056173805147662126
2021-11-10,BBCA.JK,TLKM.JK,0.02227440971215544,0.02227440971215544
2021-11-10,BBCA.JK,TPIA.JK,0.01651280879523176,0.01651280879523176
2021-11-10,ASII.JK,TLKM.JK,0.07740702764688057,0.07740702764688057
2021-11-10,ASII.JK,TPIA.JK,0.004862922126362301,0.004862922126362301
2021-11-10,TLKM.JK,TPIA.JK,0.013211624435158775,0.013211624435158775
2021-12-09,BBCA.JK,ASII.JK,0.03727337890501081,0.03727337890501081
2021-12-09,BBCA.JK,TLKM.JK,0.0161978491907131,0.0161978491907131
2021-12-09,BBCA.JK,TPIA.JK,0.016266342642449638,0.016266342642449638
2021-12-09,ASII.JK,TLKM.JK,0.04246265784157499,0.04246265784157499
2021-12-09,ASII.JK,TPIA.JK,0.0038696800704784984,0.0038696800704784984
2021-12-09,TLKM.JK,TPIA.JK,0.0020372879012233724,0.0020372879012233724
2022-01-10,BBCA.JK,ASII.JK,0.01258417478780105,0.01258417478780105
2022-01-10,BBCA.JK,TLKM.JK,0.007619036338755603,0.007619036338755603
2022-01-10,BBCA.JK,TPIA.JK,0.013891818004380552,0.013891818004380552
2022-01-10,ASII.JK,TLKM.JK,0.03792776271412057,0.03792776271412057
2022-01-10,ASII.JK,TPIA.JK,0.006736900140382751,0.006736900140382751
2022-01-10,TLKM.JK,TPIA.JK,0.003978261595685817,0.003978261595685817
2022-02-09,BBCA.JK,ASII.JK,0.025669584425765724,0.025669584425765724
2022-02-09,BBCA.JK,TLKM.JK,0.00030957053569902193,0.00030957053569902193
2022-02-09,BBCA.JK,TPIA.JK,0.0007352245095317844,0.0007352245095317844
2022-02-09,ASII.JK,TLKM.JK,0.02298349810273148,0.02298349810273148
2022-02-09,ASII.JK,TPIA.JK,0.0038696800704784984,0.0038696800704784984
2022-02-09,TLKM.JK,TPIA.JK,0.0024155592600618725,0.0024155592600618725
2022-03-14,BBCA.JK,ASII.JK,0.02447268920621659,0.02447268920621659
2022-03-14,BBCA.JK,TLKM.JK,0.0010037250220360505,0.0010037250220360505
2022-03-14,BBCA.JK,TPIA.JK,0.013767244065456596,0.013767244065456596
2022-03-14,ASII.JK,TLKM.JK,0.02674357501853919,0.02674357501853919
2022-03-14,ASII.JK,TPIA.JK,0.00631587099298514,0.00631587099298514
2022-03-14,TLKM.JK,TPIA.JK,0.0002603723684673209,0.0002603723684673209
2022-04-12,BBCA.JK,ASII.JK,0.015795898980949463,0.015795898980949463
2022-04-12,BBCA.JK,TLKM.JK,0.00038297725913727376,0.00038297725913727376
2022-04-12,BBCA.JK,TPIA.JK,0.0009172997686828221,0.0009172997686828221
2022-04-12,ASII.JK,TLKM.JK,0.007173465260857492,0.007173465260857492
2022-04-12,ASII.JK,TPIA.JK,0.001927103439118838,0.001927103439118838
2022-04-12,TLKM.JK,TPIA.JK,0.011078921198475422,0.011078921198475422
2022-05-23,BBCA.JK,ASII.JK,0.007627487957032386,0.007627487957032386
2022-05-23,BBCA.JK,TLKM.JK,0.00392560924674501,0.00392560924674501
2022-05-23,BBCA.JK,TPIA.JK,0.016636932231385515,0.016636932231385515
2022-05-23,ASII.JK,TLKM.JK,0.03151583118236001,0.03151583118236001
2022-05-23,ASII.JK,TPIA.JK,0.011566063674716354,0.011566063674716354
2022-05-23,TLKM.JK,TPIA.JK,0.016763732287632616,0.016763732287632616
2022-06-23,BBCA.JK,ASII.JK,0.00038297725913727376,0.00038297725913727376
2022-06-23,BBCA.JK,TLKM.JK,0.035905298038916955,0.035905298038916955
2022-06-23,BBCA.JK,TPIA.JK,6.214280132410543e-05,6.214280132410543e-05
2022-06-23,ASII.JK,TLKM.JK,0.02227440971215544,0.02227440971215544
2022-06-23,ASII.JK,TPIA.JK,0.007030550918547762,0.007030550918547762
2022-06-23,TLKM.JK,TPIA.JK,0.01496967705812069,0.01496967705812069
2022-07-22,BBCA.JK,ASII.JK,0.01496967705812069,0.01496967705812069
2022-07-22,BBCA.JK,TLKM.JK,0.01496967705812069,0.01496967705812069
2022-07-22,BBCA.JK,TPIA.JK,0.011384033764887835,0.011384033764887835
