Index,State,Real,Imaginary,Probability
0,0000,0.7736598951705451,0.5547159455145126,0.9062594136033584
1,0001,-0.25322434602594185,0.1688458452924042,0.09263148889277242
2,0010,0.001520299469550587,0.00012619191724906262,2.3272348770947903e-06
3,0011,-0.011542177999141827,-0.009051871247787117,0.0002151582460503888
4,0100,-0.004055894762349306,0.010149765644783438,0.00011946802496727868
5,0101,-0.002662325225762304,-0.002584272289760106,1.3766438875352243e-05
6,0110,-0.011672982895357776,0.0004751699375883968,0.00013648431614490298
7,0111,0.0012520180777593154,-0.0037007523801518716,1.526311744623587e-05
8,1000,-0.0072463758772301715,-0.009548076121260692,0.00014367572097149194
9,1001,0.0037297312832883815,0.020653931352905372,0.0004404957757760676
10,1010,0.00014997198950468296,0.0001847691983060886,5.663125427866742e-08
11,1011,-0.00014200618062438705,0.00020387144827645852,6.172932275786673e-08
12,1100,0.0015314622598822298,-0.0003568586137946767,2.4727247236830453e-06
13,1101,0.0006347176049824712,-0.004403750000779332,1.9795880507438648e-05
14,1110,0.00011675938684746522,-1.3057763520237439e-05,1.3803259605146474e-08
15,1111,-0.0001546427954857849,-0.0001842424976838689,5.785969214844873e-08
