Date,Asset,h_value
2021-01-04,BBCA.JK,-10.171109418120485
2021-01-04,ASII.JK,-16.820838599205427
2021-01-04,TLKM.JK,-17.91111806607164
2021-01-04,TPIA.JK,-8.588141769326384
2021-02-02,BBCA.JK,-10.568991985979464
2021-02-02,ASII.JK,-16.567441006637104
2021-02-02,TLKM.JK,-19.524052247622567
2021-02-02,TPIA.JK,-9.34480858192565
2021-03-04,BBCA.JK,-6.7254041114901035
2021-03-04,ASII.JK,-9.783260393452062
2021-03-04,TLKM.JK,-10.388164671980311
2021-03-04,TPIA.JK,-8.936687137462505
2021-04-06,BBCA.JK,-9.712752075603591
2021-04-06,ASII.JK,-12.299023993875048
2021-04-06,TLKM.JK,-12.09286674481608
2021-04-06,TPIA.JK,-12.078718294767276
2021-05-05,BBCA.JK,-7.469080371929114
2021-05-05,ASII.JK,-9.588637656254177
2021-05-05,TLKM.JK,-7.078223505611671
2021-05-05,TPIA.JK,-10.209346774951946
2021-06-10,BBCA.JK,-7.420450944937406
2021-06-10,ASII.JK,-9.836603156390163
2021-06-10,TLKM.JK,-7.913427533947939
2021-06-10,TPIA.JK,-13.233566923272322
2021-07-09,BBCA.JK,-6.675601888415119
2021-07-09,ASII.JK,-8.94124321450248
2021-07-09,TLKM.JK,-7.882103528017436
2021-07-09,TPIA.JK,-13.420400237931227
2021-08-10,BBCA.JK,-6.863019982685579
2021-08-10,ASII.JK,-9.23604440228669
2021-08-10,TLKM.JK,-9.015066464792758
2021-08-10,TPIA.JK,-13.562405331819361
2021-09-10,BBCA.JK,-5.782744225654876
2021-09-10,ASII.JK,-8.270275244064534
2021-09-10,TLKM.JK,-7.986080258709204
2021-09-10,TPIA.JK,-11.033305887819479
2021-10-11,BBCA.JK,-10.198679606255274
2021-10-11,ASII.JK,-15.426176573741861
2021-10-11,TLKM.JK,-11.408401669040392
2021-10-11,TPIA.JK,-16.398692705767566
2021-11-10,BBCA.JK,-9.048551218100785
2021-11-10,ASII.JK,-15.247509195030332
2021-11-10,TLKM.JK,-10.342429663695468
2021-11-10,TPIA.JK,-16.941978352196784
2021-12-09,BBCA.JK,-8.486290784384602
2021-12-09,ASII.JK,-14.25881762024085
2021-12-09,TLKM.JK,-10.339932306360746
2021-12-09,TPIA.JK,-11.53895187796027
2022-01-10,BBCA.JK,-5.5260293546158765
2022-01-10,ASII.JK,-9.423362402415068
2022-01-10,TLKM.JK,-7.925999196989506
2022-01-10,TPIA.JK,-7.767997735155686
2022-02-09,BBCA.JK,-8.523882687030806
2022-02-09,ASII.JK,-11.152671985189656
2022-02-09,TLKM.JK,-12.737726985844498
2022-02-09,TPIA.JK,-11.261441527292524
2022-03-14,BBCA.JK,-8.0594459845666
2022-03-14,ASII.JK,-9.77825788262489
2022-03-14,TLKM.JK,-10.353783996696382
2022-03-14,TPIA.JK,-16.073261441296907
2022-04-12,BBCA.JK,-9.682186793168077
2022-04-12,ASII.JK,-12.821424901302017
2022-04-12,TLKM.JK,-10.910456607732607
2022-04-12,TPIA.JK,-19.510580503102275
2022-05-23,BBCA.JK,-9.259522460945528
2022-05-23,ASII.JK,-12.612182717577745
2022-05-23,TLKM.JK,-9.563103894914063
2022-05-23,TPIA.JK,-13.504853768511659
2022-06-23,BBCA.JK,-8.987331100641324
2022-06-23,ASII.JK,-11.273036991118682
2022-06-23,TLKM.JK,-8.074136650059353
2022-06-23,TPIA.JK,-8.467473583433447
2022-07-22,BBCA.JK,-9.435172669974554
2022-07-22,ASII.JK,-12.65562824841493
2022-07-22,TLKM.JK,-8.512387830548393
2022-07-22,TPIA.JK,-8.196502660076147
2022-08-23,BBCA.JK,-8.031385843851801
2022-08-23,ASII.JK,-11.558594531745262
2022-08-23,TLKM.JK,-9.195047140885277
2022-08-23,TPIA.JK,-8.253777293984475
2022-09-21,BBCA.JK,-6.80669428791445
2022-09-21,ASII.JK,-10.93028864237291
2022-09-21,TLKM.JK,-8.893810829113297
2022-09-21,TPIA.JK,-10.502454898065372
2022-10-20,BBCA.JK,-5.434862438580942
2022-10-20,ASII.JK,-7.511832314077188
2022-10-20,TLKM.JK,-8.293406846831084
2022-10-20,TPIA.JK,-10.633087423780504
2022-11-18,BBCA.JK,-7.622438370545399
2022-11-18,ASII.JK,-9.893447490452902
2022-11-18,TLKM.JK,-9.06167048898974
2022-11-18,TPIA.JK,-12.79447157733299
2022-12-19,BBCA.JK,-9.468652122708246
2022-12-19,ASII.JK,-10.307069983687049
2022-12-19,TLKM.JK,-10.573618936419354
2022-12-19,TPIA.JK,-10.212143090133937
2023-01-17,BBCA.JK,-9.076036990367959
2023-01-17,ASII.JK,-9.630545231456656
2023-01-17,TLKM.JK,-10.328879447827086
2023-01-17,TPIA.JK,-8.772499698097809
2023-02-16,BBCA.JK,-7.313262461191994
2023-02-16,ASII.JK,-7.492603944573918
2023-02-16,TLKM.JK,-8.564377762026902
2023-02-16,TPIA.JK,-6.37523761180731
2023-03-17,BBCA.JK,-7.184029323752129
2023-03-17,ASII.JK,-8.048988407124966
2023-03-17,TLKM.JK,-7.57673904308504
2023-03-17,TPIA.JK,-7.495180747292082
2023-04-27,BBCA.JK,-8.08317656680924
2023-04-27,ASII.JK,-9.162248851308268
2023-04-27,TLKM.JK,-8.527214909679484
2023-04-27,TPIA.JK,-9.963655661802559
2023-05-30,BBCA.JK,-7.354090525662961
2023-05-30,ASII.JK,-9.407488394044927
2023-05-30,TLKM.JK,-9.338247141113513
2023-05-30,TPIA.JK,-12.861792105042541
2023-07-05,BBCA.JK,-6.56536040855367
2023-07-05,ASII.JK,-9.340802570093523
2023-07-05,TLKM.JK,-8.37780406740492
2023-07-05,TPIA.JK,-11.309315974819475
2023-08-04,BBCA.JK,-5.617177344902004
2023-08-04,ASII.JK,-8.321645980615969
2023-08-04,TLKM.JK,-6.7431341501736455
2023-08-04,TPIA.JK,-10.591466391722218
2023-09-05,BBCA.JK,-3.447675928974975
2023-09-05,ASII.JK,-4.963871600854713
2023-09-05,TLKM.JK,-4.292647552511684
2023-09-05,TPIA.JK,-7.108947420878365
2023-10-05,BBCA.JK,-6.002018259146812
2023-10-05,ASII.JK,-7.394456294892005
2023-10-05,TLKM.JK,-6.530977631277042
