Date,Ticker_i,Ticker_j,Interaction_J_Obj,Interaction_J_Pen
2021-01-04,BBCA.JK,TLKM.JK,0.00218702616254851,0.5
2021-02-02,BBCA.JK,TLKM.JK,0.0029326180908206653,0.5
2021-03-04,BBCA.JK,TLKM.JK,0.0026396238664154977,0.5
2021-04-06,BBCA.JK,TLKM.JK,0.0018380044540451878,0.5
2021-05-05,BBCA.JK,TLKM.JK,0.0016361362475007678,0.5
2021-06-10,BBCA.JK,TLKM.JK,0.0015112294488833144,0.5
2021-07-09,BBCA.JK,TLKM.JK,0.000786440123279856,0.5
2021-08-10,BBCA.JK,TLKM.JK,0.0007176164420703123,0.5
2021-09-10,BBCA.JK,TLKM.JK,0.0007810557666654722,0.5
2021-10-11,BBCA.JK,TLKM.JK,0.0006482017484221532,0.5
2021-11-10,BBCA.JK,TLKM.JK,0.0006186312445117344,0.5
2021-12-09,BBCA.JK,TLKM.JK,0.0008323875727021084,0.5
2022-01-10,BBCA.JK,TLKM.JK,0.0004327272017584564,0.5
2022-02-09,BBCA.JK,TLKM.JK,0.0004303663398718996,0.5
2022-03-14,BBCA.JK,TLKM.JK,0.0002523217820092075,0.5
2022-04-12,BBCA.JK,TLKM.JK,0.000212241237758707,0.5
2022-05-23,BBCA.JK,TLKM.JK,0.0008350581277189836,0.5
2022-06-23,BBCA.JK,TLKM.JK,0.0009414411926643055,0.5
2022-07-22,BBCA.JK,TLKM.JK,0.0009857144160070387,0.5
2022-08-23,BBCA.JK,TLKM.JK,0.000961988590152635,0.5
2022-09-21,BBCA.JK,TLKM.JK,0.0014117608591425195,0.5
2022-10-20,BBCA.JK,TLKM.JK,0.001312312585167301,0.5
2022-11-18,BBCA.JK,TLKM.JK,0.0007677137810201902,0.5
2022-12-19,BBCA.JK,TLKM.JK,0.000743114420797965,0.5
2023-01-17,BBCA.JK,TLKM.JK,0.0007776865227239606,0.5
2023-02-16,BBCA.JK,TLKM.JK,0.0006495255898638315,0.5
2023-03-17,BBCA.JK,TLKM.JK,0.0008858725944243346,0.5
2023-04-27,BBCA.JK,TLKM.JK,0.0007252795271973937,0.5
2023-05-30,BBCA.JK,TLKM.JK,0.0006708918794361851,0.5
2023-07-05,BBCA.JK,TLKM.JK,0.00041405149026163004,0.5
2023-08-04,BBCA.JK,TLKM.JK,0.00035802378358985057,0.5
2023-09-05,BBCA.JK,TLKM.JK,0.00028536857865818987,0.5
2023-10-05,BBCA.JK,TLKM.JK,0.00028036335670851825,0.5
2023-11-03,BBCA.JK,TLKM.JK,0.00013099770980278696,0.5
2023-12-04,BBCA.JK,TLKM.JK,0.0001501390003596251,0.5
