Asset,mu,mu_tilde
DUK,0.002990554138587329,0.00015722169393597805
MSFT,0.00015722169393597805,0.0012642603328568234
CVX,0.0012642603328568236,0.0029905541385873303
TSLA,0.008558909085446452,0.008558909085446454
