,DUK,MSFT,CVX,TSLA
DUK,0.0007573154607729975,0.0001764414505395289,1.1509486505970485e-06,2.772542123634415e-05
MSFT,0.0001764414505395289,0.0001417406612459053,1.4524360780165737e-05,7.080498070516273e-05
CVX,1.1509486505970485e-06,1.4524360780165737e-05,0.00026699438231259656,0.00012726397944677007
TSLA,2.772542123634415e-05,7.080498070516273e-05,0.00012726397944677007,0.0012143943007197303
