Date,Ticker,Bias_h_Obj,Bias_h_Pen
2021-01-04,BBCA.JK,0.08745763345180493,-0.0
2021-01-04,TLKM.JK,0.0465476681562753,-0.0
2021-01-04,SMGR.JK,0.07529742805601837,-0.0
2021-01-04,ADRO.JK,0.027796635568783683,-0.0
2021-02-02,BBCA.JK,0.02840912177893975,-0.0
2021-02-02,TLKM.JK,0.026923905813051534,-0.0
2021-02-02,SMGR.JK,0.05614014284199575,-0.0
2021-02-02,ADRO.JK,0.017755525169259573,-0.0
2021-03-04,BBCA.JK,0.0191954750844545,-0.0
2021-03-04,TLKM.JK,0.017582126665089345,-0.0
2021-03-04,SMGR.JK,0.021832266045221507,-0.0
2021-03-04,ADRO.JK,0.040715013944512796,-0.0
2021-04-06,BBCA.JK,0.01582898177710265,-0.0
2021-04-06,TLKM.JK,0.02608931398487525,-0.0
2021-04-06,SMGR.JK,0.04712833850010478,-0.0
2021-04-06,ADRO.JK,0.06352871218311096,-0.0
2021-05-05,BBCA.JK,0.027416794875463016,-0.0
2021-05-05,TLKM.JK,0.03045626977808825,-0.0
2021-05-05,SMGR.JK,0.02394619003325989,-0.0
2021-05-05,ADRO.JK,0.053645081362104906,-0.0
2021-06-10,BBCA.JK,-0.01578526671838546,-0.0
2021-06-10,TLKM.JK,0.011598975301008202,-0.0
2021-06-10,SMGR.JK,-0.023326408844606406,-0.0
2021-06-10,ADRO.JK,0.011606845247404456,-0.0
2021-07-09,BBCA.JK,-0.024689867979142893,-0.0
2021-07-09,TLKM.JK,-0.02654846567055258,-0.0
2021-07-09,SMGR.JK,-0.07652188021317075,-0.0
2021-07-09,ADRO.JK,-0.020926368815773515,-0.0
2021-08-10,BBCA.JK,0.03957133268207194,-0.0
2021-08-10,TLKM.JK,-0.01779744385940554,-0.0
2021-08-10,SMGR.JK,-0.0573181275231872,-0.0
2021-08-10,ADRO.JK,0.014281692356763282,-0.0
2021-09-10,BBCA.JK,0.048730998463451865,-0.0
2021-09-10,TLKM.JK,-0.000664553882010112,-0.0
2021-09-10,SMGR.JK,-0.05168877350829302,-0.0
2021-09-10,ADRO.JK,0.01712013621644463,-0.0
2021-10-11,BBCA.JK,0.12694623260923604,-0.0
2021-10-11,TLKM.JK,0.04819116607577037,-0.0
2021-10-11,SMGR.JK,-0.05101370809999511,-0.0
2021-10-11,ADRO.JK,0.045723804046228625,-0.0
2021-11-10,BBCA.JK,0.10126093222735377,-0.0
2021-11-10,TLKM.JK,0.04686248513048451,-0.0
2021-11-10,SMGR.JK,-0.004685237544364186,-0.0
2021-11-10,ADRO.JK,0.05254674438079886,-0.0
2021-12-09,BBCA.JK,0.1298191093349228,-0.0
2021-12-09,TLKM.JK,0.032090804622339195,-0.0
2021-12-09,SMGR.JK,-0.05565345626830508,-0.0
2021-12-09,ADRO.JK,0.04429907002122724,-0.0
2022-01-10,BBCA.JK,0.19871020569609726,-0.0
2022-01-10,TLKM.JK,0.06387897891330895,-0.0
2022-01-10,SMGR.JK,-0.047034029391644354,-0.0
