Date,ADRO.JK,BBCA.JK,SMGR.JK,TLKM.JK
2020-06-02,328.18170166015625,4515.49658203125,8238.693359375,2201.510009765625
2020-06-03,333.9140319824219,4869.32275390625,8217.5166015625,2228.605712890625
2020-06-04,333.6549072265625,4877.7470703125,8132.7978515625,2235.379638671875
2020-06-05,327.69677734375,4822.98779296875,7984.5439453125,2187.962890625
2020-06-08,345.5711364746094,4970.41552734375,8598.740234375,2187.962890625
2020-06-09,351.5292663574219,4890.384765625,8005.72265625,2126.99755859375
2020-06-10,327.69677734375,4886.171875,7815.111328125,2106.67626953125
2020-06-11,318.75958251953125,4785.07861328125,8005.72265625,2086.3544921875
2020-06-12,315.780517578125,4776.654296875,7963.36474609375,2052.4853515625
2020-06-15,303.8642272949219,4633.439453125,7984.5439453125,2093.12841796875
2020-06-16,320.24908447265625,4852.47412109375,8238.693359375,2167.640869140625
2020-06-17,318.75958251953125,4818.7763671875,8153.97802734375,2174.41455078125
2020-06-18,306.84332275390625,4705.04638671875,7899.8271484375,2221.831787109375
2020-06-19,309.8223571777344,4696.62255859375,8048.08154296875,2221.831787109375
2020-06-22,306.84332275390625,4667.13671875,8111.6201171875,2167.640869140625
2020-06-23,299.3956604003906,4734.53125,8090.4404296875,2120.223876953125
2020-06-24,311.3118896484375,4806.1396484375,8026.90185546875,2154.093017578125
2020-06-25,299.3956604003906,4822.98779296875,8005.72265625,2140.54541015625
2020-06-26,302.3747253417969,4755.5927734375,8048.08154296875,2160.8671875
2020-06-29,299.3956604003906,4780.86572265625,8026.90185546875,2154.093017578125
2020-06-30,296.4166564941406,4797.71533203125,8188.83349609375,2171.226806640625
2020-07-01,311.3118896484375,4886.171875,8210.1025390625,2164.10791015625
2020-07-02,312.8014221191406,4945.14208984375,8188.83349609375,2235.295654296875
2020-07-03,309.8223571777344,4945.14208984375,8316.451171875,2221.05810546875
2020-07-06,317.2700500488281,4999.90185546875,8465.3388671875,2171.226806640625
2020-07-07,312.8014221191406,5046.23583984375,8231.3720703125,2221.05810546875
2020-07-08,317.2700500488281,5223.14892578125,8273.912109375,2242.41455078125
2020-07-09,326.207275390625,5138.90478515625,8082.484375,2213.939697265625
2020-07-10,323.2281799316406,5223.14892578125,8018.6748046875,2213.939697265625
2020-07-13,344.08160400390625,5202.08740234375,7954.86572265625,2199.701904296875
2020-07-14,344.08160400390625,5223.14892578125,8210.1025390625,2192.583251953125
2020-07-15,336.6339416503906,5181.02734375,8039.94384765625,2199.701904296875
2020-07-16,330.67584228515625,5206.30029296875,7997.4052734375,2206.8203125
2020-07-17,344.08160400390625,5155.7529296875,7954.86572265625,2178.345458984375
2020-07-20,336.6339416503906,5172.6015625,8039.94384765625,2178.345458984375
2020-07-21,338.12347412109375,5223.14892578125,8061.21435546875,2178.345458984375
2020-07-22,335.1444091796875,5206.30029296875,8167.5634765625,2185.46435546875
2020-07-23,336.6339416503906,5223.14892578125,8039.94384765625,2185.46435546875
2020-07-24,324.7176818847656,5138.90478515625,7891.05712890625,2149.870361328125
2020-07-27,330.67584228515625,5138.90478515625,7976.1357421875,2164.10791015625
2020-07-28,324.7176818847656,5210.51220703125,7997.4052734375,2149.870361328125
2020-07-29,323.2281799316406,5168.3896484375,8061.21435546875,2135.633056640625
2020-07-30,323.2281799316406,5256.8466796875,7848.51806640625,2171.226806640625
2020-08-03,306.84332275390625,5164.177734375,7763.43896484375,2078.682861328125
2020-08-04,308.33282470703125,5231.5732421875,7827.2490234375,2100.0390625
2020-08-05,312.8014221191406,5227.361328125,8039.94384765625,2149.870361328125
2020-08-06,332.16534423828125,5273.69482421875,8167.5634765625,2149.870361328125
2020-08-07,326.207275390625,5206.30029296875,8231.3720703125,2121.395263671875
2020-08-10,339.6130065917969,5155.7529296875,8167.5634765625,2114.27685546875
2020-08-11,342.59210205078125,5202.08740234375,8167.5634765625,2085.80126953125
2020-08-12,333.6549072265625,5273.69482421875,8380.259765625,2100.0390625
2020-08-13,332.16534423828125,5307.39306640625,8273.912109375,2142.751708984375
2020-08-14,332.16534423828125,5395.8505859375,8082.484375,2156.989501953125
2020-08-18,332.16534423828125,5357.939453125,8295.1806640625,2171.226806640625
2020-08-19,332.16534423828125,5332.6669921875,8125.02392578125,2135.633056640625
2020-08-24,326.207275390625,5320.02978515625,8252.6416015625,2135.633056640625
2020-08-25,327.69677734375,5362.15234375,8763.1142578125,2121.395263671875
2020-08-26,330.67584228515625,5341.09130859375,8890.732421875,2149.870361328125
2020-08-27,335.1444091796875,5560.126953125,9082.1591796875,2128.51416015625
2020-08-28,341.1025695800781,5471.66943359375,9060.890625,2107.157958984375
2020-08-31,323.2281799316406,5286.33251953125,8975.8125,2035.9700927734375
2020-09-01,339.6130065917969,5492.72998046875,9358.6669921875,2064.445068359375
2020-09-02,361.95599365234375,5421.12353515625,9103.4287109375,2100.0390625
2020-09-03,358.9769287109375,5475.88232421875,8954.5419921875,2064.445068359375
2020-09-04,358.9769287109375,5374.7880859375,8805.6552734375,2035.9700927734375
2020-09-07,372.3826904296875,5294.75634765625,8997.08203125,2064.445068359375
2020-09-08,369.40362548828125,5336.87890625,8678.0361328125,2035.9700927734375
2020-09-09,357.4873962402344,5261.05908203125,8592.9580078125,1993.2574462890625
2020-09-10,333.6549072265625,4894.5966796875,7997.4052734375,1922.0697021484375
2020-09-11,351.5292663574219,4974.6279296875,7997.4052734375,2000.3760986328125
2020-09-14,357.4873962402344,5096.78271484375,8380.259765625,2057.326171875
2020-09-15,354.5083312988281,4936.71875,8188.83349609375,2014.6134033203125
2020-09-16,341.1025695800781,4844.048828125,7997.4052734375,1986.138427734375
2020-09-17,336.6339416503906,4848.26171875,7912.32763671875,2007.4951171875
2020-09-18,341.1025695800781,4742.9560546875,7933.5966796875,2057.326171875
2020-09-21,341.1025695800781,4721.8955078125,7827.2490234375,2000.3760986328125
2020-09-22,345.5711364746094,4591.31640625,7678.35986328125,1979.0198974609375
2020-09-23,345.5711364746094,4637.6513671875,7572.01171875,1993.2574462890625
2020-09-24,336.6339416503906,4587.10400390625,7486.93212890625,1943.4259033203125
2020-09-25,339.6130065917969,4726.107421875,7486.93212890625,1914.950927734375
2020-09-28,336.6339416503906,4646.07568359375,7763.43896484375,1893.5947265625
2020-09-29,347.0606689453125,4637.6513671875,7742.169921875,1872.238037109375
2020-09-30,338.12347412109375,4566.04345703125,7805.978515625,1822.4068603515625
2020-10-01,351.5292663574219,4692.41015625,8146.29443359375,1957.6634521484375
2020-10-02,339.6130065917969,4637.6513671875,8039.94384765625,1907.83203125
2020-10-05,335.1444091796875,4650.287109375,8039.94384765625,1886.4757080078125
2020-10-06,335.1444091796875,4801.9267578125,8018.6748046875,1886.4757080078125
2020-10-07,336.6339416503906,4848.26171875,8061.21435546875,1893.5947265625
2020-10-08,336.6339416503906,4869.32275390625,8210.1025390625,1922.0697021484375
2020-10-09,332.16534423828125,4865.11083984375,7976.1357421875,1943.4259033203125
2020-10-12,330.67584228515625,4932.505859375,7997.4052734375,1943.4259033203125
2020-10-13,342.59210205078125,4932.505859375,7954.86572265625,1943.4259033203125
2020-10-14,353.0188293457031,4970.41552734375,7912.32763671875,2000.3760986328125
2020-10-15,344.08160400390625,4873.53515625,7742.169921875,1979.0198974609375
2020-10-16,363.44549560546875,4852.47412109375,7805.978515625,1957.6634521484375
2020-10-19,363.44549560546875,4970.41552734375,7805.978515625,1929.188232421875
2020-10-20,360.46636962890625,4890.384765625,8061.21435546875,1900.7132568359375
2020-10-21,357.4873962402344,4869.32275390625,8082.484375,1907.83203125
2020-10-22,345.5711364746094,4886.171875,7933.5966796875,1922.0697021484375
2020-10-23,341.1025695800781,4860.89892578125,8018.6748046875,1872.238037109375
2020-10-26,341.1025695800781,4898.80859375,8167.5634765625,1886.4757080078125
2020-10-27,335.1444091796875,4877.7470703125,8146.29443359375,1865.119384765625
2020-11-02,336.6339416503906,4903.02099609375,7763.43896484375,1822.4068603515625
2020-11-03,341.1025695800781,4961.9921875,7593.28173828125,1836.6441650390625
2020-11-04,330.67584228515625,4903.02099609375,7763.43896484375,1836.6441650390625
2020-11-05,339.6130065917969,5181.02734375,8465.3388671875,1971.90087890625
2020-11-06,339.6130065917969,5307.39306640625,8805.6552734375,2014.6134033203125
2020-11-09,336.6339416503906,5294.75634765625,8699.3046875,2050.20751953125
2020-11-10,339.6130065917969,5459.033203125,9018.3515625,2035.9700927734375
2020-11-11,358.9769287109375,5509.58056640625,9528.82421875,2192.583251953125
2020-11-12,350.03973388671875,5408.48681640625,9635.171875,2164.10791015625
2020-11-13,347.0606689453125,5383.21240234375,9528.82421875,2128.51416015625
2020-11-16,355.9978942871094,5459.033203125,9316.1259765625,2185.46435546875
2020-11-17,351.5292663574219,5518.00537109375,9337.396484375,2292.24609375
2020-11-18,354.5083312988281,5534.85302734375,9486.2841796875,2263.770751953125
2020-11-19,369.40362548828125,5572.7626953125,9486.2841796875,2256.65234375
2020-11-20,361.95599365234375,5560.126953125,9656.4423828125,2292.24609375
2020-11-23,384.2989501953125,5560.126953125,10294.533203125,2363.43359375
2020-11-24,387.27801513671875,5530.64111328125,9975.4873046875,2384.790283203125
2020-11-25,387.27801513671875,5400.0625,10124.3759765625,2334.95849609375
2020-11-26,405.1524353027344,5459.033203125,10145.6455078125,2470.21533203125
2020-11-27,414.0895690917969,5379.00146484375,10145.6455078125,2463.0966796875
2020-11-30,414.0895690917969,5227.361328125,9954.216796875,2299.364990234375
2020-12-01,414.0895690917969,5387.42529296875,10209.453125,2306.4833984375
2020-12-02,414.0895690917969,5433.76025390625,10166.9150390625,2370.552490234375
2020-12-03,409.62091064453125,5442.18505859375,10209.453125,2349.196044921875
2020-12-04,427.495361328125,5383.21240234375,9932.9482421875,2313.60205078125
2020-12-07,442.3905944824219,5492.72998046875,9996.7568359375,2370.552490234375
2020-12-08,460.2649841308594,5467.4580078125,9847.869140625,2349.196044921875
2020-12-10,460.2649841308594,5555.84423828125,9954.216796875,2320.72119140625
2020-12-11,457.2859802246094,5691.0439453125,9762.791015625,2334.95849609375
2020-12-14,467.712646484375,5762.8681640625,10209.453125,2363.43359375
2020-12-15,455.79644775390625,5737.5185546875,10422.1513671875,2455.977783203125
2020-12-16,463.244140625,5872.71630859375,10719.9267578125,2569.878173828125
2020-12-17,443.8802185058594,5860.04296875,10996.43359375,2520.047119140625
2020-12-18,440.90106201171875,5745.96826171875,10677.3876953125,2498.6904296875
2020-12-21,463.244140625,5771.318359375,10634.8486328125,2505.809326171875
2020-12-22,437.9220275878906,5674.14404296875,10592.3095703125,2391.908935546875
2020-12-23,443.8802185058594,5682.59326171875,10507.23046875,2363.43359375
2020-12-28,448.3487243652344,5729.068359375,10677.3876953125,2441.740234375
2020-12-29,443.8802185058594,5716.3935546875,10698.6572265625,2434.62158203125
2020-12-30,426.0058288574219,5720.61767578125,10571.0390625,2356.31494140625
2021-01-04,433.4534912109375,5775.54248046875,10698.6572265625,2484.453125
2021-01-05,424.5162353515625,5991.017578125,10549.7705078125,2470.21533203125
2021-01-06,409.62091064453125,5868.49267578125,10230.7236328125,2399.02734375
2021-01-07,418.55816650390625,5885.392578125,10464.69140625,2413.26513671875
2021-01-08,430.474365234375,5957.21728515625,10485.9599609375,2541.4033203125
2021-01-11,454.3068542480469,6206.49072265625,10230.7236328125,2562.75927734375
2021-01-12,439.4114990234375,6050.16650390625,10315.802734375,2498.6904296875
2021-01-13,451.3277587890625,6016.36669921875,10251.9931640625,2477.334228515625
2021-01-14,445.36962890625,5931.8671875,10145.6455078125,2491.57177734375
2021-01-15,433.4534912109375,5876.9423828125,10166.9150390625,2477.334228515625
2021-01-18,428.9848327636719,6016.36669921875,10762.466796875,2455.977783203125
2021-01-19,421.53717041015625,5995.2421875,10549.7705078125,2427.502685546875
2021-01-20,421.53717041015625,5995.2421875,10592.3095703125,2470.21533203125
2021-01-21,420.0476989746094,5978.34228515625,10422.1513671875,2477.334228515625
2021-01-22,402.17333984375,5982.56640625,10337.072265625,2413.26513671875
2021-01-25,385.7884826660156,5944.54296875,10018.0263671875,2399.02734375
2021-01-26,375.36175537109375,5762.8681640625,9996.7568359375,2320.72119140625
2021-01-27,370.8930969238281,5737.5185546875,9847.869140625,2406.146728515625
2021-01-28,357.4873962402344,5830.4677734375,9592.6328125,2306.4833984375
