Date,VQE,Nash,Benchmark
2020-11-13,100000000.0,100000000.0,100000000.0
2020-11-16,100000000.0,100000000.0,100000000.0
2020-11-17,100000000.0,100000000.0,100000000.0
2020-11-18,100000000.0,100000000.0,100000000.0
2020-11-19,100000000.0,100000000.0,100000000.0
2020-11-20,100000000.0,100000000.0,100000000.0
2020-11-23,100000000.0,100000000.0,100000000.0
2020-11-24,100000000.0,100000000.0,100000000.0
2020-11-25,100000000.0,100000000.0,100000000.0
2020-11-26,100000000.0,100000000.0,100000000.0
2020-11-27,100000000.0,100000000.0,100000000.0
2020-11-30,100000000.0,100000000.0,100000000.0
2020-12-01,100000000.0,100000000.0,100000000.0
2020-12-02,100000000.0,100000000.0,100000000.0
2020-12-03,100000000.0,100000000.0,100000000.0
2020-12-04,100000000.0,100000000.0,100000000.0
2020-12-07,100000000.0,100000000.0,100000000.0
2020-12-08,100000000.0,100000000.0,100000000.0
2020-12-10,100000000.0,100000000.0,100000000.0
2020-12-11,100000000.0,100000000.0,100000000.0
2020-12-14,100000000.0,100000000.0,100000000.0
2020-12-15,100000000.0,100000000.0,100000000.0
2020-12-16,100000000.0,100000000.0,100000000.0
2020-12-17,100000000.0,100000000.0,100000000.0
2020-12-18,100000000.0,100000000.0,100000000.0
2020-12-21,100000000.0,100000000.0,100000000.0
2020-12-22,100000000.0,100000000.0,100000000.0
2020-12-23,100000000.0,100000000.0,100000000.0
2020-12-28,100000000.0,100000000.0,100000000.0
2020-12-29,100000000.0,100000000.0,100000000.0
2020-12-30,100000000.0,100000000.0,100000000.0
2021-01-04,100000000.0,100000000.0,100000000.0
2021-01-05,98273244.38464057,100000000.0,99926058.32522336
2021-01-06,95063969.14657226,100000000.0,97074725.1049957
2021-01-07,97188349.68291831,100000000.0,98353337.1349389
2021-01-08,98662312.78408705,100000000.0,100690619.24247612
2021-01-11,100218610.24528351,100000000.0,102762668.36027414
2021-01-12,98898007.64509138,100000000.0,100781004.71333614
2021-01-13,99974366.557686,100000000.0,100957980.00098763
2021-01-14,98790066.5720619,100000000.0,100143332.04096504
2021-01-15,97514911.56207997,100000000.0,99124740.72538304
2021-01-18,99782741.48333865,100000000.0,100647266.59591673
2021-01-19,97929601.41004097,100000000.0,99342724.19331203
