Date,ADRO.JK,BBCA.JK
2020-06-02,328.181640625,4515.49658203125
2020-06-03,333.9140625,4869.322265625
2020-06-04,333.6549072265625,4877.748046875
2020-06-05,327.6967468261719,4822.98876953125
2020-06-08,345.5711364746094,4970.4169921875
2020-06-09,351.52923583984375,4890.3837890625
2020-06-10,327.6967468261719,4886.17138671875
2020-06-11,318.7595520019531,4785.07861328125
2020-06-12,315.780517578125,4776.65478515625
2020-06-15,303.86431884765625,4633.4375
2020-06-16,320.2491455078125,4852.47412109375
2020-06-17,318.7595520019531,4818.77587890625
2020-06-18,306.8433532714844,4705.04638671875
2020-06-19,309.8223876953125,4696.6220703125
2020-06-22,306.8433532714844,4667.13671875
2020-06-23,299.39569091796875,4734.5322265625
2020-06-24,311.31195068359375,4806.1396484375
2020-06-25,299.39569091796875,4822.98876953125
2020-06-26,302.374755859375,4755.5927734375
2020-06-29,299.39569091796875,4780.86572265625
2020-06-30,296.4166259765625,4797.71484375
2020-07-01,311.31195068359375,4886.17138671875
2020-07-02,312.8014831542969,4945.142578125
2020-07-03,309.8223876953125,4945.142578125
2020-07-06,317.2700500488281,4999.90185546875
2020-07-07,312.8014831542969,5046.23583984375
2020-07-08,317.2700500488281,5223.14892578125
2020-07-09,326.2072448730469,5138.90380859375
2020-07-10,323.2281494140625,5223.14892578125
2020-07-13,344.0815734863281,5202.087890625
2020-07-14,344.0815734863281,5223.14892578125
2020-07-15,336.6339416503906,5181.02734375
2020-07-16,330.67584228515625,5206.2998046875
2020-07-17,344.0815734863281,5155.75341796875
2020-07-20,336.6339416503906,5172.60302734375
2020-07-21,338.1235046386719,5223.14892578125
2020-07-22,335.1443786621094,5206.2998046875
2020-07-23,336.6339416503906,5223.14892578125
2020-07-24,324.71771240234375,5138.90380859375
2020-07-27,330.67584228515625,5138.90380859375
2020-07-28,324.71771240234375,5210.5126953125
2020-07-29,323.2281494140625,5168.39111328125
2020-07-30,323.2281494140625,5256.8466796875
2020-08-03,306.8433532714844,5164.17822265625
2020-08-04,308.3328857421875,5231.57373046875
2020-08-05,312.8014831542969,5227.361328125
2020-08-06,332.16534423828125,5273.6962890625
2020-08-07,326.2072448730469,5206.2998046875
2020-08-10,339.61297607421875,5155.75341796875
2020-08-11,342.5921325683594,5202.087890625
2020-08-12,333.6549072265625,5273.6962890625
2020-08-13,332.16534423828125,5307.3935546875
2020-08-14,332.16534423828125,5395.8505859375
2020-08-18,332.16534423828125,5357.9404296875
2020-08-19,332.16534423828125,5332.666015625
2020-08-24,326.2072448730469,5320.02978515625
2020-08-25,327.6967468261719,5362.15185546875
2020-08-26,330.67584228515625,5341.0908203125
2020-08-27,335.1443786621094,5560.12744140625
2020-08-28,341.1025390625,5471.669921875
2020-08-31,323.2281494140625,5286.33251953125
2020-09-01,339.61297607421875,5492.7314453125
2020-09-02,361.95599365234375,5421.123046875
2020-09-03,358.9769287109375,5475.8818359375
2020-09-04,358.9769287109375,5374.7890625
2020-09-07,372.3826599121094,5294.75732421875
2020-09-08,369.4036865234375,5336.87890625
2020-09-09,357.48736572265625,5261.05859375
2020-09-10,333.6549072265625,4894.595703125
2020-09-11,351.52923583984375,4974.62841796875
2020-09-14,357.48736572265625,5096.7822265625
2020-09-15,354.50836181640625,4936.71826171875
2020-09-16,341.1025390625,4844.04931640625
2020-09-17,336.6339416503906,4848.26171875
2020-09-18,341.1025390625,4742.9560546875
2020-09-21,341.1025390625,4721.89501953125
2020-09-22,345.5711364746094,4591.31591796875
2020-09-23,345.5711364746094,4637.65087890625
2020-09-24,336.6339416503906,4587.1044921875
2020-09-25,339.61297607421875,4726.107421875
2020-09-28,336.6339416503906,4646.07470703125
2020-09-29,347.0606689453125,4637.65087890625
2020-09-30,338.1235046386719,4566.04345703125
2020-10-01,351.52923583984375,4692.41064453125
2020-10-02,339.61297607421875,4637.65087890625
2020-10-05,335.1443786621094,4650.287109375
2020-10-06,335.1443786621094,4801.92724609375
2020-10-07,336.6339416503906,4848.26171875
2020-10-08,336.6339416503906,4869.322265625
2020-10-09,332.16534423828125,4865.11083984375
2020-10-12,330.67584228515625,4932.505859375
2020-10-13,342.5921325683594,4932.505859375
2020-10-14,353.0187683105469,4970.4169921875
2020-10-15,344.0815734863281,4873.53515625
2020-10-16,363.445556640625,4852.47412109375
2020-10-19,363.445556640625,4970.4169921875
2020-10-20,360.4664611816406,4890.3837890625
2020-10-21,357.48736572265625,4869.322265625
2020-10-22,345.5711364746094,4886.17138671875
2020-10-23,341.1025390625,4860.89892578125
2020-10-26,341.1025390625,4898.80810546875
2020-10-27,335.1443786621094,4877.748046875
2020-11-02,336.6339416503906,4903.02099609375
2020-11-03,341.1025390625,4961.99169921875
2020-11-04,330.67584228515625,4903.02099609375
2020-11-05,339.61297607421875,5181.02734375
2020-11-06,339.61297607421875,5307.3935546875
2020-11-09,336.6339416503906,5294.75732421875
2020-11-10,339.61297607421875,5459.033203125
2020-11-11,358.9769287109375,5509.57958984375
2020-11-12,350.03973388671875,5408.486328125
2020-11-13,347.0606689453125,5383.21337890625
2020-11-16,355.99786376953125,5459.033203125
2020-11-17,351.52923583984375,5518.00439453125
2020-11-18,354.50836181640625,5534.85302734375
2020-11-19,369.4036865234375,5572.76220703125
2020-11-20,361.95599365234375,5560.12744140625
2020-11-23,384.2989196777344,5560.12744140625
2020-11-24,387.2779541015625,5530.640625
2020-11-25,387.2779541015625,5400.0625
2020-11-26,405.1523132324219,5459.033203125
2020-11-27,414.0895690917969,5379.00146484375
2020-11-30,414.0895690917969,5227.361328125
2020-12-01,414.0895690917969,5387.42578125
2020-12-02,414.0895690917969,5433.7607421875
2020-12-03,409.62091064453125,5442.18359375
2020-12-04,427.4952697753906,5383.21337890625
2020-12-07,442.39068603515625,5492.7314453125
2020-12-08,460.2650451660156,5467.45751953125
2020-12-10,460.2650451660156,5555.8447265625
2020-12-11,457.28594970703125,5691.04248046875
2020-12-14,467.7126770019531,5762.86767578125
2020-12-15,455.7963562011719,5737.51806640625
2020-12-16,463.2440490722656,5872.71728515625
2020-12-17,443.88018798828125,5860.04248046875
2020-12-18,440.901123046875,5745.9677734375
