Date,Ticker,Mu_Simple_Period,Mu_Log_Period,Sigma_Log,Sigma_Period_Log,Lambda_RiskAversion
2021-01-04,BBCA.JK,0.36213352769357576,0.3163969209885886,0.026943976770442503,0.30244538913657504,0.26975904934449757
2021-01-04,ADRO.JK,0.19389848902727297,0.17555171116771517,0.01706513100399341,0.19155562043207086,0.26975904934449757
2021-02-02,BBCA.JK,0.13275622735926462,0.08524081000159053,0.027462938188244437,0.3082707166036829,0.4107622228718878
2021-02-02,ADRO.JK,0.11947430653656889,0.09900061247374295,0.018027181444654816,0.20235460984532047,0.4107622228718878
2021-03-04,BBCA.JK,0.09624639182725031,0.052140631842261476,0.026459240887318672,0.297004242343401,0.44310441082935514
2021-03-04,ADRO.JK,0.08289029570763747,0.06222025032006875,0.0181134192943474,0.20332262730728573,0.44310441082935514
2021-04-06,BBCA.JK,0.076611310049501,0.038809439338883554,0.024495503542881592,0.27496134532191047,0.4262372286825855
2021-04-06,ADRO.JK,0.11270426645419372,0.0964702651835728,0.01605249388260671,0.18018879693599674,0.4262372286825855
2021-05-05,BBCA.JK,0.12227848889239615,0.08825771864176929,0.023238163141703485,0.26084773432263836,0.38830596117291133
2021-05-05,ADRO.JK,0.13054030781961315,0.11369465367209194,0.016352104931015448,0.18355192261330963,0.38830596117291133
2021-06-10,BBCA.JK,-0.05191242304376255,-0.08092854915375053,0.02146097458917627,0.24089884229687775,0.4272793447301421
2021-06-10,ADRO.JK,0.05421245835825552,0.03964699359260661,0.015205191660186287,0.17067785307794867,0.4272793447301421
2021-07-09,BBCA.JK,-0.09020564906881508,-0.12270753334977035,0.022713496540482887,0.25495836633048646,0.36190577434743576
2021-07-09,ADRO.JK,-0.10138649258637107,-0.11481410705255905,0.014599203319309563,0.16387565082212782,0.36190577434743576
2021-08-10,BBCA.JK,0.16627241999745665,0.13565866893057132,0.02204387798499228,0.2474419166870695,0.3709578473674657
2021-08-10,ADRO.JK,-0.06644515326343525,-0.07912806977179558,0.014188591721990542,0.15926654707351653,0.3709578473674657
2021-09-10,BBCA.JK,0.2048701240429953,0.16820011387453143,0.02412599538812193,0.2708136265717214,0.395806993026787
2021-09-10,ADRO.JK,0.002112783306932994,-0.008782807449966151,0.013150889134584974,0.1476183644191951,0.395806993026787
2021-10-11,BBCA.JK,0.515637514536643,0.46486987538372576,0.02838724259433797,0.3186460078297456,0.20607722566893635
2021-10-11,ADRO.JK,0.19618155680019195,0.18309543251095708,0.014412364780260164,0.1617783934228231,0.20607722566893635
2021-11-10,BBCA.JK,0.4150623857958744,0.35907852011342845,0.029809944458355716,0.3346157966457828,0.25067348946195483
2021-11-10,ADRO.JK,0.19161594315269298,0.17928654200101943,0.01398945246195485,0.1570312144235888,0.25067348946195483
2021-12-09,BBCA.JK,0.5286706416660663,0.4691480629374959,0.030737645273531195,0.3450292124692354,0.2384244331882981
2021-12-09,ADRO.JK,0.13210125688543936,0.11906537047993315,0.014384673504582305,0.16146755962425535,0.2384244331882981
2022-01-10,BBCA.JK,0.8005761942291733,0.7449527346339035,0.02971383612170891,0.33353698324254755,0.11852733122720212
2022-01-10,ADRO.JK,0.25790516802219327,0.24511990407661363,0.014245725588711976,0.15990787313687616,0.11852733122720212
2022-02-09,BBCA.JK,0.6272173758748006,0.5737096065745566,0.02914326116673365,0.32713229525757337,0.16365336086493462
2022-02-09,ADRO.JK,0.22072595112265808,0.2090647359326274,0.013605096611564758,0.1527168307033032,0.16365336086493462
2022-03-14,BBCA.JK,0.9457595086728329,0.8812170742275164,0.032007547335489425,0.3592838277610518,0.1105448998269016
2022-03-14,ADRO.JK,0.2163235427136308,0.20338518860747443,0.014330760625232723,0.1608623890544735,0.1105448998269016
2022-04-12,BBCA.JK,0.6282265417003657,0.5725653508366092,0.029723912361789985,0.3336500887569383,0.2018831721193114
2022-04-12,ADRO.JK,0.0920966190165822,0.08194262881465958,0.012695449879762637,0.14250607146309666,0.2018831721193114
2022-05-23,BBCA.JK,0.8570485149818388,0.7984592533589298,0.030495709201930603,0.3423134868009411,0.16753899473165307
2022-05-23,ADRO.JK,-0.0013212370504431083,-0.014943272910449674,0.014704516021572273,0.165057782973155,0.16753899473165307
2022-06-23,BBCA.JK,0.6412677090407999,0.5715130938802043,0.03327485707948642,0.37350934435592265,0.24728269966587108
2022-06-23,ADRO.JK,0.050306154031823244,0.03554232500262605,0.015308379813910403,0.17183613723077687,0.24728269966587108
2022-07-22,BBCA.JK,0.34722039024209117,0.27753614121264997,0.03325806956128861,0.37332090493151127,0.3721398513773354
2022-07-22,ADRO.JK,0.004422447746952113,-0.011725384613409983,0.016009834457945744,0.17970994608180202,0.3721398513773354
2022-08-23,BBCA.JK,0.47553662406332897,0.40345847433858945,0.0338245120390288,0.37967920597456867,0.31669043723269524
2022-08-23,ADRO.JK,0.036429936216683854,0.021483657270450617,0.015402679083720568,0.17289464390913464,0.31669043723269524
2022-09-21,BBCA.JK,0.43568961035973724,0.38073275934092554,0.029535249593537656,0.3315323544356167,0.28934779926356075
2022-09-21,ADRO.JK,0.08779957431967796,0.07279979503346425,0.015430221472869566,0.17320380646056088,0.28934779926356075
2022-10-20,BBCA.JK,0.3013015326858295,0.24816315168714873,0.029042492404379224,0.3260011687055148,0.3507481706882187
2022-10-20,ADRO.JK,0.07449386135545585,0.05943461015969919,0.01546078048696051,0.17354683054297862,0.3507481706882187
2022-11-18,BBCA.JK,0.179146563156848,0.13143996578841255,0.027518131791180026,0.30889026326006275,0.3429695485386427
2022-11-18,ADRO.JK,0.1813355909011874,0.169478007319416,0.013719169523300948,0.15399729596178877,0.3429695485386427
2022-12-19,BBCA.JK,0.3173284642144676,0.2823094489315237,0.023576627948957284,0.26464699236131095,0.2668513908324724
2022-12-19,ADRO.JK,0.1500319658458674,0.1385188414365843,0.013518432102006386,0.15174402399622253,0.2668513908324724
2023-01-17,BBCA.JK,0.1256017720757634,0.0907724435392931,0.023512687738875743,0.2639292652832205,0.3790731502600429
2023-01-17,ADRO.JK,0.12211319085421438,0.11147024013955797,0.01299752767373344,0.14589688629067035,0.3790731502600429
