Depth,Iteration,Energy,Entropy,Grad_Var,Penalty_Scale
1,10,0.4999966219810277,7.405661279401262e-05,6.09993598249419e-06,0.5
1,20,0.6071337668890024,6.839570849555942e-05,5.8836989457531995e-06,0.6071428571428572
1,30,0.7142690683208431,8.529481678444948e-05,4.579201099920705e-06,0.7142857142857142
1,40,0.8213868329068135,7.544042284617783e-05,2.5197607316876994e-05,0.8214285714285714
1,50,0.9284638807703436,1.930026462834636e-05,6.832529766949003e-05,0.9285714285714286
1,60,1.035447021861059,8.299369187768438e-06,0.00018648497323791436,1.0357142857142856
1,70,1.14210940665001,0.00014016965980163669,0.0005209521552227844,1.1428571428571428
1,80,1.2482795401121332,0.00010944418636836894,0.0009834137425893982,1.25
1,90,1.3524691574818166,0.0029206698535776832,0.0038560524476379857,1.3571428571428572
1,100,1.447781600918782,0.00032947273555333046,0.01713072412732277,1.464285714285714
1,110,1.5178417670754072,8.645039044400896e-06,0.05537686985579067,1.5714285714285714
1,120,1.4592985505234235,0.024902387205716043,0.24852300553359638,1.6785714285714288
1,130,1.2983445120433519,0.0008982096856913914,0.35457834674907385,1.7857142857142856
1,140,0.9299033912228314,0.0805194308106315,0.6271888125612234,1.8928571428571428
1,150,0.777335731338629,0.14829708405583597,0.3267438777527573,2.0
1,160,0.652566852664288,0.20081618808392218,0.19002847069840736,2.1071428571428577
1,170,0.45665243191768856,0.26806037561983853,0.3247619912765395,2.2142857142857144
1,180,0.2537799532843828,0.34962622355683326,0.43042477691331127,2.3214285714285716
1,190,0.11559266643590772,0.39830695364372154,0.27727747938879155,2.4285714285714284
1,200,0.08573531341824107,0.3684531741227536,0.08981138534753476,2.5357142857142856
1,210,0.06719701305561142,0.3931310437041791,0.05432387684678608,2.642857142857143
1,220,0.05060916610312008,0.37418924832219974,0.04716966124787914,2.75
1,230,0.0395492864519273,0.36685756555648535,0.031439928615170185,2.8571428571428577
1,240,0.033688134974383985,0.3841858108269639,0.01900138051559111,2.964285714285715
1,250,0.02488938237697468,0.4199850873660328,0.026314266355368442,3.071428571428571
1,260,0.02100175412117701,0.437789613633818,0.010442137040172382,3.1785714285714284
1,270,0.01734304047412797,0.4459570763820042,0.01163786370497359,3.2857142857142856
1,280,0.01619532140742137,0.4489726729113188,0.004660237454598692,3.3928571428571432
1,290,0.01395992319369635,0.46470616773415174,0.007095723015554775,3.5
1,300,0.0114637461099684,0.48984253967771796,0.008976570582120433,3.607142857142857
1,310,0.01037467756037563,0.4998344410822475,0.00389072768318394,3.7142857142857144
1,320,0.008906288686571371,0.5024389972705467,0.005455255780836531,3.8214285714285716
1,330,0.006752554448316628,0.5222961873720364,0.007825647967255243,3.9285714285714284
1,340,0.0053584153500679035,0.5308476124858368,0.005689145511697978,4.035714285714286
1,350,0.00337459033586952,0.5486728199727688,0.007755425128954174,4.142857142857143
1,360,0.0012757870629763815,0.5620174630308145,0.006746690625148656,4.25
1,370,-0.0007135083822930634,0.5811683984537107,0.008327213112016733,4.357142857142857
