Date,ADRO.JK,AMRT.JK,ASII.JK,BBCA.JK,BBRI.JK,BMRI.JK,ICBP.JK,KLBF.JK,SMGR.JK,TLKM.JK,TPIA.JK,UNTR.JK
2020-06-02,328.181640625,846.702880859375,3038.07275390625,4515.4970703125,2008.02685546875,1718.750244140625,7419.62158203125,1245.1790771484375,8367.8828125,2381.02490234375,1825.5609130859375,8905.5048828125
2020-06-03,333.9140930175781,837.295166015625,3140.841064453125,4869.3232421875,1957.51025390625,1808.0360107421875,7441.5068359375,1272.1505126953125,8346.3720703125,2410.329833984375,1800.8912353515625,9286.197265625
2020-06-04,333.6549072265625,837.295166015625,3057.341552734375,4877.7470703125,1932.2518310546875,1759.6728515625,7441.5068359375,1267.6551513671875,8260.326171875,2417.65625,1807.0584716796875,9245.408203125
2020-06-05,327.6967468261719,827.8873291015625,3211.49365234375,4822.9892578125,1963.8245849609375,1804.3157958984375,7550.94189453125,1267.6551513671875,8109.748046875,2366.372314453125,1770.053955078125,9299.7919921875
2020-06-08,345.5711364746094,813.7755737304688,3227.55078125,4970.416015625,2083.80126953125,1953.1253662109375,7682.2626953125,1281.140869140625,8733.57421875,2366.372314453125,1714.5469970703125,9544.5244140625
2020-06-09,351.529296875,785.5521240234375,3211.49365234375,4890.38427734375,2026.97021484375,1962.426025390625,7791.69580078125,1267.6551513671875,8131.25927734375,2300.436279296875,1745.3843994140625,9666.8896484375
2020-06-10,327.6967468261719,790.2559814453125,3115.14892578125,4886.17138671875,1913.3082275390625,1826.6373291015625,7572.828125,1321.5980224609375,7937.658203125,2278.4580078125,1714.5469970703125,9367.7744140625
2020-06-11,318.75958251953125,780.8482666015625,3018.803955078125,4785.07958984375,1875.421142578125,1744.7918701171875,7529.05517578125,1276.6455078125,8131.25927734375,2256.479248046875,1726.8817138671875,8946.291015625
2020-06-12,315.780517578125,785.5521240234375,3076.611083984375,4776.6533203125,1913.3082275390625,1819.19677734375,7529.05517578125,1240.6837158203125,8088.23681640625,2219.847900390625,1659.0401611328125,8946.291015625
2020-06-15,303.86431884765625,752.6248168945312,3044.495849609375,4633.43798828125,1831.2196044921875,1755.95263671875,7616.6025390625,1263.1600341796875,8109.748046875,2263.805419921875,1628.202880859375,8769.5439453125
2020-06-16,320.2491149902344,738.5130615234375,3192.223876953125,4852.47412109375,1976.4539794921875,1869.419921875,7769.810546875,1281.140869140625,8367.8828125,2344.39404296875,1702.2120361328125,9218.2177734375
2020-06-17,318.75958251953125,743.217041015625,3192.223876953125,4818.7763671875,1957.51025390625,1822.9168701171875,7835.47021484375,1285.6361083984375,8281.8388671875,2351.719970703125,1689.8773193359375,9626.1025390625
