Date,Ticker_i,Ticker_j,Interaction_J_Obj,Interaction_J_Pen
2021-01-04,BBCA.JK,TLKM.JK,2.0737094893928762e-05,0.5
2021-01-04,BBCA.JK,SMGR.JK,5.40136120670475e-05,0.5
2021-01-04,BBCA.JK,BMRI.JK,4.166350521506339e-05,0.5
2021-01-04,BBCA.JK,KLBF.JK,6.0127001512635275e-05,0.5
2021-01-04,BBCA.JK,ASII.JK,6.931955090215552e-05,0.5
2021-01-04,BBCA.JK,UNTR.JK,1.3342835607646611e-05,0.5
2021-01-04,BBCA.JK,ICBP.JK,3.8945126443133735e-05,0.5
2021-01-04,BBCA.JK,AMRT.JK,4.1045908084013276e-05,0.5
2021-01-04,BBCA.JK,ADRO.JK,6.846004522001052e-05,0.5
2021-01-04,BBCA.JK,TPIA.JK,3.675870670260451e-06,0.5
2021-01-04,BBCA.JK,BBRI.JK,9.680937226114034e-05,0.5
2021-01-04,TLKM.JK,SMGR.JK,1.3394863168278677e-05,0.5
2021-01-04,TLKM.JK,BMRI.JK,1.945062112605209e-05,0.5
2021-01-04,TLKM.JK,KLBF.JK,3.861336148244e-05,0.5
2021-01-04,TLKM.JK,ASII.JK,3.4058984397979274e-05,0.5
2021-01-04,TLKM.JK,UNTR.JK,1.0581633766638295e-05,0.5
2021-01-04,TLKM.JK,ICBP.JK,2.1491490119368696e-05,0.5
2021-01-04,TLKM.JK,AMRT.JK,2.3483812574947042e-05,0.5
2021-01-04,TLKM.JK,ADRO.JK,2.3627327183637194e-05,0.5
2021-01-04,TLKM.JK,TPIA.JK,5.078234878166081e-06,0.5
2021-01-04,TLKM.JK,BBRI.JK,2.281485516056903e-05,0.5
2021-01-04,SMGR.JK,BMRI.JK,5.525335044517882e-05,0.5
2021-01-04,SMGR.JK,KLBF.JK,7.081326211086161e-05,0.5
2021-01-04,SMGR.JK,ASII.JK,8.121124992648571e-05,0.5
2021-01-04,SMGR.JK,UNTR.JK,1.8635836652336672e-05,0.5
2021-01-04,SMGR.JK,ICBP.JK,3.444552148020915e-05,0.5
2021-01-04,SMGR.JK,AMRT.JK,5.608451097930031e-05,0.5
2021-01-04,SMGR.JK,ADRO.JK,6.397287129105226e-05,0.5
2021-01-04,SMGR.JK,TPIA.JK,7.752720916059303e-06,0.5
2021-01-04,SMGR.JK,BBRI.JK,5.9001743176959324e-05,0.5
2021-01-04,BMRI.JK,KLBF.JK,6.453333857622307e-05,0.5
2021-01-04,BMRI.JK,ASII.JK,6.907622701112919e-05,0.5
2021-01-04,BMRI.JK,UNTR.JK,2.048845600992549e-05,0.5
2021-01-04,BMRI.JK,ICBP.JK,3.491950834164154e-05,0.5
2021-01-04,BMRI.JK,AMRT.JK,4.469398693757278e-05,0.5
2021-01-04,BMRI.JK,ADRO.JK,5.076178814604452e-05,0.5
2021-01-04,BMRI.JK,TPIA.JK,1.3388477713992348e-05,0.5
2021-01-04,BMRI.JK,BBRI.JK,4.104751778055606e-05,0.5
2021-01-04,KLBF.JK,ASII.JK,0.00011080021874169518,0.5
2021-01-04,KLBF.JK,UNTR.JK,2.1346952076804543e-05,0.5
2021-01-04,KLBF.JK,ICBP.JK,3.479756920163445e-05,0.5
2021-01-04,KLBF.JK,AMRT.JK,6.537362609024143e-05,0.5
2021-01-04,KLBF.JK,ADRO.JK,6.354666604066387e-05,0.5
2021-01-04,KLBF.JK,TPIA.JK,1.0614493608752593e-05,0.5
2021-01-04,KLBF.JK,BBRI.JK,6.609368623957407e-05,0.5
2021-01-04,ASII.JK,UNTR.JK,2.678328935867871e-05,0.5
2021-01-04,ASII.JK,ICBP.JK,4.544269595005448e-05,0.5
2021-01-04,ASII.JK,AMRT.JK,5.381294553985991e-05,0.5
2021-01-04,ASII.JK,ADRO.JK,6.214492795356893e-05,0.5
2021-01-04,ASII.JK,TPIA.JK,1.0785554740909099e-05,0.5
2021-01-04,ASII.JK,BBRI.JK,8.188112274566385e-05,0.5
2021-01-04,UNTR.JK,ICBP.JK,2.351741929190426e-05,0.5
2021-01-04,UNTR.JK,AMRT.JK,2.2545511143433405e-05,0.5
2021-01-04,UNTR.JK,ADRO.JK,3.4889525219679594e-05,0.5
2021-01-04,UNTR.JK,TPIA.JK,8.956861094868028e-06,0.5
2021-01-04,UNTR.JK,BBRI.JK,2.351201053510768e-05,0.5
2021-01-04,ICBP.JK,AMRT.JK,3.603194154390023e-05,0.5
2021-01-04,ICBP.JK,ADRO.JK,3.97524782134043e-05,0.5
2021-01-04,ICBP.JK,TPIA.JK,1.8057713533480263e-05,0.5
2021-01-04,ICBP.JK,BBRI.JK,3.8627381889113466e-05,0.5
2021-01-04,AMRT.JK,ADRO.JK,5.7208762411842845e-05,0.5
2021-01-04,AMRT.JK,TPIA.JK,3.848753755538072e-06,0.5
