Depth,Iteration,Energy,Entropy,Grad_Var,Penalty_Scale
1,10,0.4247553961211132,1.7713197440922154e-05,6.162109863765751e-06,0.5218875824868201
1,20,0.5086241756265989,4.0338580725021455e-05,1.0185689501855493e-05,0.6057623725293447
1,30,0.5924867310016881,0.00014332115995062655,1.9428615906682403e-05,0.6896371625718695
1,40,0.6763392703739433,0.00014731572858401202,2.4083905902062098e-05,0.7735119526143941
1,50,0.7601251755068565,0.0003051102006370694,0.00011803532316752695,0.8573867426569187
1,60,0.8438970864312392,0.0004622550182079988,0.0001215542335172008,0.9412615326994436
1,70,0.9272636912997738,0.00035142193951817857,0.0007552653950883344,1.025136322741968
1,80,1.010448432326352,0.0010256808222687292,0.001007014648756348,1.1090111127844928
1,90,1.0931172605977202,0.0013952010558103516,0.0017591536827262521,1.1928859028270173
1,100,1.174998029236817,0.0031788888852646506,0.0029893431003739993,1.276760692869542
1,110,1.2516283348403705,0.008775962609538578,0.012031527450244946,1.3606354829120668
1,120,1.319462018487033,0.028718804560237225,0.02860870748093499,1.4445102729545913
1,130,1.364723615225512,0.008386955886019563,0.07476125628115773,1.5283850629971159
1,140,1.3870289504934021,0.010295619071561497,0.10548888600363646,1.6122598530396408
1,150,1.246903320486636,0.10336418485150917,0.47825220265408425,1.6961346430821653
1,160,1.134523581120296,0.15922442271383658,0.3801573137867457,1.78000943312469
1,170,0.9456719005358025,0.15961598558586843,0.43712210981712535,1.8638842231672144
1,180,0.84174429952567,0.27057412945852866,0.3328373458136607,1.9477590132097393
1,190,0.5862436709248506,0.47687840082085425,0.5601470875548789,2.031633803252264
1,200,0.4528784999819617,0.6465855447607676,0.39929203997673435,2.1155085932947886
1,210,0.2528622112439656,0.7598403686843205,0.4429318716931109,2.1993833833373135
1,220,0.049677226558309744,0.9097661979121938,0.5123836644538133,2.283258173379838
1,230,-0.06579607626380936,0.9744580577780584,0.3811276095098333,2.367132963422363
1,240,-0.08025922460284547,0.9768677895423052,0.057779850189937546,2.451007753464887
1,250,-0.11506557549385395,0.9819427187029773,0.11694272113743101,2.5348825435074116
1,260,-0.12562187954996912,0.9830488378689957,0.03695304756671451,2.6187573335499366
1,270,-0.13635342742423925,0.9817977159150949,0.0376182819242306,2.7026321235924615
1,280,-0.14270037157501247,0.9807612018506445,0.023122123576988018,2.786506913634986
1,290,-0.14465049285147027,0.9806253454763106,0.007100744528631038,2.870381703677511
1,300,-0.14606616167850778,0.9804072974371545,0.005993047855253483,2.9542564937200355
1,310,-0.14729696397650285,0.9790572280480494,0.004862387224514607,3.03813128376256
1,320,-0.14820809600980145,0.9780792246131114,0.00331936498781693,3.122006073805085
1,330,-0.14829209727261952,0.9782829661924237,0.0006502747894870127,3.2058808638476086
1,340,-0.14901414405439384,0.9762201132137895,0.0026872051901229667,3.2897556538901336
1,350,-0.14918269666546996,0.9770474921447422,0.0008641749637005302,3.373630443932658
1,360,-0.14952744141721816,0.9762233714018844,0.0014071667204314914,3.457505233975183
1,370,-0.14963367832909458,0.9760435290298597,0.0006068616151692961,3.541380024017708
1,380,-0.1497726317843889,0.9750638210198649,0.0007981372371183265,3.6252548140602325
1,390,-0.14987720396297494,0.9741678212621661,0.0005887275483284693,3.7091296041027575
1,400,-0.14990997820628799,0.9738522932317681,0.00011157192940558954,3.7930043941452816
1,410,-0.14993738399766027,0.9734937579601409,0.0002178786754983694,3.8768791841878065
1,420,-0.14997923241272434,0.9732183899046971,0.00029369746844127014,3.960753974230331
1,430,-0.1500643043295491,0.9722638641960824,0.0004575509744731901,4.044628764272856
