Date,Ticker,Mu_Simple_Period,Mu_Log_Period,Sigma_Log,Sigma_Period_Log,Lambda_RiskAversion
2021-01-04,BBCA.JK,0.19389857585004755,0.17555179717922226,0.017065131381290878,0.19155562466722442,0.3157326327995997
2021-01-04,TLKM.JK,0.24273311484093393,0.20705960256960304,0.023795928780551128,0.2671086380906873,0.3157326327995997
2021-01-04,SMGR.JK,0.3113871449360345,0.27776797054933894,0.023100599314253883,0.25930358418924926,0.3157326327995997
2021-01-04,BMRI.JK,0.12234663837935532,0.09041025250078125,0.022515034087857076,0.25273063082489255,0.3157326327995997
2021-02-02,BBCA.JK,0.11947428793842706,0.09900060343165062,0.018027177237581633,0.20235456262104112,0.3798460996248532
2021-02-02,TLKM.JK,0.20166384592365297,0.16269221276495016,0.024871617392631332,0.2791832128144628,0.3798460996248532
2021-02-02,SMGR.JK,0.24149027001194204,0.20020559431203008,0.025599068590419757,0.28734883225763064,0.3798460996248532
2021-02-02,BMRI.JK,0.08966841459420687,0.05112067203402065,0.024735984506923617,0.27766073744836955,0.3798460996248532
2021-03-04,BBCA.JK,0.08289063112062683,0.06222059404585608,0.01811341565204263,0.2033225864225161,0.4280929652292114
2021-03-04,TLKM.JK,0.08349906089266722,0.04659746886737031,0.02420205685385219,0.27166741440701686,0.4280929652292114
2021-03-04,SMGR.JK,0.10689028150533497,0.05960555659463797,0.02739618931637542,0.30752146237522027,0.4280929652292114
2021-03-04,BMRI.JK,0.18266241893399968,0.14141198827738086,0.025588449358670627,0.28722963167688265,0.4280929652292114
2021-04-06,BBCA.JK,0.11270425595097644,0.09647025549815527,0.016052493478278612,0.18018879239742508,0.3380683935891538
2021-04-06,TLKM.JK,0.21644222214355188,0.18645929866206076,0.02181557746980649,0.2448792497599219,0.3380683935891538
2021-04-06,SMGR.JK,0.20308487052482282,0.1588248434803357,0.026505473242657937,0.2975231992449904,0.3380683935891538
2021-04-06,BMRI.JK,0.26900079804401633,0.23041675290173158,0.0247476294013921,0.2777914510645882,0.3380683935891538
2021-05-05,BBCA.JK,0.13054024314047713,0.11369455324517166,0.016352122281223524,0.18355211736891225,0.38510251580639526
2021-05-05,TLKM.JK,0.11539053961371046,0.0888574710043881,0.02052217871463927,0.23036088474097494,0.38510251580639526
2021-05-05,SMGR.JK,0.11141141682657021,0.06476488801713753,0.027210679745519353,0.30543912260688766,0.38510251580639526
2021-05-05,BMRI.JK,0.22857415071583317,0.19340561878935486,0.023626905542191854,0.265211356945657,0.38510251580639526
