Date,C_Obj,C_Pen,Penalty_A_Target
2021-01-04,-0.20963397216320678,1.0,5.218875824868201
2021-02-02,-0.15184736582755773,1.0,5.218875824868201
2021-03-04,-0.10108469910849267,1.0,5.218875824868201
2021-04-06,-0.1917230974815637,1.0,5.218875824868201
2021-05-05,-0.13703823182144315,1.0,5.218875824868201
2021-06-10,0.005921247691708611,1.0,5.218875824868201
2021-07-09,0.13478114342369127,1.0,5.218875824868201
2021-08-10,0.07589030229130947,1.0,5.218875824868201
2021-09-10,0.030678206209356084,1.0,5.218875824868201
2021-10-11,-0.070638982092202,1.0,5.218875824868201
2021-11-10,-0.13077003546274293,1.0,5.218875824868201
2021-12-09,-0.0603672952809866,1.0,5.218875824868201
2022-01-10,-0.14396399870926296,1.0,5.218875824868201
2022-02-09,-0.1627657954301935,1.0,5.218875824868201
2022-03-14,-0.13587257116794152,1.0,5.218875824868201
2022-04-12,-0.07224015578428841,1.0,5.218875824868201
2022-05-23,0.014434087161993063,1.0,5.218875824868201
2022-06-23,-0.04174056274703504,1.0,5.218875824868201
2022-07-22,-0.05768341704637779,1.0,5.218875824868201
2022-08-23,-0.07026488243492417,1.0,5.218875824868201
2022-09-21,-0.11365303562863105,1.0,5.218875824868201
2022-10-20,-0.11957877561790649,1.0,5.218875824868201
2022-11-18,-0.1585063958878752,1.0,5.218875824868201
2022-12-19,-0.062083736744980626,1.0,5.218875824868201
2023-01-17,-0.09206303357558661,1.0,5.218875824868201
2023-02-16,-0.06908561938374867,1.0,5.218875824868201
2023-03-17,0.04386114546564992,1.0,5.218875824868201
2023-04-27,-0.0032847930519643246,1.0,5.218875824868201
2023-05-30,0.0009936255032011426,1.0,5.218875824868201
2023-07-05,-0.055598114208496405,1.0,5.218875824868201
2023-08-04,-0.10431085429185522,1.0,5.218875824868201
2023-09-05,-0.07955179397122324,1.0,5.218875824868201
2023-10-05,-0.11045563593053426,1.0,5.218875824868201
2023-11-03,-0.01792389941919179,1.0,5.218875824868201
2023-12-04,-0.0524509107287114,1.0,5.218875824868201
