Date,BBCA.JK,BMRI.JK,SMGR.JK,TLKM.JK
2020-06-02,4515.4970703125,1718.7503662109375,8367.8828125,2381.02490234375
2020-06-03,4869.32275390625,1808.0360107421875,8346.3720703125,2410.32958984375
2020-06-04,4877.7470703125,1759.6729736328125,8260.3251953125,2417.65625
2020-06-05,4822.98779296875,1804.3155517578125,8109.748046875,2366.372802734375
2020-06-08,4970.416015625,1953.1253662109375,8733.5751953125,2366.372802734375
2020-06-09,4890.384765625,1962.426025390625,8131.25927734375,2300.436767578125
2020-06-10,4886.17236328125,1826.636962890625,7937.65771484375,2278.45751953125
2020-06-11,4785.07763671875,1744.7919921875,8131.25927734375,2256.479248046875
2020-06-12,4776.65380859375,1819.196533203125,8088.23681640625,2219.848388671875
2020-06-15,4633.43896484375,1755.95263671875,8109.748046875,2263.80517578125
2020-06-16,4852.4736328125,1869.419677734375,8367.8828125,2344.3935546875
2020-06-17,4818.77587890625,1822.916748046875,8281.837890625,2351.72021484375
2020-06-18,4705.0458984375,1793.1551513671875,8023.7021484375,2403.00390625
2020-06-19,4696.6220703125,1815.4765625,8174.28173828125,2403.00390625
2020-06-22,4667.13720703125,1789.434814453125,8238.81640625,2344.3935546875
2020-06-23,4734.53173828125,1781.994384765625,8217.3037109375,2293.110595703125
2020-06-24,4806.1396484375,1915.923095703125,8152.771484375,2329.741455078125
2020-06-25,4822.98779296875,1869.419677734375,8131.25927734375,2315.0888671875
2020-06-26,4755.5927734375,1860.119384765625,8174.28173828125,2337.067626953125
2020-06-29,4780.86669921875,1837.7978515625,8152.771484375,2329.741455078125
2020-06-30,4797.71533203125,1841.51806640625,8317.2412109375,2348.272216796875
2020-07-01,4886.17236328125,1856.399169921875,8338.84375,2340.57275390625
2020-07-02,4945.14306640625,1860.119384765625,8317.2412109375,2417.565185546875
2020-07-03,4945.14306640625,1860.119384765625,8446.8603515625,2402.1669921875
2020-07-06,4999.90185546875,1888.0211181640625,8598.08203125,2348.272216796875
2020-07-07,5046.236328125,1878.7205810546875,8360.4482421875,2402.1669921875
2020-07-08,5223.1494140625,1962.426025390625,8403.6533203125,2425.2646484375
2020-07-09,5138.90478515625,1953.1253662109375,8209.2255859375,2394.467529296875
2020-07-10,5223.1494140625,1925.2237548828125,8144.41455078125,2394.467529296875
2020-07-13,5202.08740234375,1953.1253662109375,8079.60546875,2379.069091796875
2020-07-14,5223.1494140625,1971.7264404296875,8338.84375,2371.369873046875
2020-07-15,5181.02734375,1962.426025390625,8166.0185546875,2379.069091796875
2020-07-16,5206.30029296875,1962.426025390625,8122.8115234375,2386.768310546875
2020-07-17,5155.7529296875,1925.2237548828125,8079.60546875,2355.971435546875
2020-07-20,5172.603515625,1897.32177734375,8166.0185546875,2355.971435546875
2020-07-21,5223.1494140625,1971.7264404296875,8187.62060546875,2355.971435546875
2020-07-22,5206.30029296875,2018.2296142578125,8295.6376953125,2363.670654296875
2020-07-23,5223.1494140625,2120.5361328125,8166.0185546875,2363.670654296875
2020-07-24,5138.90478515625,2083.333984375,8014.79443359375,2325.17431640625
2020-07-27,5138.90478515625,2185.64013671875,8101.20849609375,2340.57275390625
2020-07-28,5210.51318359375,2176.33935546875,8122.8115234375,2325.17431640625
2020-07-29,5168.3896484375,2120.5361328125,8187.62060546875,2309.77587890625
2020-07-30,5256.84716796875,2157.738525390625,7971.587890625,2348.272216796875
2020-08-03,5164.17822265625,2046.131103515625,7885.17578125,2248.181640625
2020-08-04,5231.5732421875,2074.033203125,7949.98583984375,2271.279541015625
2020-08-05,5227.36181640625,2120.5361328125,8166.0185546875,2325.17431640625
2020-08-06,5273.6953125,2148.437744140625,8295.6376953125,2325.17431640625
2020-08-07,5206.30029296875,2157.738525390625,8360.4482421875,2294.37744140625
2020-08-10,5155.7529296875,2157.738525390625,8295.6376953125,2286.677978515625
2020-08-11,5202.08740234375,2222.8427734375,8295.6376953125,2255.880859375
2020-08-12,5273.6953125,2287.94677734375,8511.6689453125,2271.279541015625
2020-08-13,5307.392578125,2250.744384765625,8403.6533203125,2317.47509765625
2020-08-14,5395.8505859375,2241.443603515625,8209.2255859375,2332.873779296875
2020-08-18,5357.939453125,2287.94677734375,8425.255859375,2348.272216796875
2020-08-19,5332.6669921875,2269.345458984375,8252.4306640625,2309.77587890625
2020-08-24,5320.0302734375,2232.143310546875,8382.05078125,2309.77587890625
2020-08-25,5362.15185546875,2325.1494140625,8900.52734375,2294.37744140625
2020-08-26,5341.0908203125,2362.351806640625,9030.1474609375,2325.17431640625
2020-08-27,5560.12646484375,2343.75048828125,9224.57421875,2302.076416015625
2020-08-28,5471.67041015625,2315.8486328125,9202.9716796875,2278.978759765625
2020-08-31,5286.33203125,2213.5419921875,9116.5595703125,2201.986328125
2020-09-01,5492.73095703125,2278.64599609375,9505.4169921875,2232.783203125
2020-09-02,5421.12353515625,2260.044921875,9246.1787109375,2271.279541015625
2020-09-03,5475.8828125,2222.8427734375,9094.9560546875,2232.783203125
2020-09-04,5374.78857421875,2204.241455078125,8943.734375,2201.986328125
2020-09-07,5294.75634765625,2176.33935546875,9138.1630859375,2232.783203125
2020-09-08,5336.87841796875,2222.8427734375,8814.11328125,2201.986328125
2020-09-09,5261.05908203125,2148.437744140625,8727.7001953125,2155.790771484375
2020-09-10,4894.59619140625,1999.628173828125,8122.8115234375,2078.79833984375
2020-09-11,4974.6279296875,2036.8306884765625,8122.8115234375,2163.489990234375
