Depth,Theta_Index,Theta_Value
1,0,-1.1200170984830033
1,1,-0.49858854978197226
1,2,2.8144943023509486
1,3,-0.03557990512745674
1,4,3.1407024487121307
1,5,-0.3300835930901341
1,6,1.5714393039693348
1,7,-0.0006142325462913004
1,8,-1.5712079281530205
1,9,0.14047577477473452
1,10,-0.0021932761830100326
1,11,-0.09388878396722723
1,12,0.002083710649030231
1,13,0.5260765743168664
1,14,1.5719816521024947
1,15,-0.4191784033394121
2,0,-1.359012962440797
2,1,-0.12307737237299339
2,2,3.131803751384147
2,3,0.03270799349735806
2,4,3.1699011035315743
2,5,-0.24432931160901145
2,6,1.4644229613969084
2,7,0.0002267113086980143
2,8,-1.081144143369098
2,9,-0.0007838152185759878
2,10,0.0056560036476319174
2,11,-0.12788206254532108
2,12,-1.144215974093963
2,13,-0.014424434195060995
2,14,0.10779591454550146
2,15,-0.005105986778862085
2,16,-2.8987557992301665
2,17,0.05211813466551317
2,18,0.5336204447540398
2,19,0.05158732429210043
2,20,1.0622081558535488
2,21,0.7098405847562593
2,22,1.7942293255531572
2,23,-0.3442654210477159
3,0,-0.5369755965933312
3,1,-0.08108121286373482
3,2,3.19633217367907
3,3,0.12794252572317732
3,4,3.126836055952424
3,5,0.1035565958617734
3,6,1.2058024572985668
3,7,-0.35238788973986834
3,8,-0.8617682547618428
3,9,-0.276794943475709
3,10,-0.586137552756249
3,11,-0.5636600125306885
3,12,-1.7490478800144893
3,13,-0.13335962140411534
3,14,0.6756613987085864
3,15,0.06280461191340436
3,16,-1.0964358387680888
3,17,-0.13084707773473292
3,18,-0.04538097516353747
3,19,-0.4545607257505946
3,20,0.47842778516895923
3,21,-0.02374658764296483
3,22,-0.11645997093387703
3,23,-0.13493261446568278
3,24,-2.010375993470112
3,25,0.40779333775184334
3,26,1.3632258897456855
3,27,-0.12425803389724138
3,28,0.7220869006616167
3,29,0.8072956982042172
3,30,2.5149304095111606
3,31,-0.5367277188784916
4,0,0.12009968163342968
4,1,-0.05660064278168296
4,2,3.4806687043182998
4,3,0.4308053770882583
4,4,3.257659421241344
4,5,-0.1327993210051172
4,6,1.137787657091322
4,7,-0.14208775257997108
4,8,-1.1471642984920394
4,9,-0.37753880334283385
4,10,-0.12283439208018347
4,11,-0.5984029157299466
4,12,-1.934506564748261
4,13,0.4209818337741582
4,14,0.861224579994728
4,15,0.1744472122486222
4,16,-1.360160061020727
4,17,-0.05586401116185174
4,18,0.014432928439446307
4,19,-0.630610193102837
4,20,0.6653931618425664
4,21,0.37958928838960593
4,22,-0.13843183925501895
4,23,0.1281704137165239
4,24,0.028999640090164334
4,25,0.3648291704489558
4,26,0.040729258992523026
4,27,-0.010485494763992
4,28,-0.12213971448296945
4,29,-0.052870490660027025
4,30,0.046045103314136485
4,31,-0.06465604914803283
4,32,-1.6252974217196192
4,33,0.5807403802076092
4,34,1.579435602380155
4,35,-0.09455341054255884
4,36,-0.07343293591803494
4,37,1.0630129527986318
4,38,1.7390595079713662
4,39,-0.38304800729120025
5,0,0.4961362131073297
5,1,0.2673585196669247
5,2,3.422585319082005
5,3,0.648371106418589
5,4,2.8194145249202807
5,5,0.07428031611472474
5,6,1.651314563455269
5,7,-0.057387034430948614
5,8,-1.5850538898830633
5,9,-0.05401057368344005
5,10,-0.14325284529028734
5,11,-0.42210562795833095
5,12,-1.447199377344463
5,13,0.47015420436143274
5,14,1.414682554548057
5,15,0.21125621927814733
5,16,-1.4897843661735937
5,17,-0.3166698497533357
5,18,-0.31567072170755295
5,19,-0.7302292909310107
5,20,0.8725309105376254
5,21,0.7397439009364449
5,22,-0.8183147391808555
5,23,0.41953073574158706
5,24,0.37135007672704057
5,25,0.11807660791440097
5,26,-0.31258374623323626
5,27,-0.3170346115003161
5,28,0.19927049130821303
5,29,0.10146835099799464
