Depth,Theta_Index,Theta_Value
1,0,-0.6261080311415805
1,1,-0.4158671391109451
1,2,3.0064426942372475
1,3,-0.0033595882107873487
1,4,3.1407457268572494
1,5,-0.22827061447183083
1,6,1.570987470470056
1,7,-0.000751781017951902
1,8,-1.5694187079191804
1,9,0.1369803502321293
1,10,-6.21032689117841e-05
1,11,-0.10868440862229034
1,12,0.0003958866192381056
1,13,0.5129277095002026
1,14,1.5727247959518045
1,15,-0.44708555289805085
2,0,-0.06972700680683343
2,1,0.01546193603769448
2,2,3.4798411213489815
2,3,0.07720766300597696
2,4,3.524494716076609
2,5,-0.11092656444508693
2,6,1.5715368561807748
2,7,0.012371604096336563
2,8,-0.4614246712462602
2,9,-0.10212102291909499
2,10,0.6690233502636947
2,11,-0.08114183493114814
2,12,-1.169021811364134
2,13,-0.022110928927360607
2,14,-0.40374306877328237
2,15,0.08710449171124608
2,16,-3.1407026953848685
2,17,0.16688968070615567
2,18,1.5574597611469079
2,19,-0.20020039431638814
2,20,0.0041040082274256175
2,21,0.7511676741905392
2,22,1.2493987315347872
2,23,-0.39096248584471077
3,0,0.0027740959499228664
3,1,0.22399285547435713
3,2,3.2847335132006337
3,3,-0.18359379047027422
3,4,3.1241702676269507
3,5,-0.0750974444039713
3,6,0.00937929684501146
3,7,0.24349950571902979
3,8,0.04171180329820258
3,9,-0.4100714515884111
3,10,0.5540379631513582
3,11,-0.07382299569563396
3,12,-1.5549542963342315
3,13,0.021644317047014486
3,14,-0.15982573009272485
3,15,0.1690135716891558
3,16,-0.015466662240966366
3,17,-0.029995052071617952
3,18,0.09709524030710955
3,19,-0.3940802092722526
3,20,0.0018210174053348706
3,21,0.11536929160347618
3,22,-0.1404938381237831
3,23,-0.060480140611916734
3,24,-3.188306796675071
3,25,0.03150664925514749
3,26,1.7383658316697768
3,27,-0.16856368795183843
3,28,0.023804235646816267
3,29,0.7375027169390578
3,30,1.3984423618176403
3,31,-0.7113155972316348
4,0,0.040590447004225594
4,1,0.18116911679709197
4,2,3.0026215073651796
4,3,-0.2465033137127965
4,4,2.6202173715471044
4,5,-0.16070967145390475
4,6,-0.2994159055432692
4,7,-0.013363985026078688
4,8,0.28612721458926366
4,9,-0.5584858787698116
4,10,0.32567158850042227
4,11,0.093754423244024
4,12,-1.353393370842574
4,13,-0.040071545589463686
4,14,-0.09462609586782467
4,15,0.20006723531986131
4,16,-0.06764989137056762
4,17,-0.08447949610721545
4,18,0.06456826654851071
4,19,-0.25026795738242424
4,20,-0.3915552073846557
4,21,0.02906823040360946
4,22,0.163451504577448
4,23,0.10660793489354753
